月別,計,火災／従事,火災／不従事,訓練／放水演習,訓練／その他,その他
計,23240,168,820,5203,5304,11745
4,1549,16,59,229,291,954
5,2959,9,72,997,922,959
6,3301,7,61,1292,980,961
7,2669,16,57,723,901,972
8,1565,8,58,207,324,968
9,1958,18,60,463,421,996
10,1750,7,51,379,336,977
11,1451,14,62,164,231,980
12,1641,16,67,179,364,1015
1,1413,17,80,203,134,979
2,1474,26,100,162,193,993
3,1510,14,93,205,207,991
