消防署,計,工事種別処理件数／新築,工事種別処理件数／増築,工事種別処理件数／改築,工事種別処理件数／移転,工事種別処理件数／修繕,工事種別処理件数／模様替,工事種別処理件数／用途変更,工事種別処理件数／その他,同意・不同意別処理件数／同意,同意・不同意別処理件数／不同意
計,64717,53185,3355,21,4,－,3,65,8084,64710,7
特別区,49066,39826,2225,15,2,－,2,59,6937,49063,3
丸の内,62,27,2,－,－,－,－,－,33,60,2
麹町,254,126,10,－,－,－,－,1,117,254,－
神田,528,241,13,－,－,－,－,3,271,528,－
京橋,458,233,13,－,－,－,－,1,211,458,－
日本橋,438,221,21,－,－,－,－,－,196,438,－
臨港,121,68,7,－,－,－,－,－,46,121,－
芝,615,319,31,－,－,－,－,5,260,615,－
麻布,400,239,26,－,－,－,－,3,132,400,－
赤坂,345,174,38,－,－,－,－,－,133,345,－
高輪,248,163,20,－,－,－,－,－,65,248,－
品川,560,389,28,－,－,－,－,1,142,560,－
大井,412,312,29,－,－,－,－,1,70,412,－
荏原,714,620,28,1,－,－,－,－,65,714,－
大森,1203,1013,57,－,－,－,－,3,130,1203,－
東調布,1247,1090,77,－,－,－,－,－,80,1247,－
蒲田,711,592,28,－,－,－,－,1,90,711,－
矢口,554,471,30,－,－,－,－,－,53,554,－
目黒,1855,1573,64,1,－,－,－,－,217,1855,－
世田谷,2690,2325,167,2,－,－,－,2,194,2690,－
玉川,1425,1241,81,1,－,－,－,－,102,1425,－
成城,1059,909,66,－,－,－,－,－,84,1059,－
渋谷,1797,1257,105,－,－,－,－,4,431,1797,－
四谷,298,195,8,－,－,－,－,1,94,298,－
牛込,601,456,20,－,－,－,－,1,124,601,－
新宿,1050,790,42,－,－,－,－,4,214,1050,－
中野,831,691,46,1,－,－,－,2,91,831,－
野方,1046,968,33,2,－,－,－,－,43,1046,－
杉並,2003,1818,73,－,－,－,－,－,112,2003,－
荻窪,1585,1465,51,1,－,－,－,1,67,1585,－
小石川,611,526,33,－,1,－,－,－,51,611,－
本郷,588,418,24,－,－,－,－,1,145,588,－
豊島,752,536,43,－,－,－,－,4,169,752,－
池袋,775,612,27,－,－,－,－,5,131,775,－
王子,505,427,29,－,－,－,－,2,47,504,1
赤羽,506,442,25,－,－,－,－,－,39,506,－
滝野川,565,461,21,－,－,－,－,－,83,565,－
板橋,964,793,55,－,－,－,－,2,114,964,－
志村,1235,1060,66,－,－,－,－,1,108,1235,－
練馬,1257,1144,48,－,－,－,－,－,65,1257,－
光が丘,834,529,19,－,－,－,－,－,286,834,－
石神井,1951,1791,74,－,－,－,－,－,86,1951,－
上野,538,342,24,1,－,－,－,3,168,538,－
浅草,420,231,29,3,－,－,－,－,157,420,－
日本堤,343,249,20,－,－,－,－,－,74,343,－
荒川,491,369,32,－,－,－,－,2,88,491,－
尾久,399,354,13,－,－,－,－,－,32,399,－
千住,457,406,15,－,－,－,－,－,36,457,－
足立,1467,1284,70,1,－,－,－,1,111,1467,－
西新井,917,823,38,－,－,－,－,－,56,917,－
本所,772,515,27,－,－,－,－,－,230,772,－
向島,548,475,22,－,－,－,－,－,51,548,－
深川,815,563,32,1,－,－,－,1,218,815,－
城東,773,607,27,－,－,－,1,1,137,773,－
本田,1456,1307,60,－,－,－,1,－,88,1456,－
金町,898,814,44,－,1,－,－,－,39,898,－
江戸川,1861,1605,63,－,－,－,－,2,191,1861,－
小岩,1258,1157,31,－,－,－,－,－,70,1258,－
受託地区,15651,13359,1130,6,2,－,1,6,1147,15647,4
立川,1563,1351,90,1,－,－,－,2,119,1563,－
国分寺,905,816,40,－,－,－,－,－,49,905,－
小平,616,532,50,－,1,－,－,－,33,616,－
武蔵野,690,577,35,－,－,－,－,1,77,690,－
保谷,550,510,20,1,－,－,－,－,19,550,－
三鷹,767,628,33,－,－,－,－,1,105,763,4
調布,696,649,12,－,－,－,－,－,35,696,－
府中,1101,949,69,－,－,－,－,－,83,1101,－
東村山,469,413,26,－,－,－,－,－,30,469,－
狛江,241,227,4,－,－,－,－,－,10,241,－
北多摩西部,467,417,34,3,－,－,－,－,13,467,－
清瀬,152,136,8,－,－,－,－,－,8,152,－
八王子,2724,2218,222,－,－,－,－,1,283,2724,－
日野,637,561,47,－,－,－,－,－,29,637,－
町田,1478,1251,156,－,－,－,－,－,71,1478,－
青梅,841,695,90,－,－,－,－,－,56,841,－
福生,906,746,119,－,1,－,－,－,40,906,－
秋川,439,392,32,1,－,－,－,－,14,439,－
奥多摩,9,8,1,－,－,－,－,－,－,9,－
多摩,400,283,42,－,－,－,1,1,73,400,－
