消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十六の二),(十七)
計,267484,117,61,183,698,454,4281,3716,2240,86090,2416,1724,1390,7450,243,225,1442,349,1969,21287,61,902,32,10379,2551,20269,5606,45737,45354,13,2,243
特別区,213920,84,34,123,530,403,3087,2447,1779,66926,1547,858,883,4796,172,212,1263,295,1577,16326,42,789,26,8500,1776,18058,3709,38526,39023,12,2,115
丸の内,275,－,1,－,5,－,17,1,2,2,1,－,－,1,1,－,－,16,－,－,－,8,－,1,43,86,13,71,4,－,1,1
麹町,2310,2,1,－,1,17,25,4,26,275,14,1,2,98,6,－,－,9,12,34,1,15,－,32,70,718,30,506,408,－,－,3
神田,4605,－,－,2,17,9,101,107,19,31,12,1,－,112,1,3,3,12,8,52,－,21,－,137,9,1587,9,1484,866,1,－,1
京橋,3927,1,－,24,11,35,92,29,19,100,10,－,2,4,1,－,3,11,9,100,－,31,－,57,83,1109,124,1552,518,1,1,－
日本橋,3260,－,－,－,7,12,48,216,20,85,9,3,1,4,1,－,－,14,6,35,－,23,－,139,20,1391,31,657,536,1,－,1
臨港,820,－,－,－,1,－,6,10,2,146,2,2,1,16,2,－,6,1,1,56,－,5,－,153,7,67,68,95,173,－,－,－
芝,4126,－,－,1,24,7,95,12,40,321,15,－,2,74,2,－,5,16,25,162,1,21,－,121,21,1409,40,1037,667,1,－,7
麻布,2464,－,－,1,6,3,72,7,21,749,8,6,5,25,3,－,1,2,31,30,1,7,－,25,13,168,88,648,544,－,－,－
赤坂,2338,2,－,1,1,32,38,19,18,447,6,1,3,16,3,－,2,6,14,9,1,2,－,13,39,444,25,823,371,－,－,2
高輪,1464,－,－,－,1,3,13,3,15,507,5,5,9,72,4,－,6,3,25,91,－,5,－,59,22,151,48,160,253,－,－,4
品川,3552,1,－,4,7,3,21,5,34,961,20,8,12,69,4,1,11,2,50,403,1,15,－,163,33,457,106,491,670,－,－,－
大井,2637,2,－,3,14,1,56,16,16,954,22,8,7,26,2,2,20,2,10,196,－,15,－,103,14,183,36,405,524,－,－,－
荏原,3053,－,－,－,3,4,34,45,1,1002,25,7,11,83,1,－,32,4,18,197,－,5,－,44,19,127,62,597,732,－,－,－
大森,6029,9,－,－,13,4,76,47,14,2437,55,19,25,71,6,－,38,2,44,877,－,34,－,285,56,288,110,653,860,－,－,6
東調布,3615,1,－,－,3,1,35,21,10,1656,30,19,27,72,4,－,24,4,38,257,－,6,－,109,29,141,54,500,572,－,－,2
蒲田,4918,1,－,6,8,2,54,37,41,1453,43,16,15,68,－,－,37,2,28,931,－,37,6,172,27,228,89,724,892,－,－,1
矢口,2941,1,1,1,9,2,26,21,23,954,20,9,10,43,2,1,22,－,15,437,－,17,－,67,11,150,73,525,500,－,－,1
目黒,6639,－,1,1,11,2,70,44,21,3169,40,27,32,135,7,－,36,3,30,280,－,8,－,75,47,305,135,1145,1010,－,－,5
世田谷,7530,2,1,－,16,4,45,54,6,3915,70,36,36,274,3,－,51,5,53,122,1,3,－,86,79,191,87,1239,1145,－,－,6
玉川,3752,6,－,－,8,2,50,33,4,1767,25,18,17,144,3,1,23,3,27,85,－,1,－,82,26,191,59,578,595,－,－,4
成城,2868,1,1,－,8,－,37,31,3,1353,33,34,28,164,4,－,19,－,40,38,11,3,－,77,14,74,82,437,370,－,－,6
渋谷,8764,8,2,25,11,15,130,68,135,2952,45,19,17,209,11,1,28,13,66,102,－,23,－,51,43,988,126,2139,1533,1,－,3
四谷,2719,4,－,16,8,4,68,29,57,573,20,3,－,31,2,1,3,4,9,18,－,11,－,25,4,474,72,766,517,－,－,－
牛込,3363,1,－,－,23,31,25,10,16,1056,23,8,4,104,2,－,11,4,37,182,1,2,－,61,47,318,67,522,808,－,－,－
新宿,5782,2,2,－,31,6,139,49,189,1891,33,11,19,225,4,6,32,10,32,165,－,16,－,43,69,450,71,1443,839,4,－,1
中野,3695,－,2,－,5,3,32,15,10,1697,18,21,10,99,2,2,32,5,23,95,－,10,－,32,22,183,65,673,639,－,－,－
野方,2774,－,－,－,7,1,10,20,4,1375,28,25,23,71,3,－,32,4,30,53,－,3,－,47,34,101,38,403,462,－,－,－
杉並,5242,2,3,－,16,3,51,48,20,2526,27,33,33,174,6,－,53,3,55,97,－,1,－,55,33,254,66,823,853,－,－,7
荻窪,3878,1,2,－,10,2,37,27,5,1809,25,17,23,121,2,－,20,1,29,82,1,6,－,71,29,146,61,693,658,－,－,－
小石川,2800,1,1,－,4,3,17,8,12,869,12,8,20,160,4,－,14,9,30,110,－,6,－,46,27,192,30,443,765,－,－,9
本郷,3444,－,－,1,5,10,74,6,65,862,25,6,7,138,2,2,12,5,42,87,－,17,－,37,16,518,59,582,852,－,－,14
豊島,4468,3,2,2,13,26,61,29,77,1385,30,18,12,122,1,6,23,9,35,130,－,18,－,31,31,413,52,1136,801,1,－,1
池袋,4003,1,－,1,9,16,46,24,89,1882,27,24,10,75,3,10,20,6,17,99,－,23,－,38,24,193,27,775,563,1,－,－
王子,2501,1,－,－,10,2,28,20,11,795,19,12,14,87,2,－,29,2,13,180,－,12,－,93,26,131,57,559,398,－,－,－
赤羽,2604,6,－,2,7,1,32,32,17,921,30,15,13,36,－,3,23,3,22,346,－,9,－,116,28,91,45,394,412,－,－,－
滝野川,2675,1,－,－,2,－,16,11,6,987,24,5,11,73,2,1,20,3,23,143,－,4,－,57,13,105,51,444,672,－,－,1
板橋,957,－,1,－,13,1,16,18,3,271,43,32,16,107,6,－,1,1,3,26,－,1,－,2,8,50,14,189,135,－,－,－
志村,5942,3,1,－,7,1,58,58,6,2163,55,26,34,121,7,1,39,9,31,1006,－,12,－,320,34,191,149,698,912,－,－,－
練馬,4202,－,1,－,5,－,45,34,3,2028,19,19,19,97,3,－,30,4,24,181,－,4,－,122,24,148,66,668,657,－,－,1
光が丘,1523,－,－,－,3,－,19,34,2,632,10,7,17,64,1,－,11,1,7,92,－,14,－,76,40,48,9,182,254,－,－,－
石神井,2936,－,－,－,2,2,48,34,7,1197,47,45,49,120,7,1,25,5,29,62,22,2,－,41,27,101,78,544,441,－,－,－
上野,4606,4,2,18,17,6,151,97,136,521,15,6,2,39,16,3,24,11,134,100,－,17,－,111,26,659,69,1096,1309,－,－,17
浅草,3461,－,－,1,6,9,43,144,39,192,19,3,1,11,1,1,10,4,71,186,－,29,－,325,19,594,11,738,1004,－,－,－
日本堤,3355,7,1,4,14,21,110,74,194,435,18,5,5,6,－,145,16,2,32,195,－,23,－,218,13,78,23,905,806,1,－,4
荒川,3328,－,－,3,13,2,25,16,76,598,32,12,9,53,2,－,37,10,27,463,－,15,－,230,30,206,47,530,892,－,－,－
尾久,1967,－,－,－,3,9,19,22,2,463,14,12,5,34,1,－,26,－,9,374,－,4,－,87,11,57,44,270,501,－,－,－
千住,2175,－,1,－,7,5,35,33,13,538,24,9,11,51,－,3,24,3,10,330,－,26,－,207,26,110,36,350,323,－,－,－
足立,6504,－,1,－,14,－,101,103,28,2409,70,39,52,104,2,4,44,6,24,689,－,15,－,578,28,124,131,803,1135,－,－,－
西新井,3748,－,－,1,14,－,113,95,14,934,47,24,33,79,－,1,41,－,23,621,－,7,－,531,27,100,109,409,522,－,－,3
本所,4674,2,1,1,8,50,62,23,47,485,18,10,5,41,1,1,5,11,28,335,－,11,－,225,24,307,101,912,1960,－,－,－
向島,2674,－,－,－,3,2,26,26,3,560,26,15,11,50,3,－,37,2,20,825,－,40,－,113,22,100,31,310,449,－,－,－
深川,5022,1,4,－,9,5,98,24,55,973,22,16,14,71,4,－,23,13,27,489,1,27,－,713,147,239,102,685,1258,－,－,2
城東,4419,－,－,－,8,7,78,32,12,937,20,16,24,97,3,－,36,4,13,718,－,30,20,652,38,272,139,611,652,－,－,－
本田,6682,1,－,1,17,4,45,59,21,2645,59,32,31,96,3,3,5,4,24,1189,－,25,－,370,49,177,74,803,944,－,－,1
金町,2939,1,－,3,7,3,60,50,10,1402,38,31,18,59,1,5,33,2,25,204,－,10,－,108,10,90,41,420,308,－,－,－
江戸川,8751,4,1,－,23,9,133,279,19,2870,64,36,38,136,4,1,62,2,52,1788,－,27,－,559,31,299,136,909,1268,－,－,1
小岩,2220,1,－,－,2,1,25,34,21,809,36,18,28,64,1,3,43,3,17,172,－,7,－,109,14,86,43,372,311,－,－,－
受託地区,53564,33,27,60,168,51,1194,1269,461,19164,869,866,507,2654,71,13,179,54,392,4961,19,113,6,1879,775,2211,1897,7211,6331,1,－,128
立川,5401,9,3,2,20,4,132,131,54,1879,58,90,46,258,4,1,18,6,31,453,－,13,3,179,110,254,193,879,561,－,－,10
国分寺,3007,－,1,25,22,－,118,42,11,1182,35,38,22,134,4,2,15,3,24,73,－,1,－,60,45,123,41,501,480,－,－,5
小平,3087,－,－,－,12,1,48,73,12,1314,37,40,30,134,5,－,4,5,26,232,－,12,－,77,28,118,93,387,397,－,－,2
武蔵野,3286,1,3,7,10,4,76,44,13,1402,32,17,15,148,4,1,17,1,18,100,－,7,－,29,32,181,51,605,466,1,－,1
保谷,2232,1,1,－,2,3,36,33,6,970,20,28,23,90,－,1,14,3,16,117,－,－,－,34,49,49,83,302,350,－,－,1
三鷹,2342,－,1,－,－,－,19,26,4,888,34,20,31,96,5,1,10,－,7,197,2,7,3,67,22,108,118,250,426,－,－,－
調布,3232,5,2,－,5,3,46,41,25,1225,28,33,20,140,9,－,22,1,27,230,11,4,－,114,46,103,115,478,497,－,－,2
府中,3157,7,1,1,8,1,56,49,15,1113,52,46,29,127,4,2,15,3,24,313,5,4,－,148,40,163,93,397,438,－,－,3
東村山,1725,－,1,－,13,－,35,33,11,513,82,70,24,70,2,1,7,4,10,181,－,2,－,87,18,59,62,252,185,－,－,3
狛江,993,－,－,－,1,－,10,12,2,430,7,9,9,41,－,－,6,－,8,81,－,1,－,22,7,21,45,123,157,－,－,1
北多摩西部,2484,－,1,－,4,－,69,109,31,627,41,35,33,83,2,－,9,2,12,432,－,1,－,169,56,69,65,267,365,－,－,2
清瀬,943,1,－,1,4,－,16,18,3,395,51,31,15,53,2,－,6,1,10,32,－,－,－,17,13,26,36,131,79,－,－,2
八王子,7378,1,7,8,26,21,176,222,74,2312,141,134,76,506,4,2,15,11,79,887,－,27,－,336,120,360,209,1010,589,－,－,25
日野,2461,－,1,－,7,－,45,39,4,927,33,51,25,117,6,－,3,1,16,213,－,1,－,64,29,97,154,286,331,－,－,11
町田,4090,3,－,－,12,1,105,135,18,1496,71,51,57,332,8,1,12,3,35,221,－,17,－,134,61,122,133,571,478,－,－,13
青梅,2116,1,1,－,7,5,69,92,59,548,51,70,3,62,6,－,1,4,12,430,1,5,－,131,34,85,141,152,123,－,－,23
福生,2776,－,3,16,9,5,82,105,25,771,35,34,17,72,4,1,4,4,21,520,－,4,－,148,23,179,113,358,216,－,－,7
秋川,882,－,1,－,5,3,28,36,60,104,22,41,13,84,1,－,－,－,8,192,－,1,－,28,20,53,70,53,50,－,－,9
奥多摩,166,－,－,－,－,－,12,－,32,16,2,6,－,12,－,－,－,1,－,22,－,－,－,2,8,3,18,21,5,－,－,6
多摩,1806,4,－,－,1,－,16,29,2,1052,37,22,19,95,1,－,1,1,8,35,－,6,－,33,14,38,64,188,138,－,－,2
