年次,死者／死者の発生した火災件数,死者／計,死者／一般人,死者／消防関係者,死者／消防職員,死者／消防団員,傷者／計,傷者／一般人,傷者／消防関係者,傷者／消防職員,傷者／消防団員
61,137,147,147,－,－,－,1103,971,1,110,21
62,133,162,162,－,－,－,1101,981,4,99,17
63,123,131,130,－,1,－,1092,989,5,83,15
元,107,116,116,－,－,－,1065,963,－,87,15
2,103,118,117,－,1,－,1055,985,1,58,11
