年次,計,建物／小計,建物／全焼,建物／半焼,建物／部分焼,建物／ぼや,車両,船舶,航空機,林野,その他
60,124,96,35,22,23,16,5,1,－,－,22
61,147,108,33,23,30,22,4,－,－,－,35
62,162,122,45,37,19,21,6,－,－,－,34
63,131,98,38,19,20,21,7,－,－,－,26
元,116,100,34,28,19,19,2,－,－,－,14
