消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十七)
計,178,－,－,－,－,1,16,－,18,29,－,8,5,8,－,－,5,－,20,15,－,－,－,－,2,16,8,14,13,－,－
特別区,101,－,－,－,－,－,3,－,2,26,－,6,3,3,－,－,4,－,15,11,－,－,－,－,1,12,2,5,8,－,－
丸の内,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麹町,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
神田,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,2,1,－,－
京橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臨港,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
芝,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,1,－,－,－,－
麻布,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤坂,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
高輪,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
品川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
大井,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,1,－,－,－,－,－
荏原,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
大森,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
東調布,9,－,－,－,－,－,－,－,－,8,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
蒲田,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－
矢口,4,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,1,－,－,－,－,－
目黒,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
世田谷,3,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
玉川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
成城,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
渋谷,4,－,－,－,－,－,－,－,－,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－
四谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
牛込,2,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
新宿,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
中野,5,－,－,－,－,－,－,－,－,5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
野方,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
杉並,5,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,2,－,－,－
荻窪,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－
小石川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
本郷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
豊島,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－
池袋,6,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－
王子,6,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－
赤羽,3,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－
滝野川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
板橋,4,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,1,2,－,－,－,－,－,－,－,－,－,－,－
志村,5,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,－,－
練馬,1,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
光が丘,2,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－
石神井,3,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
上野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
浅草,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本堤,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
荒川,5,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,－,－,－
尾久,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－
千住,4,－,－,－,－,－,－,－,－,1,－,－,1,1,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－
足立,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,1,2,－,－
西新井,4,－,－,－,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－
本所,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－
向島,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
深川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
城東,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
本田,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
金町,3,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－
江戸川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小岩,1,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
受託地区,77,－,－,－,－,1,13,－,16,3,－,2,2,5,－,－,1,－,5,4,－,－,－,－,1,4,6,9,5,－,－
立川,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,3,1,1,－,－
国分寺,14,－,－,－,－,－,－,－,－,1,－,－,－,2,－,－,1,－,2,1,－,－,－,－,－,－,－,4,3,－,－
