業態,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積(㎡)",損害額（円）・建物(収容物含む),損害額（円）・建物以外,死者,負傷者
平成27年,"4,430","2,922",84,93,515,"2,230",3,296,2,3,1204,"20,750","3,613,267,387","312,401,492",95,827
平成28年,"3,980","2,766",75,89,421,"2,181",1,275,3,1,934,"17,529","3,849,698,930","1,074,709,277",83,853
平成29年,"4,204","2,837",84,77,474,"2,202",3,216,0,0,"1,148","20,719","4,837,506,613","309,542,939",79,758
平成30年,"3,972","2,696",64,87,447,"2,098",2,225,3,0,1046,"18,604","5,830,089,126","240,893,724",86,798
令和元年,"4,085","2,904",81,83,455,"2,285",5,206,1,-,969,"18,295","7,510,880,651","178,060,769",108,705
業態別計,"1,373",1111,14,12,151,934,1,107,1,-,153,"5,042","4,757,450,060","67,342,452",8,186
農業,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-
農業_農業,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-
林業,1,1,-,-,1,-,-,-,-,-,-,-,"100,000",-,-,-
林業_林業,1,1,-,-,1,-,-,-,-,-,-,-,"100,000",-,-,-
漁業,1,-,-,-,-,-,-,-,-,-,1,-,-,"5,600",-,-
漁業_漁業,1,-,-,-,-,-,-,-,-,-,1,-,-,"5,600",-,-
鉱業,4,3,-,-,2,1,-,1,-,-,-,561,"226,767,100",-,-,-
鉱業_鉱業,4,3,-,-,2,1,-,1,-,-,-,561,"226,767,100",-,-,-
建設業,83,46,4,2,12,28,-,11,-,-,26,617,"541,425,212","13,651,840",1,18
建設業_総合工事業,45,29,1,2,7,19,-,5,-,-,11,368,"517,694,542","12,821,500",1,13
建設業_職別工事業（設備工事業を除く）,27,11,3,-,3,5,-,6,-,-,10,234,"19,097,620","772,660",-,5
建設業_設備工事業,11,6,-,-,2,4,-,-,-,-,5,15,"4,633,050",57680,-,-
製造業,100,88,4,2,16,66,-,4,-,-,8,836,292881566,3731300,-,24
製造業_食料品製造業,18,18,1,1,5,11,-,-,-,-,-,456,139123261,500,-,12
製造業_飲料・たばこ・飼料製造業,4,2,-,-,-,2,-,-,-,-,2,-,"11,400",-,-,1
製造業_衣服・その他の繊維製品製造業,2,2,-,-,-,2,-,-,-,-,-,-,"1,700",-,-,-
製造業_木材・木製品製造業（家具を除く）,3,2,1,1,-,-,-,-,-,-,1,58,"1,323,932",21000,-,-
製造業_家具・装備品製造業,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
製造業_パルプ・紙・紙加工品製造業,3,-,-,-,-,-,-,1,-,-,2,-,-,895000,-,-
製造業_印刷・同関連業,4,4,-,-,-,4,-,-,-,-,-,-,4650,-,-,-
製造業_化学工業,3,2,-,-,-,2,-,-,-,-,1,-,15600,55000,-,-
製造業_石油製品・石炭製品製造業,1,1,-,-,-,1,-,-,-,-,-,-,"2,500",-,-,-
製造業_プラスチック製品製造業（別掲を除く）,5,4,-,-,1,3,-,-,-,-,1,30,"45,746,110",800,-,1
製造業_ゴム製品製造業,6,6,1,-,-,5,-,-,-,-,-,136,"22,560,205",10000,-,1
製造業_なめし革・同製品・毛皮製造業,3,3,-,-,1,2,-,-,-,-,-,20,"6,203,950",-,-,-
製造業_窯業・土石製品製造業,4,3,1,-,1,1,-,1,-,-,-,106,"2,665,200",4000,-,2
製造業_鉄鋼業,3,3,-,-,1,2,-,-,-,-,-,-,47100,-,-,-
製造業_非鉄金属製造業,2,2,-,-,2,-,-,-,-,-,-,1,16000,-,-,-
製造業_金属製品製造業,7,7,-,-,3,4,-,-,-,-,-,-,4927800,-,-,2
製造業_一般機械器具製造業,5,4,-,-,-,4,-,-,-,-,1,-,850,2500000,-,3
製造業_電気機械器具製造業,7,7,-,-,-,7,-,-,-,-,-,-,"16,700",-,-,1
製造業_情報通信機械器具製造業,3,3,-,-,-,3,-,-,-,-,-,-,166500,-,-,-
製造業_電子部品・デバイス製造業,2,2,-,-,-,2,-,-,-,-,-,-,"1,448",-,-,-
製造業_輸送用機械器具製造業,7,6,-,-,-,6,-,1,-,-,-,-,8729850,200000,-,1
製造業_精密機械器具製造業,4,4,-,-,1,3,-,-,-,-,-,29,60598300,-,-,-
製造業_その他の製造業,3,2,-,-,1,1,-,1,-,-,-,-,"718,510",45000,-,-
電気・ガス・熱供給・水道業,21,10,1,-,-,9,-,-,-,-,11,184,"726,864,284",47160,-,1
電気・ガス・熱供給・水道業_電気業,20,9,1,-,-,8,-,-,-,-,11,184,"726,827,284",47160,-,1
電気・ガス・熱供給・水道業_ガス業,1,1,-,-,-,1,-,-,-,-,-,-,"37,000",-,-,-
情報通信業,32,31,-,-,1,30,-,1,-,-,-,200,353709895,68000,-,-
情報通信業_通信業,7,7,-,-,-,7,-,-,-,-,-,-,"7,345",-,-,-
情報通信業_放送業,7,7,-,-,-,7,-,-,-,-,-,-,1574100,-,-,-
情報通信業_情報サービス業,8,8,-,-,-,8,-,-,-,-,-,-,89950,-,-,-
情報通信業_インターネット附随サービス業,5,5,-,-,-,5,-,-,-,-,-,-,"8,300",-,-,-
情報通信業_映像・音声・文字情報制作業,5,4,-,-,1,3,-,1,-,-,-,200,"352,030,200",68000,-,-
運輸業,90,36,-,-,2,34,1,34,1,-,18,705,"1,792,643,039",29947782,3,5
運輸業_鉄道業,45,27,-,-,-,27,1,5,-,-,12,-,"3,415,029",53406,-,1
運輸業_道路旅客運送業,2,-,-,-,-,-,-,2,-,-,-,-,-,264700,-,-
運輸業_道路貨物運送業,28,1,-,-,1,-,-,27,-,-,-,45,"3,853,860",16432938,-,2
運輸業_水運業,1,-,-,-,-,-,-,-,1,-,-,-,-,13146600,-,1
運輸業_航空運輸業,2,2,-,-,-,2,-,-,-,-,-,-,"6,500",-,-,-
運輸業_倉庫業,3,2,-,-,1,1,-,-,-,-,1,660,1785157250,8100,3,1
運輸業_運輸に付帯するサービス業,9,4,-,-,-,4,-,-,-,-,5,-,"210,400",42038,-,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
