用途,火災件数／計,火災件数／全焼,火災件数／半焼,火災件数／部分焼,火災件数／ぼや,焼損棟数／計,焼損棟数／全焼,焼損棟数／半焼,焼損棟数／部分焼,焼損棟数／ぼや,り災世帯数／計,り災世帯数／全損,り災世帯数／半損,り災世帯数／小損,り災人員,焼損床面積(m2),損害額(千円),死者,傷者
計,3708,296,248,320,2841,4823,394,310,353,3766,4278,636,459,3183,10702,61645,14502190,104,951
政令用途,2646,125,125,252,2144,3168,180,152,275,2561,2713,422,276,2015,5858,37754,9453742,57,584
政令用途／(一)／イ／観覧場,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－
政令用途／(一)／ロ／公会堂,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,－,－,1
政令用途／(一)／ロ／集会場,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,5,－,1
政令用途／(二)／ロ／遊技場,3,－,－,－,3,3,－,－,－,3,－,－,－,－,－,－,922,－,－
政令用途／(三)／イ／待合,1,1,－,－,－,3,1,－,－,2,5,2,－,3,8,130,7997,－,1
政令用途／(三)／イ／料理店,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－
政令用途／(三)／ロ／飲食店,40,2,3,－,35,47,2,4,－,41,10,1,2,7,26,569,105491,－,2
政令用途／(四)／百貨店,11,1,－,－,10,18,2,－,－,16,2,1,－,1,4,1519,308101,－,－
政令用途／(四)／物品販売店舗,19,1,－,2,16,22,1,－,3,18,2,－,－,2,6,115,106296,－,4
政令用途／(五)／イ／旅館,2,－,－,－,2,2,－,－,－,2,1,－,－,1,2,－,286,－,1
政令用途／(五)／イ／ホテル,6,－,－,－,6,6,－,－,－,6,1,－,－,1,1,－,2377,－,3
政令用途／(五)／イ／宿泊所,3,1,－,－,2,5,1,1,－,3,30,30,－,－,31,358,57713,3,7
政令用途／(五)／ロ／寄宿舎,60,3,6,7,44,70,5,6,7,52,158,48,11,99,282,1200,193645,－,13
政令用途／(五)／ロ／共同住宅,802,4,32,87,679,869,4,35,89,741,1046,126,99,821,2104,4268,1060008,16,180
政令用途／(六)／イ／病院,18,1,－,1,16,20,1,－,1,18,3,－,－,3,51,345,22200,－,2
政令用途／(六)／ロ／有料老人ホーム,1,－,－,－,1,1,－,－,－,1,1,－,－,1,20,－,10,－,－
政令用途／(六)／ロ／児童福祉施設,4,－,－,－,4,4,－,－,－,4,－,－,－,－,－,－,66,－,－
政令用途／(六)／ロ／身障者更生援護施設,1,－,－,－,1,1,－,－,－,1,1,－,－,1,1,－,4,－,－
政令用途／(六)／ハ／幼稚園,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,2378,－,－
政令用途／(七)／小学校,13,－,－,1,12,13,－,－,1,12,－,－,－,－,－,30,12804,－,7
政令用途／(七)／中学校,14,1,－,－,13,14,1,－,－,13,－,－,－,－,－,283,14381,－,1
政令用途／(七)／高等学校,10,－,－,1,9,10,－,－,1,9,－,－,－,－,－,10,5519,－,－
政令用途／(七)／高等専門学校,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,22,－,－
政令用途／(七)／大学,11,－,1,1,9,11,－,1,1,9,－,－,－,－,－,105,17861,－,－
政令用途／(七)／各種学校,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,3,－,1
政令用途／(七)／専修学校,4,－,－,－,4,4,－,－,－,4,－,－,－,－,－,－,1165,－,－
政令用途／(八)／美術館,2,－,－,－,2,2,－,－,－,2,－,－,－,－,－,－,78380,－,－
政令用途／(九)／イ／熱気浴場,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－
政令用途／(九)／ロ／公衆浴場,5,1,－,1,3,9,1,－,1,7,7,－,－,7,20,290,28488,－,5
政令用途／(十)／停車場,7,－,－,－,7,7,－,－,－,7,－,－,－,－,－,－,2,－,－
政令用途／(十一)／神社,10,6,－,－,4,20,7,1,1,11,11,2,2,7,29,535,109663,－,－
政令用途／(十一)／寺院,7,1,－,－,6,7,1,－,－,6,1,－,－,1,3,30,4748,－,－
政令用途／(十一)／その他(11項),2,1,1,－,－,3,1,1,－,1,1,－,－,1,5,16,369,－,－
政令用途／(十二)／イ／工場,44,4,2,4,34,59,10,2,5,42,30,1,1,28,84,2104,634329,9,34
政令用途／(十二)／イ／作業場,105,19,6,10,70,206,39,13,14,140,99,12,8,79,295,6365,1679347,－,31
政令用途／(十三)／イ／車庫,11,2,－,－,9,11,2,－,－,9,－,－,－,－,－,85,12170,－,－
政令用途／(十三)／イ／駐車場,7,－,－,－,7,7,－,－,－,7,－,－,－,－,－,－,884,－,－
政令用途／(十四)／倉庫,70,22,7,3,38,109,28,10,5,66,30,1,－,29,65,2529,327068,－,5
政令用途／(十五)／官公署,3,－,－,－,3,3,－,－,－,3,－,－,－,－,－,－,101,－,－
政令用途／(十五)／銀行,4,－,－,－,4,4,－,－,－,4,－,－,－,－,－,－,2483,－,－
政令用途／(十五)／事務所,55,5,2,8,40,61,6,2,8,45,2,－,－,2,8,357,124278,－,5
政令用途／(十五)／研究所,2,－,－,2,－,2,－,－,2,－,－,－,－,－,－,30,14454,－,－
政令用途／(十五)／その他の事業場,76,10,2,2,62,81,10,2,2,67,2,1,－,1,6,608,67801,3,8
政令用途／(十六)／イ／特定用途の複合,605,20,18,61,506,694,24,20,65,585,447,68,47,332,1068,6147,1835072,13,121
政令用途／(十六)／ロ／非特定用途の複合,599,19,45,61,474,751,33,54,69,595,823,129,106,588,1739,9726,2614811,13,151
政令用途／(十六の二)／地下街(指定),1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－
政令用途以外／,1062,171,123,68,700,1655,214,158,78,1205,1565,214,183,1168,4844,23891,5048448,47,367
政令用途以外／住宅,867,125,111,52,579,1369,156,141,61,1011,1477,202,180,1095,4565,18791,4559545,43,344
政令用途以外／住宅の付属家,60,27,4,－,29,100,38,5,－,57,38,8,－,30,121,1242,132668,2,13
政令用途以外／空家,52,15,6,8,23,74,16,6,8,44,16,－,－,16,53,2850,120577,2,3
政令用途以外／使用中建物の空家部分,4,－,－,－,4,4,－,－,－,4,－,－,－,－,－,－,1,－,－
政令用途以外／工事中の建物,77,4,2,8,63,106,4,6,9,87,32,4,3,25,99,1008,235649,－,7
政令用途以外／使用中建物の工事部分,2,－,－,－,2,2,－,－,－,2,2,－,－,2,6,－,8,－,－
