地域,団数,分団数,定員,現員,防災資機材格納庫,消防団用可搬ポンプ,ホース(本),防火服
合計,57,436,16000,13991,970,970,19400,16000
丸の内,1,2,100,90,1,1,20,100
麹町,1,3,120,103,3,3,60,120
神田,1,3,150,150,7,7,140,150
京橋,1,7,150,135,7,7,140,150
日本橋,1,7,150,134,7,7,140,150
臨港,1,4,100,75,4,4,80,100
芝,1,8,220,182,16,16,320,220
麻布,1,4,120,102,8,8,160,120
赤坂,1,3,130,119,6,6,120,130
高輪,1,4,110,93,9,9,180,110
品川,1,6,270,195,12,12,240,270
大井,1,4,200,173,9,9,180,200
荏原,1,7,230,181,15,15,300,230
大森,1,8,300,254,20,20,400,300
東調布,1,9,300,278,18,18,360,300
蒲田,1,7,300,268,15,15,300,300
矢口,1,7,270,231,16,16,320,270
目黒,1,12,500,427,33,33,660,500
世田谷,1,18,700,615,49,49,980,700
玉川,1,11,300,292,15,15,300,300
成城,1,7,250,222,20,20,400,250
渋谷,1,11,450,340,25,25,500,450
四谷,1,3,100,91,3,3,60,100
牛込,1,4,150,129,4,4,80,150
新宿,1,12,300,242,16,16,320,300
中野,1,8,250,207,16,16,320,250
野方,1,8,250,213,21,21,420,250
杉並,1,9,400,367,37,37,740,400
荻窪,1,7,350,296,16,16,320,350
小石川,1,6,200,170,8,8,160,200
本郷,1,6,200,170,7,7,140,200
豊島,1,7,220,212,8,8,160,220
池袋,1,6,230,216,12,12,240,230
王子,1,8,200,193,10,10,200,200
赤羽,1,7,200,187,14,14,280,200
滝野川,1,8,210,184,17,17,340,210
板橋,1,8,350,335,21,21,420,350
志村,1,10,350,337,27,27,540,350
練馬,1,8,280,254,17,17,340,280
光が丘,1,5,180,161,11,11,220,180
石神井,1,10,330,316,17,17,340,330
上野,1,8,280,247,16,16,320,280
浅草,1,4,130,117,5,5,100,130
日本堤,1,4,140,137,7,7,140,140
荒川,1,8,300,273,17,17,340,300
尾久,1,6,200,200,14,14,280,200
千住,1,8,380,325,17,17,340,380
足立,1,12,520,473,45,45,900,520
西新井,1,9,360,324,29,29,580,360
本所,1,8,300,279,16,16,320,300
向島,1,9,350,285,19,19,380,350
深川,1,10,290,244,20,20,400,290
城東,1,8,280,241,18,18,360,280
本田,1,16,700,532,51,51,1020,700
金町,1,11,500,436,23,23,460,500
江戸川,1,15,650,545,45,45,900,650
小岩,1,8,450,394,31,31,620,450
