消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者
計,244,118,20,7,8,83,15,－,－,1,110,2822,572591,1,19
特別区,172,84,13,4,5,62,8,－,－,－,80,2019,412409,1,9
丸の内,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麹町,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
神田,1,1,－,－,－,1,－,－,－,－,－,2,670,－,－
京橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臨港,3,2,－,－,－,2,－,－,－,－,1,2,3,－,－
芝,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麻布,2,－,－,－,－,－,－,－,－,－,2,－,－,－,－
赤坂,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－
高輪,2,1,－,－,－,1,－,－,－,－,1,－,2,－,－
品川,5,4,1,－,－,3,－,－,－,－,1,43,6578,－,1
大井,4,－,－,－,－,－,－,－,－,－,4,－,－,－,－
荏原,2,1,－,－,－,1,－,－,－,－,1,－,12,－,－
大森,7,5,－,－,－,5,－,－,－,－,2,－,37,－,－
東調布,3,－,－,－,－,－,－,－,－,－,3,－,－,－,－
蒲田,6,4,－,－,1,3,－,－,－,－,2,30,7185,－,－
矢口,5,1,－,－,－,1,1,－,－,－,3,－,11,－,－
目黒,5,1,－,－,－,1,1,－,－,－,3,－,151,－,－
世田谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
玉川,14,3,－,1,－,2,1,－,－,－,10,197,34718,－,－
成城,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－
渋谷,3,1,－,－,1,－,－,－,－,－,2,18,2502,－,－
四谷,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－
牛込,1,1,1,－,－,－,－,－,－,－,－,149,2425,－,－
新宿,2,2,－,－,2,－,－,－,－,－,－,59,15793,－,1
中野,6,1,－,－,－,1,1,－,－,－,4,－,40,－,－
野方,5,4,－,－,－,4,1,－,－,－,－,－,192,－,－
杉並,6,3,－,－,－,3,－,－,－,－,3,－,39,－,－
荻窪,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小石川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
本郷,1,1,1,－,－,－,－,－,－,－,－,103,53828,－,1
豊島,3,1,－,－,－,1,－,－,－,－,2,－,237,－,－
池袋,2,1,－,－,－,1,－,－,－,－,1,－,239,－,－
王子,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤羽,1,1,1,－,－,－,－,－,－,－,－,94,13245,－,1
滝野川,5,4,－,－,－,4,－,－,－,－,1,－,7062,－,1
板橋,2,2,－,1,－,1,－,－,－,－,－,106,15923,－,－
志村,15,10,1,1,－,8,1,－,－,－,4,60,5025,－,－
練馬,2,1,－,－,－,1,1,－,－,－,－,－,14,－,－
光が丘,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
石神井,6,2,1,－,－,1,－,－,－,－,4,58,3824,－,－
上野,5,4,－,－,－,4,－,－,－,－,1,－,719,1,2
浅草,4,1,－,－,－,1,－,－,－,－,3,－,43,－,－
日本堤,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
荒川,2,1,－,－,－,1,－,－,－,－,1,－,202,－,－
尾久,5,2,－,－,－,2,1,－,－,－,2,－,31,－,－
千住,1,1,1,－,－,－,－,－,－,－,－,104,48904,－,－
足立,2,1,－,－,－,1,－,－,－,－,1,－,20,－,－
西新井,3,2,2,－,－,－,－,－,－,－,1,382,116416,－,－
本所,4,1,1,－,－,－,－,－,－,－,3,83,11093,－,－
向島,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
深川,1,1,－,1,－,－,－,－,－,－,－,44,2826,－,－
城東,3,2,1,－,－,1,－,－,－,－,1,302,37395,－,2
本田,9,4,1,－,－,3,－,－,－,－,5,42,2685,－,－
金町,8,4,1,－,1,2,－,－,－,－,4,141,22267,－,－
江戸川,2,1,－,－,－,1,－,－,－,－,1,－,41,－,－
小岩,1,1,－,－,－,1,－,－,－,－,－,－,12,－,－
受託地区,72,34,7,3,3,21,7,－,－,1,30,803,160182,－,10
立川,2,1,－,－,1,－,－,－,－,－,1,20,1955,－,－
国分寺,7,2,－,－,－,2,－,－,－,－,5,－,273,－,－
小平,1,1,1,－,－,－,－,－,－,－,－,100,40156,－,3
武蔵野,4,2,－,－,－,2,1,－,－,－,1,－,21,－,－
保谷,4,3,－,1,－,2,－,－,－,－,1,59,14660,－,－
三鷹,6,4,1,－,1,2,1,－,－,－,1,56,1026,－,1
調布,7,3,－,－,－,3,－,－,－,－,4,2,2619,－,－
府中,2,1,－,－,1,－,－,－,－,－,1,10,1338,－,－
東村山,4,2,1,－,－,1,－,－,－,－,2,115,35105,－,4
狛江,2,－,－,－,－,－,1,－,－,－,1,－,－,－,－
北多摩西部,1,1,－,1,－,－,－,－,－,－,－,148,33260,－,－
清瀬,4,1,－,－,－,1,－,－,－,－,3,－,1049,－,－
八王子,2,1,－,－,－,1,－,－,－,－,1,－,138,－,－
日野,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－
町田,4,3,1,－,－,2,1,－,－,－,－,50,2004,－,－
青梅,6,2,－,－,－,2,1,－,－,1,2,－,278,－,－
福生,5,2,1,1,－,－,2,－,－,－,1,150,15083,－,2
秋川,6,4,2,－,－,2,－,－,－,－,2,93,8578,－,－
奥多摩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
多摩,4,1,－,－,－,1,－,－,－,－,3,－,2639,－,－
