消防署,4階以上の建築物数／計,4階以上の建築物数／4階建,4階以上の建築物数／5階建,4階以上の建築物数／6階建,4階以上の建築物数／7階建,4階以上の建築物数／8階建,4階以上の建築物数／9階建,4階以上の建築物数／10階建,4階以上の建築物数／11階建,4階以上の建築物数／12階建,4階以上の建築物数／13階建,4階以上の建築物数／14階建,4階以上の建築物数／15階建,4階以上の建築物数／16階建,4階以上の建築物数／17階建,4階以上の建築物数／18階建,4階以上の建築物数／19階建,4階以上の建築物数／20階建,4階以上の建築物数／21階建,4階以上の建築物数／22階建,4階以上の建築物数／23階建,4階以上の建築物数／24階建,4階以上の建築物数／25階建,4階以上の建築物数／26階建,4階以上の建築物数／27階建,4階以上の建築物数／28階建,4階以上の建築物数／29階建,4階以上の建築物数／30階建,4階以上の建築物数／31階建,4階以上の建築物数／32階建,4階以上の建築物数／33階建,4階以上の建築物数／34階建,4階以上の建築物数／35階建,4階以上の建築物数／36階建,4階以上の建築物数／37階建,4階以上の建築物数／38階建,4階以上の建築物数／39階建,4階以上の建築物数／40階建,4階以上の建築物数／43階建,4階以上の建築物数／47階建,4階以上の建築物数／48階建,4階以上の建築物数／53階建,4階以上の建築物数／54階建,4階以上の建築物数／55階建,4階以上の建築物数／60階建,地階を有する建築物数／計,地階を有する建築物数／地下1階,地階を有する建築物数／地下2階,地階を有する建築物数／地下3階,地階を有する建築物数／地下4階,地階を有する建築物数／地下5階,地階を有する建築物数／地下6階,地階を有する建築物数／地下7階,地階を有する建築物数／地下8階
計,116652,44740,32053,12902,8700,6496,4834,3147,1779,746,325,645,95,28,17,18,13,17,9,6,13,9,15,5,2,2,4,5,4,1,1,1,1,2,2,1,3,3,1,1,1,1,2,1,1,47324,42304,4084,682,193,43,16,1,1
特別区,102349,38584,26319,12049,8162,6104,4648,2997,1567,713,314,615,87,28,17,18,13,17,9,6,13,9,15,5,2,2,4,5,4,1,1,1,1,2,2,1,3,3,1,1,1,1,2,1,1,42454,37722,3823,661,188,42,16,1,1
丸の内,178,11,7,4,4,19,37,22,16,8,3,6,9,3,2,4,2,4,2,1,2,4,2,2,－,－,1,－,2,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,209,45,61,41,43,16,3,－,－
麹町,1978,405,391,324,253,228,175,131,33,13,3,10,1,1,1,－,2,2,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,1,－,－,2,－,－,－,－,－,－,－,－,1267,985,220,40,16,1,4,－,1
神田,5282,1182,1344,903,631,550,405,201,32,17,4,6,2,－,2,－,－,1,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2694,2323,327,40,3,1,－,－,－
京橋,3642,658,889,523,381,470,417,201,60,15,3,10,3,3,2,1,－,2,1,1,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2392,1816,452,88,29,6,1,－,－
日本橋,2721,443,508,451,347,345,385,152,49,23,4,6,2,－,－,2,1,－,1,－,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1520,1223,211,71,11,4,－,－,－
臨港,420,114,117,56,33,26,10,13,17,5,7,16,2,1,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,96,78,10,5,2,1,－,－,－
芝,3731,742,828,550,470,387,398,172,73,49,17,18,8,3,2,－,2,－,2,－,1,2,1,2,1,－,－,－,－,－,－,－,－,－,－,－,1,2,－,－,－,－,－,－,－,1861,1563,239,44,12,3,－,－,－
麻布,1549,366,299,255,233,157,116,62,28,13,7,3,2,－,－,3,1,1,－,－,1,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1098,949,130,15,2,－,2,－,－
赤坂,1742,412,413,241,237,151,134,78,32,11,12,6,－,2,1,3,1,2,1,1,1,1,－,－,－,－,－,－,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,1299,1095,151,37,15,1,－,－,－
高輪,826,292,178,86,96,59,32,33,24,9,2,9,4,1,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,408,347,50,10,－,－,－,1,－
