資格,資格試験／受験者,資格試験／合格者,資格試験／合格率(％),免状交付
危険物取扱者,28624,13348,46.6,13514
危険物取扱者／甲種,728,345,47.7,345
危険物取扱者／乙種,23660,10474,44.3,10663
危険物取扱者／乙種／第1類,244,209,85.7,309
危険物取扱者／乙種／第2類,291,231,79.4,231
危険物取扱者／乙種／第3類,247,175,70.9,235
危険物取扱者／乙種／第4類,22349,9490,42.5,9489
危険物取扱者／乙種／第5類,251,174,69.3,199
危険物取扱者／乙種／第6類,278,195,70.1,200
危険物取扱者／丙種,4236,2529,59.7,2506
消防設備士,4878,2230,45.7,2230
消防設備士／甲種,2162,817,37.8,817
消防設備士／甲種／第1類,773,277,35.8,277
消防設備士／甲種／第2類,132,56,42.4,56
消防設備士／甲種／第3類,109,41,37.6,41
消防設備士／甲種／第4類,1036,407,39.3,407
消防設備士／甲種／第5類,112,36,32.1,36
消防設備士／乙種,2716,1413,52,1413
消防設備士／乙種／第1類,158,55,34.8,55
消防設備士／乙種／第2類,35,16,45.7,16
消防設備士／乙種／第3類,39,13,33.3,13
消防設備士／乙種／第4類,445,208,46.7,208
消防設備士／乙種／第5類,61,22,36.1,22
消防設備士／乙種／第6類,1662,851,51.2,851
消防設備士／乙種／第7類,316,248,78.5,248
消防警備業務技能試験,2636,1103,41.8,1103
