年次,計,劇場等,キャバレー等,飲食店等,百貨店等,旅館等,病院等,工場等,駐車場等,事務所等,複合用途,地下街,危険物・指定可燃物貯蔵取扱所
61,3622,121,7,83,248,371,189,676,13,379,1418,20,97
62,4219,52,2,73,335,519,588,629,13,472,1408,20,108
63,4716,42,4,47,223,443,1614,612,12,447,1161,12,99
元,4671,65,1,46,267,344,1561,443,5,345,1423,30,141
2,5241,84,8,67,396,297,1307,543,27,474,1618,25,395
