消防署,警報設備／自動火災報知設備／対象物数,警報設備／自動火災報知設備／設備数,警報設備／ガス漏れ火災警報設備／対象物数,警報設備／ガス漏れ火災警報設備／設備数,警報設備／漏電火災警報器／対象物数,警報設備／漏電火災警報器／設備数,警報設備／非常ベル・自動式サイレン／対象物数,警報設備／非常ベル・自動式サイレン／設備数,警報設備／放送設備／対象物数,警報設備／放送設備／設備数,避難設備／救助袋／対象物数,避難設備／救助袋／設備数,避難設備／緩降機／対象物数,避難設備／緩降機／設備数,避難設備／避難橋／対象物数,避難設備／避難橋／設備数,消防用水／対象物数,消防用水／設備数
計,84803,83894,763,766,33386,33812,44084,52305,8008,7692,4587,8615,10669,19288,103,102,469,471
特別区,65570,65700,629,632,26002,26479,35288,42430,6036,5978,3658,7291,9816,18113,88,87,409,406
丸の内,256,201,38,38,6,4,23,11,156,126,52,166,48,125,11,2,57,35
麹町,1127,1127,44,44,40,40,448,448,205,205,77,152,239,596,2,2,18,18
神田,1756,1888,14,13,16,16,1455,1455,211,224,129,387,1431,3218,13,13,－,－
京橋,1564,1564,53,53,42,42,765,765,258,258,120,120,1002,1002,6,6,3,3
日本橋,1672,1692,12,12,44,44,453,453,173,173,90,350,416,1475,7,7,4,4
臨港,344,340,4,4,29,29,42,42,39,39,13,13,26,26,－,－,－,－
芝,1912,1918,29,29,84,84,1147,2092,190,190,235,813,575,1588,5,5,26,25
麻布,1111,1111,10,10,92,92,454,454,88,88,38,109,146,356,－,－,5,5
赤坂,1107,1109,29,30,67,67,350,1980,149,150,61,212,255,795,12,20,17,17
高輪,627,627,15,15,77,77,143,143,61,61,26,74,77,168,－,－,10,10
品川,1251,1251,10,10,262,264,679,680,145,145,65,122,143,174,1,1,7,7
大井,739,682,7,7,384,392,365,364,53,51,30,72,62,111,－,－,14,15
荏原,642,642,3,3,459,461,524,524,52,52,39,61,103,130,－,－,－,－
大森,1529,1543,9,9,843,843,794,800,88,88,55,103,77,129,－,－,27,28
東調布,1096,1098,2,2,875,875,487,467,51,51,97,95,38,38,2,2,1,1
蒲田,1203,1203,4,4,458,458,654,654,62,62,52,52,64,64,－,－,14,14
矢口,824,821,7,7,638,840,473,473,53,54,59,155,70,130,1,1,12,12
目黒,1696,1696,13,13,1179,1179,968,968,151,151,96,159,95,149,－,－,4,4
世田谷,2051,2051,12,12,2230,2230,1407,1407,214,214,124,124,218,218,1,1,2,2
玉川,1041,965,8,7,355,354,689,690,64,64,55,82,77,94,－,－,1,1
成城,991,991,5,5,513,513,715,715,95,95,63,63,80,80,1,1,1,1
渋谷,2838,2838,53,53,751,751,1693,1693,351,351,100,100,494,494,8,8,16,16
四谷,1176,1176,12,12,124,124,550,557,103,103,65,192,180,389,－,－,2,2
牛込,1008,1008,16,14,198,198,504,504,92,92,72,72,174,174,－,－,2,2
新宿,2367,2417,61,67,687,690,1021,1022,292,299,121,427,360,1023,8,8,23,25
中野,726,727,9,9,547,547,466,469,57,49,31,50,69,135,－,－,1,1
野方,626,630,3,3,462,462,386,386,44,44,32,61,30,50,－,－,－,－
杉並,1398,1398,12,12,1415,1415,785,1637,120,120,60,88,77,270,－,－,－,－
