消防署,消防用水・対象物数,消防用水・設備数,消防活動上必要な設備・排煙設備・対象物数,消防活動上必要な設備・排煙設備・設備数,消防活動上必要な設備・連結散水設備・対象物数,消防活動上必要な設備・連結散水設備・設備数,消防活動上必要な設備・連結送水管・対象物数,消防活動上必要な設備・連結送水管・設備数,消防活動上必要な設備・非常コンセント設備・対象物数,消防活動上必要な設備・非常コンセント設備・設備数,消防活動上必要な設備・無線通信補助設備・対象物数,消防活動上必要な設備・無線通信補助設備・設備数
平成27年度,"2,429","2,936","1,951","3,703","2,494","3,956","60,579","66,177","13,462","17,686",794,681
平成28年度,"2,476","2,970","2,003","3,883","2,533","3,926","61,477","67,004","13,823","18,123",805,689
平成29年度,"2,535","3,019","2,040","3,969","2,553","3,923","62,294","67,587","14,214","18,535",812,702
平成30年度,"2,584","3,035","2,103","3,890","2,579","3,934","63,258","68,149","14,696","17,279",819,708
令和元年度,2640,2875,2156,2743,2608,3470,64097,65955,15155,13794,824,672
特別区,2309,2441,1779,2244,2165,2855,57278,58589,13783,12497,792,645
丸の内,97,105,66,105,11,28,191,324,124,105,83,57
麹町,66,72,34,40,92,97,"1,241","1,171",267,197,37,26
神田,48,50,35,34,50,84,"2,685","2,662",437,393,21,18
京橋,48,46,70,75,43,55,2448,2471,543,521,32,25
日本橋,36,38,163,181,42,40,2419,2416,552,359,38,23
臨港,70,75,15,33,32,82,451,597,167,198,20,19
芝,136,155,143,205,75,94,2443,2578,632,768,57,75
麻布,23,25,24,21,73,123,1160,1161,280,239,28,26
赤坂,54,62,27,29,73,104,986,1003,206,176,21,9
高輪,65,75,26,36,67,66,678,730,217,140,21,9
品川,70,97,23,23,81,101,1262,1309,413,266,17,10
大井,44,52,14,31,12,13,710,727,225,184,5,2
荏原,6,7,7,8,18,20,508,498,169,221,4,4
大森,92,96,25,31,36,36,951,980,174,148,3,3
田園調布,9,1,15,7,34,25,399,416,47,46,4,3
蒲田,57,75,30,36,14,29,740,771,203,160,10,10
矢口,45,44,14,15,16,21,470,495,95,111,2,1
目黒,17,17,7,12,81,77,1056,1031,193,154,6,6
世田谷,70,50,51,64,76,95,937,932,167,148,8,8
玉川,48,31,37,35,60,59,432,454,42,40,7,2
成城,16,21,14,10,47,54,335,365,30,22,1,1
渋谷,84,95,113,156,179,292,3075,3141,594,400,42,34
四谷,19,14,33,22,41,37,"1,006","1,005",199,187,10,7
牛込,29,27,26,28,66,75,996,951,269,225,15,11
新宿,77,88,73,110,89,120,2019,2137,544,560,47,31
中野,34,33,58,59,40,36,807,781,172,144,14,12
野方,3,4,6,4,18,18,313,306,30,30,2,4
杉並,41,31,44,50,48,122,770,788,107,62,5,5
荻窪,12,11,24,23,32,34,423,433,51,37,2,2
小石川,40,42,39,54,63,85,"1,086","1,124",343,249,19,15
本郷,38,35,35,39,82,66,1318,1350,405,347,15,17
豊島,32,35,44,48,58,65,1680,1619,399,369,11,8
池袋,16,17,29,39,19,22,777,798,141,124,12,12
王子,16,18,7,25,12,17,501,537,139,142,3,3
赤羽,18,22,22,22,12,23,571,531,173,166,6,6
滝野川,6,9,8,4,14,12,530,570,157,137,1,0
板橋,18,15,12,8,32,28,825,697,256,184,6,5
志村,74,49,27,41,41,40,944,1055,242,71,5,1
練馬,6,6,18,29,19,22,642,618,109,86,8,5
光が丘,5,4,16,24,15,18,304,318,95,50,9,3
石神井,6,9,24,21,16,14,334,308,35,27,1,0
上野,33,34,20,18,32,55,1719,1650,440,393,18,14
浅草,10,5,9,4,7,6,1437,1361,404,341,9,5
日本堤,16,16,14,11,8,8,726,762,191,186,4,4
荒川,22,20,8,10,10,10,891,908,252,181,5,4
尾久,2,2,2,2,7,5,304,285,92,89,1,2
千住,24,30,10,21,11,16,395,445,164,347,4,5
足立,16,13,19,20,20,35,948,966,172,147,2,1
西新井,13,13,8,9,3,2,388,396,64,86,1,1
本所,34,37,39,62,18,29,2173,2097,434,345,26,19
向島,72,52,6,17,3,6,451,495,133,154,7,3
深川,236,303,67,122,50,81,2016,2391,588,796,38,51
城東,75,84,23,34,21,46,1293,1408,432,486,5,3
本田,14,9,10,13,10,20,674,687,162,174,0,0
金町,15,20,6,11,7,19,325,340,94,107,2,3
江戸川,6,5,11,13,7,7,548,567,138,122,5,5
葛西,29,39,19,28,15,47,1171,1279,290,267,5,5
小岩,1,1,10,12,7,14,396,394,90,83,2,2
受託地区,331,434,377,499,443,615,6819,7366,1372,1297,32,27
立川,41,61,36,43,43,58,661,749,111,124,0,0
武蔵野,22,20,25,56,36,45,483,494,73,49,4,2
三鷹,13,12,6,3,15,23,373,404,60,46,0,0
府中,40,56,32,33,27,30,618,580,120,83,8,6
昭島,18,33,10,18,10,22,187,247,52,37,0,0
調布,10,16,20,21,32,29,389,399,74,94,4,3
小金井,2,3,7,5,15,16,175,189,35,37,0,0
小平,6,8,7,8,14,20,163,182,26,34,1,1
東村山,9,14,8,10,11,27,190,199,54,51,2,7
国分寺,8,6,4,4,13,13,201,195,41,25,0,0
狛江,6,7,2,3,6,5,75,90,14,13,0,0
北多摩西部,9,15,13,12,14,12,162,204,32,27,0,0
清瀬,6,15,3,6,5,5,68,79,10,7,0,0
東久留米,2,1,7,7,4,3,124,138,25,24,0,0
西東京,18,21,16,33,19,24,306,326,52,107,0,0
八王子,53,54,68,85,67,78,1216,1271,272,319,8,5
青梅,11,16,12,13,9,8,142,159,25,32,0,0
町田,21,30,40,64,35,42,505,528,116,84,3,3
日野,6,7,8,9,13,28,236,246,51,37,0,0
福生,4,4,15,27,10,22,127,150,15,20,0,0
多摩,25,29,32,30,34,85,393,514,114,47,0,0
秋川,1,6,6,9,9,18,25,23,0,0,1,0
奥多摩,0,0,0,0,2,2,0,0,0,0,1,0
