出火階,火災・計,4階建,5階建,6階建,7階建,8階建,9階建,10階建,11階建,12階建,13階建,14階建,15階建,16階建,17以階上,地階なし,地下1階,"地下2階","地下3階","地下4階",地下5階,地下6階以上,件数・焼損程度・全焼,件数・焼損程度・半焼,件数・焼損程度・部分焼,件数・焼損程度・ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成27年,1396,241,220,105,125,102,110,71,87,45,35,79,17,4,155,718,426,103,68,57,14,10,-,1,219,1177,1409,756,1469,2942,"796,681,139",23,295
平成28年,1365,208,242,101,106,116,94,82,66,45,32,72,19,8,174,654,426,129,61,66,24,5,0,1,187,1177,1368,776,1396,3272,1617261600,15,349
平成29年,1395,205,236,108,106,106,88,62,57,58,34,89,27,5,214,703,389,144,69,61,19,10,1,1,189,1204,1413,948,1855,2641,"1,281,977,647",17,320
平成30年,1317,196,186,107,105,105,90,78,78,39,34,75,19,5,200,661,359,131,57,65,34,10,0,3,176,1138,1329,833,1522,2293,"853,072,478",22,265
令和元年,1442,184,204,124,123,121,92,90,62,43,32,78,23,13,253,658,393,180,86,72,37,14,-,2,177,1263,1450,804,1387,2979,"3,177,946,947",28,253
53階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,900,-,-
52階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,150,-,-
51階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,1,-,-,-,2,2,-,-,-,300,-,-
47階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,34500,-,-
41階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,100,-,-
40階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-
38階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,2,2,-,-,-,2700,-,-
37階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,500,-,-
35階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,7000,-,-
34階,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,-,-,1,-,-,-,-,3,3,1,4,-,2372,-,-
30階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,1,-,-,-,2,2,1,3,-,1700,-,-
29階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,2,2,2,7,-,2171,-,-
28階,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,2,1,-,1,-,-,-,-,4,4,1,1,-,6100,-,-
27階,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,1,1,-,-,-,-,3,3,-,-,-,2700,-,-
26階,6,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,2,3,1,-,-,-,-,-,-,6,6,4,6,-,126323,-,-
25階,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,1,2,-,-,-,-,4,4,-,-,-,153500,-,-
24階,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,1,-,-,-,-,-,-,3,3,1,3,-,12900,-,-
23階,7,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,3,2,2,-,-,-,-,-,7,7,1,5,-,4155100,-,-
22階,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,2,1,-,-,-,-,-,-,4,4,4,5,-,8486075,-,-
21階,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,1,1,-,-,-,-,-,3,3,2,4,-,2150,-,-
20階,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,1,-,1,-,-,-,-,3,3,1,2,-,2300,-,-
19階,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,3,-,1,-,-,-,-,-,4,4,1,2,-,1550,-,1
18階,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,1,2,-,-,-,-,-,4,4,1,4,-,91033,-,1
17階,9,-,-,-,-,-,-,-,-,-,-,-,-,-,9,1,3,1,1,2,1,-,-,-,-,9,9,3,6,-,98034,-,-
16階,8,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,1,2,1,4,-,-,-,-,-,8,8,2,3,-,21538,-,-
15階,12,-,-,-,-,-,-,-,-,-,-,1,4,-,7,2,4,4,-,2,-,-,-,-,3,9,12,10,15,59,22280259,-,2
14階,4,-,-,-,-,-,-,-,-,-,-,3,-,1,-,1,1,1,-,1,-,-,-,-,-,4,4,-,-,-,1300,-,-
13階,14,-,-,-,-,-,-,-,-,-,1,3,2,2,6,2,5,5,1,1,-,-,-,-,2,12,14,10,16,-,1867484,-,1
12階,21,-,-,-,-,-,1,-,-,2,2,8,1,1,6,8,6,3,-,2,2,-,-,-,1,20,21,15,30,5,2177160,-,3
11階,13,-,-,-,-,-,-,1,4,2,-,2,-,1,3,7,1,2,2,1,-,-,-,-,1,12,13,6,13,16,3843820,-,2
10階,25,-,-,-,-,-,-,3,6,4,4,4,1,-,3,15,4,1,2,1,-,2,-,-,4,21,25,24,51,63,82620200,-,8
9階,38,-,-,-,-,1,6,7,3,2,3,6,2,-,8,13,12,7,2,2,2,-,-,-,7,31,38,23,51,102,11632113,1,9
8階,42,-,-,-,1,15,5,7,4,2,2,2,1,1,2,20,13,5,3,1,-,-,-,-,3,39,43,24,31,14,10162283,-,3
7階,67,-,-,1,15,11,9,8,5,2,1,6,-,-,9,33,21,6,3,4,-,-,-,-,14,53,67,39,83,807,1822161784,5,10
6階,61,-,-,6,12,8,5,8,6,1,1,4,1,1,8,30,18,7,5,-,1,-,-,-,6,55,61,42,65,76,26467733,-,10
5階,100,-,22,18,6,12,10,6,6,2,2,3,2,2,9,56,27,10,4,1,1,-,-,-,19,81,100,95,163,186,135447226,4,21
4階,143,22,30,11,14,15,9,10,6,5,2,8,1,-,10,69,57,10,1,3,3,-,-,-,20,123,143,128,205,188,68637858,3,28
3階,171,33,36,20,16,16,9,8,6,8,1,4,2,1,11,113,35,14,7,-,1,1,-,1,31,139,171,152,246,705,"507,006,358",6,37
2階,218,57,43,22,23,13,8,7,5,5,2,6,3,1,23,118,57,23,9,10,1,-,-,-,33,185,223,134,232,447,218290843,8,51
1階,303,68,65,37,27,21,14,17,6,6,6,13,2,1,20,170,81,32,7,7,3,2,-,1,27,275,305,76,130,272,224026235,1,57
地下1階,95,4,6,8,7,8,12,7,1,2,3,2,1,1,33,-,40,18,12,13,10,2,-,-,5,90,95,1,1,37,10255933,-,7
地下2階,23,-,2,1,2,1,4,1,3,-,2,3,-,-,4,-,-,10,6,2,2,3,-,-,1,22,23,-,-,2,11089162,-,2
地下3階,10,-,-,-,-,-,-,-,1,-,-,-,-,-,9,-,-,-,5,4,1,-,-,-,-,10,10,-,-,-,6763600,-,-
地下4階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,3000,-,-
地下5階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,900,-,-
