発生場所,令和元年救急搬送人員（人）,令和2年救急搬送人員（人）
住宅等,"74,677","72,267"
住宅等以外,"70,090","55,115"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
