消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十七),危険物製造所等／製造所,危険物製造所等／取扱所
計,19341,－,－,－,－,－,－,－,－,4075,－,－,－,1317,98,－,4,156,128,817,69,32,－,297,2391,－,2026,67,6863,1001
特別区,15274,－,－,－,－,－,－,－,－,3136,－,－,－,962,79,－,4,153,120,564,47,24,－,246,2089,－,1843,46,5148,813
丸の内,137,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,16,－,－,－,－,－,1,50,－,－,1,49,20
麹町,213,－,－,－,－,－,－,－,－,13,－,－,－,24,1,－,－,8,1,1,－,－,－,－,73,－,20,－,47,25
神田,182,－,－,－,－,－,－,－,－,7,－,－,－,12,－,－,－,8,－,－,－,1,－,3,86,－,17,3,45,－
京橋,172,－,－,－,－,－,－,－,－,18,－,－,－,1,－,－,－,8,1,－,－,2,－,2,45,－,15,－,67,13
日本橋,233,－,－,－,－,－,－,－,－,17,－,－,－,－,－,－,－,15,－,－,－,5,－,－,90,－,42,1,58,5
臨港,142,－,－,－,－,－,－,－,－,24,－,－,－,10,－,－,－,－,1,2,－,－,－,35,18,－,10,－,37,5
芝,286,－,－,－,－,－,－,－,－,24,－,－,－,－,1,－,－,12,8,－,5,－,－,2,84,－,71,3,58,18
麻布,107,－,－,－,－,－,－,－,－,22,－,－,－,－,3,－,－,－,5,－,－,－,－,－,16,－,37,－,17,7
赤坂,208,－,－,－,－,－,－,－,－,46,－,－,－,4,2,－,－,5,－,3,2,－,－,－,76,－,24,1,38,7
高輪,449,－,－,－,－,－,－,－,－,105,－,－,－,22,3,－,－,－,5,15,－,－,－,13,99,－,66,7,92,22
品川,495,－,－,－,－,－,－,－,－,59,－,－,－,28,1,－,－,3,1,62,－,－,－,15,102,－,63,－,137,24
大井,213,－,－,－,－,－,－,－,－,49,－,－,－,2,1,－,－,－,1,8,－,2,－,3,16,－,40,－,87,4
荏原,209,－,－,－,－,－,－,－,－,91,－,－,－,24,1,－,－,5,－,14,－,－,－,－,14,－,32,－,22,6
大森,284,－,－,－,－,－,－,－,－,34,－,－,－,15,－,－,－,－,3,17,－,1,－,15,25,－,14,－,156,4
東調布,126,－,－,－,－,－,－,－,－,41,－,－,－,18,1,－,－,－,1,2,－,－,－,1,20,－,13,－,24,5
蒲田,672,－,－,－,－,－,－,－,－,102,－,－,－,58,－,－,－,－,－,37,－,－,－,3,71,－,80,－,293,28
矢口,334,－,－,－,－,－,－,－,－,60,－,－,－,20,－,－,－,－,－,31,－,－,－,－,25,－,24,－,160,14
目黒,199,－,－,－,－,－,－,－,－,50,－,－,－,1,5,－,－,－,2,11,－,－,－,1,33,－,40,－,51,5
世田谷,319,－,－,－,－,－,－,－,－,147,－,－,－,46,2,－,－,2,3,4,－,－,－,－,24,－,45,3,35,8
玉川,200,－,－,－,－,－,－,－,－,40,－,－,－,35,2,－,－,1,3,1,－,－,－,8,19,－,11,－,73,7
成城,216,－,－,－,－,－,－,－,－,28,－,－,－,20,2,－,－,－,1,－,18,－,－,6,8,－,7,1,115,10
渋谷,651,－,－,－,－,－,－,－,－,138,－,－,－,25,11,－,－,5,5,2,－,－,－,1,156,－,168,1,119,20
四谷,224,－,－,－,－,－,－,－,－,28,－,－,－,4,－,－,－,1,3,－,－,－,－,－,70,－,47,－,64,7
牛込,227,－,－,－,－,－,－,－,－,37,－,－,－,24,－,－,－,4,1,23,9,－,－,－,41,－,33,－,46,9
新宿,274,－,－,－,－,－,－,－,－,50,－,－,－,7,－,－,－,5,－,3,－,－,－,－,17,－,53,2,119,18
中野,199,－,－,－,－,－,－,－,－,67,－,－,－,12,－,－,－,1,－,2,－,－,－,3,27,－,38,－,44,5
野方,139,－,－,－,－,－,－,－,－,75,－,－,－,－,－,－,－,－,－,1,－,1,－,－,14,－,16,－,23,9
杉並,269,－,－,－,－,－,－,－,－,98,－,－,－,23,5,－,－,2,4,3,－,－,－,1,30,－,36,－,60,7
荻窪,267,－,－,－,－,－,－,－,－,88,－,－,－,32,－,－,－,－,－,5,－,4,－,－,23,－,24,－,82,9
小石川,213,－,－,－,－,－,－,－,－,37,－,－,－,17,－,－,－,6,3,5,－,－,－,3,37,－,63,3,36,3
本郷,320,－,－,－,－,－,－,－,－,79,－,－,－,62,－,－,－,1,16,1,－,－,－,－,49,－,44,12,54,2
豊島,158,－,－,－,－,－,－,－,－,28,－,－,－,5,1,－,－,3,2,2,－,－,－,－,27,－,19,3,57,11
池袋,209,－,－,－,－,－,－,－,－,81,－,－,－,11,－,－,－,3,－,7,－,－,－,1,28,－,36,－,39,3
王子,112,－,－,－,－,－,－,－,－,21,－,－,－,4,－,－,－,－,1,9,－,－,－,－,11,－,15,－,40,11
赤羽,304,－,－,－,－,－,－,－,－,124,－,－,－,23,－,－,－,1,1,26,－,－,－,3,18,－,16,－,80,12
滝野川,215,－,－,－,－,－,－,－,－,57,－,－,－,41,－,－,－,－,－,10,－,－,－,5,23,－,22,－,40,17
板橋,141,－,－,－,－,－,－,－,－,34,－,－,－,3,2,－,1,3,1,2,－,－,－,－,9,－,46,－,37,3
志村,409,－,－,－,－,－,－,－,－,81,－,－,－,6,1,－,－,4,5,19,－,－,－,3,20,－,18,－,224,28
練馬,247,－,－,－,－,－,－,－,－,118,－,－,－,8,3,－,－,6,1,10,－,1,－,8,10,－,22,－,33,27
光が丘,30,－,－,－,－,－,－,－,－,16,－,－,－,－,－,－,2,－,－,－,－,－,－,－,2,－,1,－,9,－
石神井,299,－,－,－,－,－,－,－,－,52,－,－,－,26,2,－,－,－,－,6,11,－,－,3,25,－,7,－,130,37
上野,124,－,－,－,－,－,－,－,－,7,－,－,－,5,17,－,－,2,1,－,－,－,－,1,10,－,27,2,47,5
浅草,96,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,4,2,－,－,1,－,3,42,－,29,－,13,1
日本堤,98,－,－,－,－,－,－,－,－,16,－,－,－,1,－,－,－,1,3,－,－,1,－,－,5,－,24,－,43,4
荒川,252,－,－,－,－,－,－,－,－,41,－,－,－,36,－,－,－,7,－,7,－,－,－,－,19,－,39,－,99,4
尾久,301,－,－,－,－,－,－,－,－,64,－,－,－,36,1,－,－,－,－,17,－,－,－,5,18,－,21,－,111,28
千住,273,－,－,－,－,－,－,－,－,15,－,－,－,－,－,－,－,4,－,26,－,－,－,7,9,－,3,－,195,14
足立,634,－,－,－,－,－,－,－,－,143,－,－,－,108,2,－,1,－,1,16,－,2,－,5,30,－,37,－,252,37
西新井,474,－,－,－,－,－,－,－,－,85,－,－,－,21,－,－,－,－,21,16,－,－,－,3,22,－,24,－,261,21
本所,266,－,－,－,－,－,－,－,－,37,－,－,－,13,1,－,－,5,5,31,2,2,－,12,54,－,53,－,35,16
向島,269,－,－,－,－,－,－,－,－,39,－,－,－,14,1,－,－,－,－,30,－,－,－,3,29,－,27,－,100,26
深川,583,－,－,－,－,－,－,－,－,123,－,－,－,1,1,－,－,1,5,23,－,－,－,58,117,－,81,2,164,7
城東,273,－,－,－,－,－,－,－,－,47,－,－,－,8,2,－,－,－,－,6,－,－,－,2,26,－,25,－,148,9
本田,409,－,－,－,－,－,－,－,－,30,－,－,－,1,1,－,－,－,－,24,－,1,－,3,19,－,14,－,216,100
金町,255,－,－,－,－,－,－,－,－,103,－,－,－,4,－,－,－,－,1,5,－,－,－,－,5,－,19,－,104,14
江戸川,493,－,－,－,－,－,－,－,－,69,－,－,－,9,1,－,－,－,2,13,－,－,－,4,40,－,12,1,305,37
小岩,171,－,－,－,－,－,－,－,－,30,－,－,－,32,2,－,－,1,－,6,－,－,－,1,13,－,13,－,58,15
受託地区,4067,－,－,－,－,－,－,－,－,939,－,－,－,355,19,－,－,3,8,253,22,8,－,51,302,－,183,21,1715,188
立川,358,－,－,－,－,－,－,－,－,81,－,－,－,15,－,－,－,1,1,33,－,6,－,12,62,－,30,2,103,12
国分寺,163,－,－,－,－,－,－,－,－,92,－,－,－,6,－,－,－,－,1,2,－,－,－,－,13,－,14,1,31,3
小平,87,－,－,－,－,－,－,－,－,11,－,－,－,7,－,－,－,－,－,4,－,－,－,－,6,－,5,－,47,7
武蔵野,168,－,－,－,－,－,－,－,－,50,－,－,－,17,1,－,－,－,1,－,－,－,－,－,22,－,10,－,59,8
保谷,124,－,－,－,－,－,－,－,－,42,－,－,－,3,－,－,－,－,1,1,－,－,－,－,4,－,12,－,57,4
三鷹,211,－,－,－,－,－,－,－,－,79,－,－,－,5,7,－,－,－,－,19,5,－,－,5,11,－,12,－,68,－
調布,230,－,－,－,－,－,－,－,－,30,－,－,－,24,－,－,－,－,－,28,15,－,－,10,14,－,13,6,84,6
府中,216,－,－,－,－,－,－,－,－,54,－,－,－,1,4,－,－,－,2,15,－,－,－,11,15,－,16,1,84,13
日野,293,－,－,－,－,－,－,－,－,78,－,－,－,61,2,－,－,－,1,7,－,－,－,－,9,－,－,4,113,18
町田,323,－,－,－,－,－,－,－,－,15,－,－,－,60,－,－,－,1,－,4,－,－,－,2,16,－,10,－,199,16
