区分,計,身体防護,出火防止,初期消火,通報連絡,避難,救出・救助,応急救護,その他の訓練等
訓練件数,"30,579",1384,546,"8,238",2177,4416,455,"5,702","7,661"
参加人員,"3,369,374","321,288","86,080","685,035","130,057","733,654","60,738","472,415","880,107"
