消防署,計,一・イ,一・ロ,二・イ,二・ロ,二・ハ,二・ニ,三・イ,三・ロ,四,五・イ,五・ロ,六・イ・（１）,六・イ・（２）,六・イ・（３）,六・イ・（４）,六・ロ・（１）,六・ロ・（２）,六・ロ・（３）,六・ロ・（４）,六・ロ・（５）,六・ハ・（１）,六・ハ・（２）,六・ハ・（３）,六・ハ・（４）,六・ハ・（５）,六・ニ,七,八,九・イ,九・ロ,十,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,少量危険物等・運搬,少量危険物等・少量危険物貯蔵取扱所,少量危険物等・指定可燃物貯蔵取扱所
令和元年度,"12,007",10,1,1,18,0,4,11,333,462,310,"3,758",9,14,17,57,84,0,0,0,15,31,1,175,4,65,88,430,57,0,26,77,237,526,1,63,0,507,1112,1454,912,0,0,52,0,0,0,0,239,274,0,406,166
特別区,"8,493",7,1,1,10,0,4,3,225,252,126,"2,929",1,9,10,23,51,0,0,0,1,10,1,99,1,28,33,215,16,0,16,56,179,313,1,50,0,314,832,1173,772,0,0,32,0,0,0,0,142,160,0,267,130
丸の内,110,0,1,0,1,0,1,0,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,15,1,0,0,0,0,0,0,0,10,0,0,2,0
麹町,67,0,0,0,0,0,0,0,3,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,12,7,8,0,0,0,0,0,0,0,9,4,0,8,0
神田,162,0,0,0,0,0,0,0,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,66,11,11,0,0,0,0,0,0,0,5,1,0,1,0
京橋,134,0,0,0,0,0,0,0,3,5,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,29,39,11,0,0,0,0,0,0,0,0,1,0,4,0
日本橋,447,0,0,0,0,0,1,0,25,11,12,111,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,2,1,0,0,2,0,4,136,115,16,0,0,0,0,0,0,0,3,0,0,2,1
臨港,56,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,10,5,0,0,0,0,0,0,0,3,7,0,10,3
芝,180,0,0,0,0,0,0,0,7,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,1,0,1,0,3,39,31,23,0,0,0,0,0,0,0,3,0,0,3,1
麻布,114,0,0,0,0,0,0,0,7,2,1,38,0,0,0,0,2,0,0,0,0,0,0,3,0,1,3,5,0,0,0,1,7,1,0,0,0,1,14,24,3,0,0,0,0,0,0,0,0,0,0,1,0
赤坂,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0
高輪,60,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,4,3,9,1,0,0,0,0,0,0,0,5,3,0,24,1
品川,132,0,0,0,0,0,0,0,3,5,2,25,0,0,0,2,2,0,0,0,0,0,0,10,0,0,1,8,0,0,0,0,0,3,0,2,0,5,20,19,15,0,0,0,0,0,0,0,1,3,0,4,2
大井,352,1,0,0,1,0,0,0,4,3,0,192,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,2,10,0,5,0,4,34,22,32,0,0,0,0,0,0,0,0,2,0,25,5
荏原,68,0,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,2,0,1,1,0,0,0,2,1,26,6,0,0,0,0,0,0,0,0,0,0,1,2
大森,133,0,0,0,0,0,0,0,1,3,16,21,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,4,16,0,1,0,10,28,9,8,0,0,0,0,0,0,0,7,0,0,2,1
