消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十八),(十九),(二十),その他,少危
計,13402,－,－,－,－,3,497,324,215,2987,26,50,17,23,9,－,－,99,122,719,1,31,－,231,687,2318,4891,－,14,－,19,119
特別区,12131,－,－,－,－,3,474,312,20,2759,20,28,14,20,1,－,－,47,90,615,1,30,－,184,557,2220,4591,－,14,－,16,115
丸の内,4,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,1,－
麹町,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－
神田,296,－,－,－,－,－,20,13,－,1,－,－,－,－,－,－,－,－,－,30,－,－,－,5,63,120,44,－,－,－,－,－
京橋,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,2,2,－,－,－,－,－,1,－
日本橋,81,－,－,－,－,－,19,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,21,22,18,－,－,－,1,－
臨港,56,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,2,44,－,2,－,－,－,3,－
芝,4,－,－,－,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,1,－
麻布,2,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－
赤坂,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,1,－
高輪,161,－,－,－,－,－,1,1,－,84,－,－,1,－,－,－,－,－,－,－,－,－,－,－,6,7,53,－,－,－,1,7
品川,124,－,－,－,－,－,2,－,－,32,－,－,－,－,－,－,－,4,1,8,－,－,－,2,6,20,46,－,－,－,－,3
大井,19,－,－,－,－,－,2,－,－,11,－,－,－,－,－,－,－,－,－,4,－,－,－,－,2,－,－,－,－,－,－,－
荏原,188,－,－,－,－,－,13,29,－,94,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,43,－,8,－,－,1
大森,16,－,－,－,－,－,－,－,－,6,－,－,－,1,－,－,－,3,1,－,－,－,－,－,2,－,3,－,－,－,－,－
東調布,106,－,－,－,－,－,1,2,－,54,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,7,38,－,－,－,－,2
蒲田,233,－,－,－,－,－,－,－,1,21,－,－,－,－,－,－,－,－,1,35,－,－,－,4,7,28,136,－,－,－,－,－
矢口,128,－,－,－,－,－,11,53,－,9,－,－,－,－,－,－,－,1,－,6,－,－,－,3,5,12,28,－,－,－,－,－
目黒,77,－,－,－,－,－,－,－,－,2,－,－,－,1,－,－,－,3,16,－,－,－,－,－,－,44,4,－,－,－,－,7
世田谷,1105,－,－,－,－,－,9,9,－,402,1,－,－,2,－,－,－,3,2,12,－,1,－,1,20,78,565,－,－,－,－,－
玉川,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－
成城,50,－,－,－,－,－,－,－,－,2,－,3,－,－,－,－,－,6,28,－,－,－,－,－,－,1,4,－,－,－,2,4
渋谷,37,－,－,－,－,－,1,1,1,10,－,－,－,－,－,－,－,3,－,－,－,1,－,1,2,6,6,－,－,－,－,5
四谷,301,－,－,－,－,－,160,5,1,20,5,－,－,－,－,－,－,－,4,2,－,1,－,15,33,43,7,－,－,－,－,5
牛込,73,－,－,－,－,－,－,－,－,48,－,－,－,－,－,－,－,－,－,8,－,－,－,－,2,5,10,－,－,－,－,－
新宿,495,－,－,－,－,－,8,12,－,318,－,－,－,3,－,－,－,－,3,1,－,－,－,－,6,63,79,－,－,－,1,1
中野,29,－,－,－,－,－,－,－,－,2,－,－,－,8,－,－,－,－,－,－,－,－,－,－,－,1,14,－,－,－,－,1
野方,14,－,－,－,－,－,－,－,－,3,－,－,2,－,－,－,－,1,－,－,－,－,－,－,－,2,6,－,－,－,－,－
杉並,857,－,－,－,－,－,－,2,－,298,1,1,－,2,1,－,－,3,－,－,－,－,－,1,－,3,541,－,－,－,－,4
荻窪,13,－,－,－,－,－,－,－,－,1,－,1,－,－,－,－,－,1,－,－,－,－,－,1,2,－,7,－,－,－,－,－
小石川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
本郷,312,－,－,－,－,－,21,－,－,48,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,161,82,－,－,－,－,－
豊島,145,－,－,－,－,－,1,－,－,121,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,14,8,－,－,－,－,－
池袋,72,－,－,－,－,－,－,－,－,61,－,－,－,－,－,－,－,3,1,－,－,－,－,－,－,1,6,－,－,－,－,－
王子,3,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
赤羽,448,－,－,－,－,－,4,6,3,135,－,－,－,－,－,－,－,－,3,17,－,－,－,4,38,131,106,－,－,－,－,1
滝野川,39,－,－,－,－,－,－,－,－,7,1,2,－,－,－,－,－,－,－,－,－,－,－,－,－,3,9,－,－,－,－,17
板橋,28,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,2,2,2,－,－,－,－,－,2,－,－,2,－,－,15
志村,343,－,－,－,－,－,11,41,－,39,2,4,4,－,－,－,－,－,1,17,－,4,－,18,89,54,59,－,－,－,－,－
練馬,26,－,－,－,－,－,－,－,－,2,－,1,－,－,－,－,－,5,－,3,－,－,－,－,－,3,12,－,－,－,－,－
光が丘,2,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－
