消防署,計,一・イ,一・ロ,二・イ,二・ロ,二・ハ,二・ニ,三・イ,三・ロ,四,五・イ,五・ロ,六・イ・（１）,六・イ・（２）,六・イ・（３）,六・イ・（４）,六・ロ・（１）,六・ロ・（２）,六・ロ・（３）,六・ロ・（４）,六・ロ・（５）,六・ハ・（１）,六・ハ・（２）,六・ハ・（３）,六・ハ・（４）,六・ハ・（５）,六・ニ,七,八,九・イ,九・ロ,十,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,少量危険物等・運搬,少量危険物等・少量危険物貯蔵取扱所,少量危険物等・指定可燃物貯蔵取扱所
令和元年度,"3,411",16,4,1,25,0,8,2,159,168,156,187,8,7,23,11,109,2,0,2,7,19,1,77,1,31,49,105,18,39,3,51,22,41,0,13,0,63,189,1206,125,2,0,18,0,0,0,0,384,59,0,0,0
特別区,"2,665",14,2,1,18,0,8,2,134,128,141,117,6,7,19,7,82,2,0,0,4,14,1,68,1,22,38,65,18,39,2,50,19,36,0,11,0,49,150,979,87,2,0,14,0,0,0,0,282,26,0,0,0
丸の内,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
麹町,50,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,0,0,0,0,8,1,0,0,0
神田,59,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,1,0,0,0,0,0,0,0,7,0,0,0,0
京橋,62,0,0,0,0,0,0,0,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0,4,0,0,0,0
日本橋,20,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,7,0,0,0,0
臨港,46,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,8,0,0,0,0
芝,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
麻布,84,1,0,0,0,0,1,0,5,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,55,4,0,0,0,0,0,0,0,9,0,0,0,0
赤坂,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
高輪,32,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,1,1,0,0,0,0,5,10,1,0,0,0,0,0,0,0,3,0,0,0,0
品川,60,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,0,0,0,0,6,2,0,0,0
大井,129,4,0,0,2,0,0,0,4,0,10,9,0,0,1,0,4,0,0,0,1,0,1,4,0,3,1,0,0,0,1,1,0,1,0,1,0,4,16,42,12,0,0,0,0,0,0,0,3,4,0,0,0
荏原,19,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0
大森,79,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,5,0,0,0,0,2,0,6,0,1,8,0,3,0,0,1,0,7,0,0,0,10,2,10,1,0,0,8,0,0,0,0,8,0,0,0,0
田園調布,51,0,0,0,0,0,1,0,3,4,1,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,2,9,1,0,0,0,0,0,0,0,9,0,0,0,0
蒲田,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,8,0,0,0,0
矢口,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
目黒,29,0,0,0,0,0,0,0,3,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0
世田谷,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0
玉川,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0
成城,17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,5,0,0,0,0
渋谷,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
四谷,60,0,0,0,0,0,0,0,11,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,35,1,0,0,0,0,0,0,0,2,0,0,0,0
牛込,19,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,3,0,0,0,0
新宿,41,0,0,0,0,0,4,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,22,0,0,0,0,0,0,0,0,4,0,0,0,0
中野,44,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,21,4,0,0,0,0,0,0,0,1,0,0,0,0
野方,31,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,5,0,0,0,0
杉並,91,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,7,0,0,0,0,0,0,0,3,0,0,0,0
荻窪,68,0,1,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,0,0,0,1,0,6,0,4,0,0,0,0,0,0,4,0,0,1,0,0,2,27,5,0,0,0,0,0,0,0,10,0,0,0,0
小石川,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,3,0,0,0,0
本郷,84,0,0,0,0,0,0,0,1,1,5,0,0,0,8,0,1,0,0,0,0,0,0,5,0,0,0,26,1,0,0,3,0,0,0,0,0,0,7,17,0,0,0,3,0,0,0,0,6,0,0,0,0
豊島,68,0,0,0,1,0,0,0,2,0,2,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,34,2,0,0,0,0,0,0,0,5,0,0,0,0
池袋,52,0,0,0,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,6,0,0,0,0
王子,30,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0
赤羽,47,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,10,0,0,0,0
滝野川,43,0,0,0,0,0,0,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,18,1,0,0,0,0,0,0,0,4,3,0,0,0
板橋,65,0,0,0,1,0,0,0,1,2,0,3,0,0,1,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,2,4,0,0,0,1,0,30,2,0,0,0,0,0,0,0,8,1,0,0,0
志村,80,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,19,0,0,0,1,0,0,3,0,3,1,0,0,0,0,0,0,6,0,0,0,12,19,7,1,0,0,0,0,0,0,0,3,0,0,0,0
練馬,44,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,4,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,4,0,0,0,0,0,0,0,10,0,0,0,0
光が丘,26,0,0,0,0,0,0,0,1,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0
石神井,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0
上野,44,0,0,0,0,0,0,0,6,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,12,2,0,0,2,0,0,0,0,0,0,0,0,0
浅草,33,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,6,0,0,0,0
日本堤,153,1,1,0,0,0,0,0,12,0,47,1,0,0,1,0,3,2,0,0,0,2,0,1,0,0,1,1,0,39,0,2,0,0,0,0,0,2,2,29,1,0,0,0,0,0,0,0,5,0,0,0,0
荒川,78,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,3,0,0,0,4,0,1,0,1,0,8,18,21,4,0,0,0,0,0,0,0,9,0,0,0,0
尾久,23,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,4,0,0,0,0
