行政区,4階以上の建築物数／計,4階建,5階建,6階建,7階建,8階建,9階建,10階建,11階建,12階建,13階建,14階建,15階建,16階建,17階建,18階建,19階建,20階建,21階建,22階建,23階建,24階建,25階建,26階建,27階建,28階建,29階建,30階建,31階建,32階建,33階建,34階建,35階建,36階建,37階建,38階建,39階建,40階建,43階建,47階建,48階建,53階建,54階建,55階建,60階建,地階を有する建築物数／計,地下1階,地下2階,地下3階,地下4階,地下5階,地下6階,地下7階,地下8階
総計,116652,44740,32053,12902,8700,6496,4834,3147,1779,746,325,645,95,28,17,18,13,17,9,6,13,9,15,5,2,2,4,5,4,1,1,1,1,2,2,1,3,3,1,1,1,1,2,1,1,47324,42304,4084,682,193,43,16,1,1
特別区計,102349,38584,26319,12049,8162,6104,4648,2997,1567,713,314,615,87,28,17,18,13,17,9,6,13,9,15,5,2,2,4,5,4,1,1,1,1,2,2,1,3,3,1,1,1,1,2,1,1,42454,37722,3823,661,188,42,16,1,1
千代田区,7438,1598,1742,1231,888,797,617,354,81,38,10,22,12,4,5,4,4,7,2,2,3,4,4,2,0,0,1,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,4170,3353,608,121,62,18,7,0,1
中央区,6783,1215,1514,1030,761,841,812,366,126,43,14,32,7,4,2,3,2,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4008,3117,673,164,42,11,1,0,0
港区,7848,1812,1718,1132,1036,754,680,345,157,82,38,36,14,6,3,6,4,3,3,1,3,3,3,2,1,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,4666,3954,570,106,29,4,2,1,0
品川区,3767,1495,898,370,273,222,164,118,90,51,23,51,3,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,1470,115,16,0,0,0,0,0
大田区,5348,2768,1273,517,314,159,96,91,62,26,15,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,1272,58,6,2,0,0,0,0
目黒区,2385,1167,531,251,159,83,70,53,29,26,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,1132,61,9,0,0,0,0,0
世田谷区,5209,2879,1405,368,237,130,61,58,26,19,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477,2356,110,8,3,0,0,0,0
渋谷区,5488,1839,1305,697,536,418,302,206,97,40,24,11,5,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4324,3845,419,44,15,0,1,0,0
新宿区,7721,2653,1993,891,596,519,429,304,170,54,29,49,8,2,2,1,1,1,0,0,0,0,3,0,0,1,2,2,1,1,0,1,0,0,0,1,0,0,1,1,1,1,2,1,0,4376,3787,463,99,16,7,4,0,0
中野区,2600,1385,629,208,153,101,57,24,23,13,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,981,54,5,1,0,0,0,0
杉並区,3103,1561,783,306,172,102,68,46,28,16,11,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,1412,55,3,0,0,0,0,0
文京区,3993,1473,996,493,296,266,186,128,78,39,19,13,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918,1765,137,12,4,0,0,0,0
