年代,誤飲,目に入る,その他
0-4歳,8,2,0
5-9歳,0,0,0
10代,0,0,0
20代,0,0,0
30代,0,0,1
40代,1,1,2
50代,3,1,1
60代,0,0,0
70代,1,0,0
80代,1,1,0
90代,1,0,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
