年,６月,７月,８月,９月
28,216 ,1142 ,1198 ,263 
29,239 ,1746 ,1056 ,126 
30,356 ,4610 ,2839 ,155 
元,237 ,1051 ,3779 ,567 
2,438 ,393 ,4329 ,636 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
