"救急隊出場先
区市町村",全年齢,0~4歳代,5~9歳代,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,80歳代,90歳代,100歳以上
全出場先,127382 ,7958 ,3119 ,4235 ,7049 ,6076 ,7245 ,9854 ,11553 ,22399,33599,13815,480
千代田区,1810 ,72 ,27 ,44 ,214 ,154 ,216 ,309 ,261 ,233,202,73,5
中央区,1860 ,127 ,39 ,28 ,135 ,165 ,186 ,238 ,217 ,254,344,126,1
港区,3323 ,255 ,79 ,74 ,308 ,322 ,337 ,386 ,322 ,458,544,235,3
品川区,3683 ,280 ,96 ,96 ,208 ,205 ,231 ,296 ,303 ,637,923,397,11
大田区,6819 ,382 ,152 ,197 ,279 ,260 ,365 ,503 ,648 ,1298,1838,875,22
目黒区,2333 ,159 ,84 ,61 ,124 ,131 ,146 ,187 ,158 ,338,617,320,8
世田谷区,7550 ,571 ,213 ,302 ,449 ,368 ,381 ,536 ,565 ,1100,2036,997,32
渋谷区,2814 ,157 ,57 ,123 ,358 ,266 ,227 ,253 ,231 ,378,529,225,10
新宿区,4671 ,180 ,68 ,125 ,614 ,419 ,365 ,492 ,466 ,709,851,369,13
中野区,2863 ,186 ,58 ,70 ,181 ,147 ,148 ,209 ,246 ,464,763,387,4
杉並区,4650 ,333 ,119 ,130 ,261 ,208 ,199 ,289 ,342 ,783,1282,669,35
文京区,1876 ,148 ,38 ,69 ,126 ,102 ,121 ,153 ,125 ,282,452,246,14
豊島区,3239 ,162 ,67 ,103 ,283 ,235 ,216 ,265 ,335 ,549,729,287,8
北区,3630 ,187 ,73 ,100 ,176 ,151 ,172 ,221 ,369 ,725,1032,411,13
板橋区,5109 ,313 ,106 ,158 ,238 ,180 ,244 ,309 ,487 ,989,1478,581,26
練馬区,6033 ,416 ,164 ,186 ,247 ,208 ,275 ,430 ,491 ,1021,1743,822,30
台東区,2804 ,130 ,41 ,68 ,176 ,147 ,187 ,314 ,391 ,527,605,208,10
荒川区,2185 ,163 ,49 ,59 ,82 ,109 ,122 ,168 ,236 ,416,578,196,7
足立区,6688 ,404 ,162 ,205 ,246 ,260 ,360 ,501 ,618 ,1282,2057,578,15
墨田区,2665 ,155 ,47 ,67 ,123 ,126 ,131 ,223 ,284 ,526,709,263,11
江東区,4762 ,350 ,156 ,140 ,230 ,264 ,349 ,415 ,439 ,889,1123,391,16
葛飾区,4448 ,282 ,123 ,156 ,182 ,161 ,223 ,296 ,421 ,848,1288,450,18
江戸川区,6006 ,437 ,183 ,216 ,266 ,223 ,338 ,434 ,615 ,1193,1565,517,19
立川市,1956 ,127 ,32 ,78 ,102 ,102 ,116 ,140 ,155 ,347,541,211,5
国立市,664 ,25 ,14 ,35 ,27 ,25 ,30 ,44 ,61 ,132,185,83,3
武蔵野市,1392 ,81 ,44 ,42 ,94 ,81 ,61 ,92 ,124 ,219,365,184,5
三鷹市,1505 ,100 ,48 ,60 ,56 ,47 ,60 ,105 ,126 ,255,408,227,13
府中市,1973 ,125 ,56 ,85 ,90 ,72 ,98 ,149 ,162 ,370,530,232,4
昭島市,1036 ,64 ,20 ,46 ,41 ,47 ,33 ,74 ,105 ,195,306,104,1
調布市,1923 ,137 ,53 ,74 ,103 ,64 ,106 ,117 ,148 ,299,576,243,3
小金井市,857 ,66 ,22 ,33 ,36 ,30 ,46 ,71 ,70 ,122,235,119,7
小平市,1596 ,100 ,42 ,63 ,54 ,58 ,72 ,98 ,122 ,257,485,240,5
東村山市,1410 ,89 ,46 ,51 ,41 ,36 ,63 ,118 ,123 ,237,418,185,3
国分寺市,936 ,61 ,26 ,16 ,46 ,37 ,36 ,57 ,86 ,139,293,134,5
狛江市,586 ,45 ,20 ,15 ,17 ,13 ,30 ,36 ,37 ,105,193,75,
東大和市,772 ,44 ,18 ,38 ,24 ,21 ,39 ,54 ,55 ,157,230,89,3
武蔵村山市,589 ,31 ,16 ,44 ,23 ,27 ,26 ,42 ,48 ,116,154,57,5
清瀬市,769 ,43 ,20 ,37 ,21 ,16 ,30 ,64 ,70 ,143,233,89,3
東久留米市,1055 ,63 ,33 ,38 ,24 ,30 ,48 ,58 ,92 ,207,337,119,6
西東京市,1682 ,105 ,37 ,63 ,61 ,56 ,57 ,106 ,140 ,287,518,244,8
八王子市,4930 ,283 ,111 ,222 ,242 ,187 ,270 ,348 ,436 ,965,1319,524,23
青梅市,990 ,35 ,16 ,32 ,27 ,26 ,67 ,74 ,99 ,231,287,93,3
町田市,3969 ,203 ,101 ,162 ,182 ,124 ,184 ,237 ,335 ,758,1214,447,22
日野市,1495 ,108 ,56 ,68 ,64 ,41 ,61 ,82 ,105 ,263,484,159,4
多摩市,1257 ,58 ,38 ,53 ,67 ,43 ,44 ,87 ,96 ,253,400,113,5
福生市,545 ,30 ,9 ,26 ,22 ,14 ,26 ,49 ,42 ,101,162,60,4
羽村市,453 ,25 ,7 ,19 ,13 ,24 ,24 ,29 ,33 ,108,127,41,3
瑞穂町,281 ,11 ,7 ,10 ,16 ,15 ,26 ,19 ,30 ,56,67,22,2
あきる野市,629 ,34 ,18 ,42 ,29 ,17 ,31 ,45 ,56 ,107,181,66,3
日の出町,158 ,9 ,1 ,3 ,6 ,6 ,8 ,15 ,9 ,46,36,18,1
檜原村,40 ,2 ,1 ,-,4 ,1 ,4 ,7 ,2 ,8,6,5,-
奥多摩町,113 ,5 ,6 ,3 ,11 ,5 ,10 ,10 ,16 ,17,21,9,-
