本部・署,合計／実施回数,合計／延べ台数,合計／延べ人員／計,合計／延べ人員／当番,合計／延べ人員／非番,合計／延べ人員／日勤,合計／延べ人員／毎日,合計／警戒時間,儀式・祭礼／実施回数,儀式・祭礼／延べ台数,儀式・祭礼／延べ人員／計,儀式・祭礼／延べ人員／当番,儀式・祭礼／延べ人員／非番,儀式・祭礼／延べ人員／日勤,儀式・祭礼／延べ人員／毎日,儀式・祭礼／警戒時間,集団行動・沿道警戒／実施回数,集団行動・沿道警戒／延べ台数,集団行動・沿道警戒／延べ人員／計,集団行動・沿道警戒／延べ人員／当番,集団行動・沿道警戒／延べ人員／非番,集団行動・沿道警戒／延べ人員／日勤,集団行動・沿道警戒／延べ人員／毎日,集団行動・沿道警戒／警戒時間,その他／実施回数,その他／延べ台数,その他／延べ人員／計,その他／延べ人員／当番,その他／延べ人員／非番,その他／延べ人員／日勤,その他／延べ人員／毎日,その他／警戒時間
計,667,55631,436897,283488,571,31217,121621,258285,246,36611,292546,186683,403,21837,83623,164768,77,1333,11297,7189,15,792,3301,3123,344,17687,133054,89616,153,8588,34697,90394
本部,3,75,10427,2141,－,2502,5784,1675,1,66,9945,1865,－,2502,5578,1567,－,－,－,－,－,－,－,－,2,9,482,276,－,－,206,108
一本部,6,180,947,542,25,175,205,2116,1,132,699,397,6,149,147,1584,－,－,－,－,－,－,－,－,5,48,248,145,19,26,58,532
丸の内,13,1062,8596,4400,12,875,3309,2669,4,741,6373,3231,12,693,2437,1859,5,3,40,40,－,－,－,6,4,318,2183,1129,－,182,872,804
麹町,8,683,7310,3944,181,371,2814,1874,3,659,6452,3433,181,344,2494,1594,1,－,10,10,－,－,－,6,4,24,848,501,－,27,320,274
神田,8,783,6874,3631,－,434,2809,2161,5,607,5285,2777,－,264,2244,1651,－,－,－,－,－,－,－,－,3,176,1589,854,－,170,565,510
京橋,14,1094,10054,5362,－,680,4012,2495,4,678,6423,3268,－,405,2750,1578,1,51,506,243,－,70,193,92,9,365,3125,1851,－,205,1069,825
日本橋,17,1089,8957,5369,－,521,3067,2338,9,724,6167,3749,－,334,2084,1659,3,5,25,25,－,－,－,15,5,360,2765,1595,－,187,983,664
臨港,7,875,8601,5249,－,1392,1960,1208,1,700,6934,4180,－,1260,1494,848,－,－,－,－,－,－,－,－,6,175,1667,1069,－,132,466,360
芝,17,768,8840,5075,－,608,3157,2095,4,728,7049,4030,－,408,2611,1679,5,－,76,51,－,8,17,6,8,40,1715,994,－,192,529,410
麻布,5,666,5585,3210,70,231,2074,1991,2,438,3838,2311,62,64,1401,1454,1,40,306,136,－,40,130,58,2,188,1441,763,8,127,543,479
赤坂,29,601,7999,4272,58,473,3196,2424,5,508,4933,2573,40,349,1971,1746,3,－,233,105,2,23,103,4,21,93,2833,1594,16,101,1122,674
高輪,14,2814,20174,12337,－,1484,6353,5189,3,799,6268,3893,－,412,1963,1624,4,5,60,37,－,－,23,8,7,2010,13846,8407,－,1072,4367,3557
二本部,16,111,1018,727,－,92,199,1721,7,111,849,612,－,73,164,1409,4,－,30,30,－,－,－,11,5,－,139,85,－,19,35,301
品川,12,1544,12912,7908,－,855,4149,3069,4,728,5765,3475,－,388,1902,1389,5,634,5747,3483,－,384,1880,1342,3,182,1400,950,－,83,367,338
大井,7,591,5752,3460,－,410,1882,1929,1,453,4084,2432,－,238,1414,1344,4,4,54,50,－,4,－,9,2,134,1614,978,－,168,468,576
荏原,4,1454,8224,5200,－,4,3020,2223,1,1146,6145,3620,－,4,2521,1551,－,－,－,－,－,－,－,－,3,308,2079,1580,－,－,499,672
大森,13,1145,5399,5278,－,27,94,1879,4,853,3898,3826,－,21,51,1379,4,2,15,15,－,－,－,7,5,290,1486,1437,－,6,43,493
東調布,6,641,5271,2940,－,429,1902,2797,4,407,3209,1870,－,188,1151,2173,－,－,－,－,－,－,－,－,2,234,2062,1070,－,241,751,624
蒲田,23,1264,8777,4954,－,2536,1287,1250,1,1062,6643,3606,－,2393,644,756,－,－,－,－,－,－,－,－,22,202,2134,1348,－,143,643,494
矢口,4,819,5530,4146,－,201,1183,1016,1,621,4246,3306,－,130,810,623,－,－,－,－,－,－,－,－,3,198,1284,840,－,71,373,393
三本部,2,66,306,207,－,16,83,750,1,60,282,188,－,16,78,686,－,－,－,－,－,－,－,－,1,6,24,19,－,－,5,64
目黒,3,649,5243,3096,－,421,1726,978,2,457,3864,2213,－,319,1332,698,－,－,－,－,－,－,－,－,1,192,1379,883,－,102,394,280
世田谷,3,603,4287,2815,－,362,1110,840,1,549,3944,2554,－,322,1068,720,－,－,－,－,－,－,－,－,2,54,343,261,－,40,42,120
玉川,14,640,7835,5737,－,395,1703,1058,4,368,5737,4509,－,175,1053,484,－,－,－,－,－,－,－,－,10,272,2098,1228,－,220,650,574
成城,3,537,4333,2516,－,288,1529,1194,1,302,2543,1445,－,193,905,684,－,－,－,－,－,－,－,－,2,235,1790,1071,－,95,624,510
渋谷,10,828,6401,3981,2,378,2040,110648,3,553,4405,2634,－,311,1460,76334,2,－,16,7,－,－,9,7,5,275,1980,1340,2,67,571,34307
四本部,3,174,746,512,－,80,154,2019,1,132,552,388,－,50,114,1542,－,－,－,－,－,－,－,－,2,42,194,124,－,30,40,477
四谷,6,580,4556,2251,72,176,2057,1580,2,446,3875,1656,72,142,2005,1365,1,2,42,35,－,－,7,6,3,132,639,560,－,34,45,209
牛込,4,44,207,177,－,5,25,102,3,15,86,61,－,5,20,76,－,－,－,－,－,－,－,－,1,29,121,116,－,－,5,26
新宿,8,23,4190,2294,－,1889,7,27,3,19,4169,2280,－,1889,－,8,4,4,21,14,－,－,7,19,1,－,－,－,－,－,－,－
中野,2,427,2434,1930,－,166,338,619,1,24,144,112,－,5,27,123,－,－,－,－,－,－,－,－,1,403,2290,1818,－,161,311,496
野方,3,393,2989,1924,－,257,808,816,1,183,1466,914,－,144,408,384,－,－,－,－,－,－,－,－,2,210,1523,1010,－,113,400,432
杉並,9,506,3600,2365,－,190,1045,608,8,352,2388,1635,－,56,697,440,－,－,－,－,－,－,－,－,1,154,1212,730,－,134,348,168
荻窪,3,255,1547,1013,－,132,402,510,2,6,36,23,－,5,8,86,－,－,－,－,－,－,－,－,1,249,1511,990,－,127,394,424
五本部,1,25,160,148,－,－,12,592,1,25,160,148,－,－,12,592,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小石川,5,314,2171,1333,－,117,721,685,1,275,1956,1153,－,108,695,600,－,－,－,－,－,－,－,－,4,39,215,180,－,9,26,85
本郷,7,769,9184,5189,－,646,3349,1152,5,714,7679,4316,－,468,2895,948,－,－,－,－,－,－,－,－,2,55,1505,873,－,178,454,204
豊島,13,47,1438,844,－,183,411,429,8,13,128,58,－,45,25,57,3,2,37,11,－,19,7,12,2,32,1273,775,－,119,379,360
