発火源および経過,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
計,6678,3893,321,255,329,2988,716,4,－,22,2043,63904,14942200,34168,118,1055
1電気による発熱体,991,712,48,54,77,533,139,－,－,－,140,11812,2882830,89248,17,153
1電気による発熱体／11移動可能の電熱器,263,234,16,16,28,174,5,－,－,－,24,2963,733518,22828,7,59
1電気による発熱体／11移動可能の電熱器／電気こんろ,62,61,2,3,4,52,－,－,－,－,1,398,100118,7,4,8
1電気による発熱体／11移動可能の電熱器／電気こんろ／スパークによる引火,1,1,－,－,－,1,－,－,－,－,－,－,12,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こんろ／引火する,2,2,－,－,1,1,－,－,－,－,－,10,4769,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こんろ／可燃物が沸騰し溢れる,1,1,－,－,－,1,－,－,－,－,－,－,54,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こんろ／放射を受けて発火する,5,5,－,－,1,4,－,－,－,－,－,10,2515,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こんろ／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,28,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こんろ／可燃物が落下する,3,3,－,－,－,3,－,－,－,－,－,2,539,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こんろ／可燃物が火源に触れる,8,8,1,2,1,4,－,－,－,－,－,209,27017,5,4,2
1電気による発熱体／11移動可能の電熱器／電気こんろ／火源が落下する,1,1,－,－,－,1,－,－,－,－,－,－,12,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こんろ／誤ってスイッチが入る,30,30,－,1,1,28,－,－,－,－,－,59,58848,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こんろ／放置する,6,6,1,－,－,5,－,－,－,－,－,108,5988,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こんろ／忘れる,3,3,－,－,－,3,－,－,－,－,－,－,336,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こんろ／放火,1,－,－,－,－,－,－,－,－,－,1,－,－,2,－,－
1電気による発熱体／11移動可能の電熱器／電気ストーブ,86,86,6,11,18,51,－,－,－,－,－,1370,382927,1148,3,31
1電気による発熱体／11移動可能の電熱器／電気ストーブ／引火する,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,1
1電気による発熱体／11移動可能の電熱器／電気ストーブ／放射を受けて発火する,15,15,1,3,1,10,－,－,－,－,－,185,64441,－,－,7
1電気による発熱体／11移動可能の電熱器／電気ストーブ／可燃物が転倒する,1,1,－,－,－,1,－,－,－,－,－,－,12,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ストーブ／可燃物が落下する,12,12,2,2,1,7,－,－,－,－,－,253,99940,－,－,1
1電気による発熱体／11移動可能の電熱器／電気ストーブ／可燃物が火源に触れる,40,40,1,3,11,25,－,－,－,－,－,524,98375,914,2,20
1電気による発熱体／11移動可能の電熱器／電気ストーブ／火源が転倒する,5,5,－,－,1,4,－,－,－,－,－,18,3429,－,1,－
1電気による発熱体／11移動可能の電熱器／電気ストーブ／火源が動いて接触する,2,2,1,－,1,－,－,－,－,－,－,121,20918,63,－,－
1電気による発熱体／11移動可能の電熱器／電気ストーブ／誤ってスイッチが入る,7,7,－,2,3,2,－,－,－,－,－,126,63378,170,－,2
1電気による発熱体／11移動可能の電熱器／電気ストーブ／本来の用途以外に使用,3,3,1,1,－,1,－,－,－,－,－,143,32429,1,－,－
1電気による発熱体／11移動可能の電熱器／電気こたつ,6,6,1,－,－,5,－,－,－,－,－,54,27837,－,－,6
1電気による発熱体／11移動可能の電熱器／電気こたつ／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,40,－,－,3
1電気による発熱体／11移動可能の電熱器／電気こたつ／可燃物が火源に触れる,2,2,1,－,－,1,－,－,－,－,－,54,27534,－,－,2
1電気による発熱体／11移動可能の電熱器／電気こたつ／火源が動いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,100,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こたつ／改悪する,1,1,－,－,－,1,－,－,－,－,－,－,161,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こたつ／本来の用途以外に使用,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／11移動可能の電熱器／電気アイロン,7,7,1,－,1,5,－,－,－,－,－,59,11993,－,－,1
1電気による発熱体／11移動可能の電熱器／電気アイロン／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,50,－,－,－
1電気による発熱体／11移動可能の電熱器／電気アイロン／放置する,5,5,1,－,－,4,－,－,－,－,－,50,6165,－,－,1
1電気による発熱体／11移動可能の電熱器／電気アイロン／忘れる,1,1,－,－,1,－,－,－,－,－,－,9,5778,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ふとん,1,1,－,－,－,1,－,－,－,－,－,－,100,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ふとん／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,100,－,－,－
1電気による発熱体／11移動可能の電熱器／電気座ぶとん,2,2,－,－,－,2,－,－,－,－,－,－,7,－,－,－
1電気による発熱体／11移動可能の電熱器／電気座ぶとん／スパークする,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／11移動可能の電熱器／電気座ぶとん／局部過熱する,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－
1電気による発熱体／11移動可能の電熱器／電気毛布,4,4,－,－,1,3,－,－,－,－,－,17,6740,－,－,2
