事故種別,内容,救急搬送人員（人）,,,,
ころぶ,スケートボード,91,,,,
ころぶ,階段,74,,,,
ころぶ,自転車,36,,,,
ころぶ,机・テーブル,33,,,,
ころぶ,その他の家具,31,,,,
ぶつかる,人,134,,,,
ぶつかる,ボール,54,,,,
ぶつかる,手動ドア,30,,,,
ぶつかる,柱,30,,,,
ぶつかる,壁・天井,29,,,,
落ちる,階段,65,,,,
落ちる,滑り台,65,,,,
落ちる,雲梯,54,,,,
落ちる,植物,47,,,,
落ちる,ぶらんこ,38,,,,
切る・刺さる,ナイフ,23,,,,
切る・刺さる,手動ドア,17,,,,
切る・刺さる,針・釘等,10,,,,
切る・刺さる,ミシン（ミシン針含む）,8,,,,
切る・刺さる,はさみ,7,,,,
はさむ・はさまれる,手動ドア,18,,,,
はさむ・はさまれる,自転車,15,,,,
はさむ・はさまれる,人,8,,,,
はさむ・はさまれる,その他の家具,5,,,,
はさむ・はさまれる,植物,5,,,,
ものがつまる等,魚等の骨,13,,,,
ものがつまる等,その他の玩具,10,,,,
ものがつまる等,アメ玉類,7,,,,
ものがつまる等,洗剤等,4,,,,
ものがつまる等,菓子,4,,,,
やけど,カップ麺,19,,,,
やけど,鍋,5,,,,
やけど,ポット・魔法瓶,4,,,,
やけど,お茶,4,,,,
やけど,熱湯,4,,,,
かまれる・刺される,動物等,20,,,,
かまれる・刺される,虫,14,,,,
おぼれる,浴槽,2,,,,
おぼれる,プール,1,,,,
