風速,計／火災件数,計／建物火災／件数(A),計／建物火災／全、半、部分焼／件数(B),計／建物火災／全、半、部分焼／焼損床面積(m2)(C),計／比率／延焼率％(B)/(A),計／比率／延焼火災1件当たりの焼損床面積(m2)(C)/(B),湿度50％未満／火災件数,湿度50％未満／建物火災／件数(A),湿度50％未満／建物火災／全、半、部分焼／件数(B),湿度50％未満／建物火災／全、半、部分焼／焼損床面積(m2)(C),湿度50％未満／比率／延焼率％(B)/(A),湿度50％未満／比率／延焼火災1件当たりの焼損床面積(m2)(C)/(B),湿度50％未満／火災件数,湿度50％未満／建物火災／件数(A),湿度50％未満／建物火災／全、半、部分焼／件数(B),湿度50％未満／建物火災／全、半、部分焼／焼損床面積(m2)(C),湿度50％未満／比率／延焼率％(B)/(A),湿度50％未満／比率／延焼火災1件当たりの焼損床面積(m2)(C)/(B),湿度60％以上70％未満火災件数,湿度60％以上70％未満建物火災／件数(A),湿度60％以上70％未満建物火災／全、半、部分焼／件数(B),湿度60％以上70％未満建物火災／全、半、部分焼／焼損床面積(m2)(C),湿度60％以上70％未満比率／延焼率％(B)/(A),湿度60％以上70％未満比率／延焼火災1件当たりの焼損床面積(m2)(C)/(B),湿度70％以上／火災件数,湿度70％以上／建物火災／件数(A),湿度70％以上／建物火災／全、半、部分焼／件数(B),湿度70％以上／建物火災／全、半、部分焼／焼損床面積(m2)(C),湿度70％以上／比率／延焼率％(B)/(A),湿度70％以上／比率／延焼火災1件当たりの焼損床面積(m2)(C)/(B)
計,6365,3837,817,61220,21.3,74.9,2146,1230,305,21485,24.8,70.4,1050,628,115,7260,18.3,63.1,1104,637,130,11775,20.4,90.6,2065,1342,267,20700,19.9,77.5
1m/sec未満,43,28,6,282,21.4,47,7,2,－,－,－,－,3,2,1,25,50,25,18,12,－,－,－,－,15,12,5,257,41.7,51.4
1m/sec以上2m/sec未満,466,255,50,4377,19.6,87.5,110,55,12,612,21.8,51,62,36,6,95,16.7,15.8,91,42,11,1841,26.2,167.4,203,122,21,1829,17.2,87.1
2～3,1205,697,173,14612,24.8,84.5,285,167,41,3756,24.6,91.6,222,113,28,2546,24.8,90.9,224,128,33,3427,25.8,103.8,474,289,71,4883,24.6,68.8
3～4,1438,879,175,11553,19.9,66,382,224,46,3312,20.5,72,246,150,29,1815,19.3,62.6,262,160,42,2877,26.3,68.5,548,345,58,3549,16.8,61.2
4～5,1228,727,145,10656,19.9,73.5,383,211,58,3302,27.5,56.9,223,146,20,1142,13.7,57.1,230,124,18,1272,14.5,70.7,392,246,49,4940,19.9,100.8
5～6,837,546,111,8875,20.3,80,286,166,46,3501,27.7,76.1,154,96,14,606,14.6,43.3,165,105,17,1661,16.2,97.7,232,179,34,3107,19,91.4
6～7,467,285,61,4531,21.4,74.3,223,132,36,2411,27.3,67,70,43,7,482,16.3,68.9,69,38,4,516,10.5,129,105,72,14,1122,19.4,80.1
7～8,297,183,41,2591,22.4,63.2,163,91,23,1513,25.3,65.8,51,31,7,401,22.6,57.3,20,11,3,120,27.3,40,63,50,8,557,16,69.6
8～9,195,126,30,2035,23.8,67.8,151,95,23,1467,24.2,63.8,13,8,3,148,37.5,49.3,12,6,－,－,－,－,19,17,4,420,23.5,105
9～10,115,64,13,829,20.3,63.8,99,53,12,823,22.6,68.6,5,2,－,－,－,－,8,7,－,－,－,－,3,2,1,6,50,6
10ｍ/sec以上,74,47,12,879,25.5,73.3,57,34,8,788,23.5,98.5,1,1,－,－,－,－,5,4,2,61,50,30.5,11,8,2,30,25,15
