地域,有人直接通報承認対象物数,無人直接通報承認対象物数,即時通報承認対象物数,緊急即時通報承認対象物数,緊急通報システム登録世帯
平成27年,"1,394",125,"2,033","23,360",2086
平成28年,"1,036",122,"2,082","24,375",1803
平成29年,"1,100",132,"2,081","25,093",1584
平成30年,"1,133",141,"2,101","25,620",1364
令和元年,1133,141,"2,101","25,620","1,162"
特別区,738,89,1232,20474,835
千代田区,13,2,47,439,15
中央区,16,6,69,242,38
港区,26,4,43,1595,2
品川区,22,10,30,1097,6
大田区,75,8,70,627,64
目黒区,12,1,20,677,12
世田谷区,50,14,119,762,102
渋谷区,12,4,10,1078,0
新宿区,27,2,25,622,13
中野区,30,0,13,687,0
杉並区,48,0,23,1563,22
文京区,12,4,30,149,14
豊島区,17,3,18,308,170
北区,30,1,24,1184,0
板橋区,43,6,57,882,-
練馬区,57,4,27,1246,1
台東区,19,0,93,539,25
荒川区,23,1,14,"1,136",1
足立区,64,2,90,"1,376",20
墨田区,45,5,35,1589,0
江東区,18,5,87,387,329
葛飾区,30,3,122,898,0
江戸川区,49,4,166,"1,391",1
受託地区,395,52,869,5146,327
立川市,34,1,28,340,23
国立市,15,0,8,616,7
武蔵野市,16,2,19,179,0
三鷹市,23,4,10,233,21
府中市,31,1,97,622,9
昭島市,9,3,20,93,12
調布市,10,2,85,838,0
小金井市,11,0,6,121,13
小平市,16,0,63,133,2
東村山市,9,1,23,140,10
国分寺市,15,0,23,34,5
狛江市,1,1,14,156,1
東大和市,3,0,23,240,5
武蔵村山市,4,0,16,80,12
清瀬市,13,0,24,60,29
東久留米市,11,1,9,0,12
西東京市,14,3,42,230,8
八王子市,56,6,83,226,0
青梅市,14,1,89,33,11
町田市,29,9,11,464,1
日野市,25,1,24,61,5
福生市,2,0,22,7,9
羽村市,5,1,33,9,25
瑞穂町,2,2,30,2,8
多摩市,11,0,20,94,0
あきる野市,10,8,41,135,2
日の出町,3,5,6,0,10
檜原村,0,0,0,0,0
奥多摩町,3,0,0,0,87
