月,令和元年救急搬送人員（人）,令和2年救急搬送人員（人）
1,12421 ,12508 
2,10488 ,10866 
3,11521 ,10182 
4,11292 ,7765 
5,11325 ,8308 
6,11049 ,9476 
7,12023 ,10137 
8,14513 ,14006 
9,11870 ,10562 
10,12120 ,11198 
11,12340 ,10804 
12,13805 ,11570 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
