危険物品名,計,製造所,屋内貯蔵所,屋外タンク貯蔵所,屋内タンク貯蔵所,地下タンク貯蔵所,簡易タンク貯蔵所,移動タンク貯蔵所,屋外貯蔵所,給油取扱所,販売取扱所／第1種,販売取扱所／第2種,移送取扱所,一般取扱所
第1類／第一種酸化性固体,31686.6,4.8,22056.8,－,－,－,－,－,－,－,71.2,－,－,9553.8
第1類／第二種酸化性固体,51259.8,3,50976.2,－,－,－,－,－,－,－,100,－,－,180.6
第1類／第三種酸化性固体,90203.2,－,89093.7,－,－,－,－,－,－,－,1038,－,－,71.5
第2類／硫化りん,45.5,－,45,－,－,－,－,－,－,－,－,－,－,0.5
第2類／赤りん,467.5,50.4,283.7,－,－,－,－,－,－,－,1,－,－,132.4
第2類／硫黄,75102.4,－,1541.7,－,－,62000,－,5.6,－,－,90,－,－,11465.1
第2類／第一種可燃性固体,1,4317,4,－,90277.1,－,－,－,－,－,15.1,－,－,14025.2
第2類／鉄粉,608.9,1.6,598.3,－,－,－,－,－,－,－,－,－,－,9
第2類／第二種可燃性固体,239.8,0.2,213.2,－,－,－,－,－,－,－,21,－,－,5.4
第2類／引火性固体,4256.3,0.3,3004.7,－,－,－,－,－,－,－,440.1,800.4,－,10.8
第3類／カリウム,84,－,82.8,－,－,－,－,－,－,－,0.2,－,－,1.1
第3類／ナトリウム,86.4,1,64.1,－,－,－,－,－,－,－,0.5,－,－,20.8
第3類／アルキルアルミニウム,0.5,－,0.5,－,－,－,－,－,－,－,－,－,－,－
第3類／アルキルリチウム,－,－,－,－,－,－,－,－,－,－,－,－,－,－
第3類／第一種自然発火性物質及び禁水性物質,127.7,－,116.7,－,－,－,－,－,－,－,1,10,－,－
第3類／黄りん,67.2,－,67.2,－,－,－,－,－,－,－,－,－,－,－
第3類／第二種自然発火性物質及び禁水性物質,313.5,－,209.5,－,－,－,－,－,－,－,104,－,－,－
第3類／第三種自然発火性物質及び禁水性物質,17,－,17,－,－,－,－,－,－,－,－,－,－,－
第4類／特殊引火物,1420.9,26.3,541.7,264.1,－,0.3,－,323.4,－,－,237.2,0.2,－,27.7
第4類／第一石油類／非水溶性,1033575,1950.5,7744.6,150835.6,4.1,2911,13.9,12920.1,320.1,823769.4,4535.4,359.5,3214,24996.7
第4類／第一石油類／水溶性,4969.8,29.5,3003.3,1079.8,0.6,251,－,193.3,－,－,203.7,3.6,－,205.1
第4類／アルコール類,16742.3,205.5,6996.8,2876.6,6,1221.6,－,876.3,－,9.5,2834.2,15.2,0.5,1700.1
第4類／第二石油類／非水溶性,2956971.3,615.4,19669.2,216262.2,767055.4,1127759.4,2.3,6900.1,732.6,393151.3,16504.8,338.7,6754.4,401225.4
第4類／第二石油類／水溶性,1334.2,187.4,280.3,57.1,－,311.3,－,291.3,5.6,－,7.1,1,－,193.1
第4類／第三石油類／非水溶性,3113718.3,19220.9,13385.3,76355.4,1929505.5,709673,－,3046.8,4292.4,31689.5,27207.3,219.9,200.8,298921.5
第4類／第三石油類／水溶性,1813.8,94.8,282.8,346.9,－,361.9,－,－,2.4,－,11.4,2,－,711.7
第4類／第四石油類／非水溶性,62896.7,1928.2,4955.9,77326,276.5,815.3,－,382.2,4093.5,1169.1,227.4,74.6,40.5,41200.9
第4類／動植物油類,9803,2746,926.5,4217.1,33.5,39.6,－,142.5,42,2.4,1036.1,16.9,－,6005
第5類／第1種自己反応性物質,570,0.8,562.3,－,－,－,－,－,－,－,－,－,－,7
第5類／第2種自己反応性物質,3683.9,14.3,1655.2,－,－,－,－,－,－,－,0.1,－,－,2014
第6類,315245.5,3.1,4134,300046.3,－,－,－,－,504.7,－,421.5,－,－,10135.9
