応援消防署,"応援を受けた消防本部",件数・計,件数・普通応援,件数・特別応援,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
平成27年,合計,308,304,4,723,414,161,99,49,105,291,7,1,954,"2,885","1,108",1777
平成28年,合計,269,266,3,713,410,134,114,55,90,277,10,4,528,"2,907",1084,"1,823"
平成29年,合計,239,236,3,616,349,123,83,57,77,236,6,20,565,"2,393",932,"1,602"
平成30年,合計,247,234,12,566,345,106,71,42,74,222,7,5,623,"2,414",859,"1,555"
令和元年,合計,267,259,8,645,390,130,72,52,78,226,5,0,271,"2,563",893,"1,680"
田園調布,川崎市,13,13,0,37,20,3,8,6,0,0,0,0,0,162,0,162
蒲田,川崎市,19,19,0,56,34,15,3,4,12,33,2,0,73,227,130,97
矢口,川崎市,17,17,0,27,21,1,3,2,1,8,0,0,0,111,35,76
玉川,川崎市,21,20,1,56,33,15,5,3,7,21,0,0,0,216,76,140
赤羽,川口市,1,1,0,13,3,1,6,3,0,0,0,,,53,0,53
赤羽,戸田市,11,11,0,31,15,14,2,0,9,19,0,0,0,113,68,45
板橋,戸田市,1,1,0,3,1,2,0,0,1,2,0,,,10,7,3
志村,戸田市,4,4,0,10,6,4,0,0,2,3,0,0,0,36,11,25
志村,埼玉県南西部,5,5,0,20,8,4,5,3,3,15,0,0,0,80,60,20
光が丘,埼玉県南西部,3,3,0,3,3,0,0,0,0,0,0,0,0,12,0,12
石神井,埼玉県南西部,1,0,1,6,3,1,1,1,0,0,0,,,24,0,24
石神井,埼玉西部,19,19,0,52,30,18,2,2,9,21,1,0,150,195,76,119
足立,草加八潮,2,2,0,6,4,2,0,0,2,5,0,0,0,22,19,3
西新井,川口市,3,3,0,6,4,2,0,0,1,2,0,0,0,22,7,15
金町,三郷市,3,3,0,7,4,1,1,1,1,5,0,0,0,30,22,8
金町,松戸市,2,2,0,2,2,0,0,0,0,0,0,0,0,8,0,8
江戸川,市川市,18,18,0,35,25,2,6,2,0,0,0,0,0,143,0,143
葛西,浦安市,7,7,0,7,7,0,0,0,0,0,0,0,0,28,0,28
小 岩,市川市,18,18,0,21,19,2,0,0,1,3,0,0,0,82,11,71
府中,稲城市,28,28,0,71,42,10,14,5,3,13,0,0,0,287,55,232
調布,稲城市,2,2,0,15,7,1,4,3,2,8,1,0,35,63,36,27
調布,川崎市,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4
東村山,埼玉西部,1,0,1,11,4,1,4,2,1,11,0,,,46,46,0
北多摩西部,埼玉西部,4,4,0,7,4,1,1,1,2,3,0,0,0,32,14,18
狛江,川崎市,1,0,1,2,1,0,0,1,0,0,0,,,0,10,0
清瀬,埼玉西部,13,12,1,21,15,1,4,1,0,0,0,0,0,89,0,89
東久留米,埼玉西部,3,3,0,3,3,0,0,0,0,0,0,0,0,12,0,12
西東京,埼玉県南西部,3,3,0,3,3,0,0,0,0,0,0,0,0,15,0,15
八王子,相模原市,6,6,0,6,6,0,0,0,0,0,0,0,0,26,0,26
青梅,埼玉西部,10,10,0,39,20,15,2,2,8,26,0,0,0,145,96,49
町田,横浜市,7,7,0,20,13,5,0,2,5,11,1,0,13,78,45,33
町田,川崎市,10,10,0,25,14,8,1,2,7,15,0,0,0,96,59,37
町田,相模原市,5,2,3,15,9,1,0,4,0,0,0,0,0,62,0,62
福生,埼玉西部,3,3,0,3,3,0,0,0,0,0,0,0,0,12,0,12
多摩,稲城市,2,2,0,5,3,0,0,2,1,2,0,0,0,22,10,12
