消防署,出場・従事件数／計／出場,出場・従事件数／計／従事,出場・従事件数／火災／出場,出場・従事件数／火災／従事,出場・従事件数／交通／出場,出場・従事件数／交通／従事,出場・従事件数／水難／出場,出場・従事件数／水難／従事,出場・従事件数／機械／出場,出場・従事件数／機械／従事,出場・従事件数／建物工作物／出場,出場・従事件数／建物工作物／従事,出場・従事件数／崩かい／出場,出場・従事件数／崩かい／従事,出場・従事件数／堕落／出場,出場・従事件数／堕落／従事,出場・従事件数／ガス／出場,出場・従事件数／ガス／従事,出場・従事件数／電気／出場,出場・従事件数／電気／従事,出場・従事件数／山岳／出場,出場・従事件数／山岳／従事,出場・従事件数／その他／出場,出場・従事件数／その他／従事,救助人員／計,救助人員／重症,救助人員／中等症,救助人員／軽症,救助人員／無症,救助人員／死亡,誘導人員,出場車両数／計,出場車両数／ポンプ車,出場車両数／救助車,出場車両数／化学車,出場車両数／はしご車,出場車両数／救急車,出場車両数／照明車,出場車両数／防災機動車,出場車両数／ヘリコプター,出場車両数／消防艇,出場車両数／救助先行車,出場車両数／その他,従事台数,出場人員,従事人員
計,4321,2696,105,105,2417,1568,104,60,232,107,727,418,33,15,137,96,40,10,3,3,54,43,469,271,3733,305,738,2072,427,191,119,16339,4633,2318,912,387,4496,47,21,25,143,2905,452,8515,73848,37859
特別区,3455,2185,94,94,2016,1340,84,52,200,98,547,293,28,13,102,76,32,7,2,2,－,－,350,210,3085,227,555,1822,339,142,110,12659,3477,1835,723,357,3525,37,19,15,143,2206,322,6689,57733,29968
丸の内,23,13,－,－,19,11,－,－,1,1,2,－,－,－,－,－,－,－,－,－,－,－,1,1,17,－,4,12,－,1,－,66,21,11,2,－,22,－,－,－,－,10,－,29,294,120
麹町,99,82,－,－,83,73,1,1,1,－,3,1,－,－,5,4,－,－,－,－,－,－,6,3,141,5,12,120,1,3,－,340,102,25,21,－,108,－,－,－,－,76,8,282,1516,1212
神田,46,30,－,－,29,20,2,1,2,1,4,3,1,1,2,2,－,－,－,－,－,－,6,2,55,3,6,42,1,3,－,156,46,24,－,2,52,－,－,－,1,24,7,87,710,400
京橋,77,59,1,1,54,42,－,－,6,4,4,2,－,－,3,3,－,－,－,－,－,－,9,7,80,4,20,51,2,3,3,231,74,26,19,4,80,－,－,－,1,25,2,167,1029,733
日本橋,110,91,－,－,92,78,1,－,1,1,2,1,－,－,2,1,－,－,－,－,－,－,12,10,124,6,9,108,1,－,－,262,113,15,3,2,115,－,－,－,3,11,－,194,1091,762
臨港,60,46,－,－,37,31,13,8,1,－,3,3,2,2,1,1,－,－,－,－,－,－,3,1,71,6,20,41,－,4,－,282,47,20,29,2,65,5,2,1,49,58,4,196,1284,897
芝,111,82,2,2,84,65,－,－,3,－,13,9,－,－,4,2,－,－,－,－,－,－,5,4,117,8,16,85,4,4,3,335,110,50,9,4,107,1,－,－,3,43,8,213,1503,944
麻布,70,56,1,1,53,43,－,－,2,2,8,4,－,－,－,－,－,－,－,－,－,－,6,6,112,1,9,91,11,－,－,190,78,15,－,5,70,－,－,－,－,21,1,145,793,593
赤坂,37,27,1,1,22,18,－,－,4,2,6,3,－,－,1,－,－,－,－,－,－,－,3,3,38,4,4,23,5,2,8,116,39,10,－,4,33,－,－,－,－,25,5,80,468,317
高輪,32,18,1,1,17,11,1,1,2,2,6,1,1,－,1,－,－,－,－,－,－,－,3,2,24,1,3,15,3,2,－,133,32,21,8,4,33,1,－,1,3,29,1,70,660,318
品川,76,54,2,2,50,41,2,1,2,1,12,3,2,1,5,4,－,－,－,－,－,－,1,1,90,5,15,44,24,2,12,238,67,37,10,6,73,2,－,－,2,39,2,153,1080,689
大井,78,63,1,1,60,50,－,－,1,1,9,6,－,－,1,－,－,－,－,－,－,－,6,5,99,3,24,63,4,5,－,243,53,31,33,2,85,－,－,－,－,39,－,163,985,642
