区分,ポンプ車,化学車,特殊災害対策車,はしご車,空中作業車,屈折放水塔車,救急車,救助車,ホース延長車,送水車,10t水槽車,救援車,指揮統制車,救出救助車,水難救助車,山岳救助車,照明電源車,指揮隊車,補給車,資材搬送車,工作車,方面警防車,査察広報車,貨物車,人員輸送車,司令車,指揮車,消防艇,消防活動二輪車,その他車両
平成27年,"406,815","32,388",1083,"36,094","1,304",260,"793,609","15,851",98,79,239,157,69,76,588,704,280,"46,408",320,515,559,"1,293","48,953",901,"6,386",532,"3,545","1,379","2,975","1,043"
平成28年,"408,438","30,809",1114,"36,295","1,164",251,"818,198","15,880",97,109,271,158,69,92,542,740,224,"45,576",280,416,511,1065,"48,191",872,"5,742",467,"1,392","1,322","3,084","1,049"
平成29年,"402,086","30,537",884,"36,789","1,271",303,"830,782","15,733",77,107,237,105,92,47,539,593,229,"45,939",203,379,375,912,"47,814",766,"5,398",397,1167,"1,188","3,467","1,270"
平成30年,"402,355","30,653",1000,"36,935","1,260",217,"866,909","16,324",61,97,213,86,87,60,640,520,273,"45,594",210,401,282,813,"48,842",814,"5,260",386,870,"1,534","3,188","1,236"
令和元年,"413,810","31,775",985,"36,734","1,267",166,"889,944","17,103",51,68,195,85,147,99,531,333,282,"47,745",198,374,314,825,"45,822",830,"5,091",352,914,"1,566","3,425","1,261"
総走行距離(km),"2,326,419","179,775","22,343","151,703","6,610","3,452","8,346,372","163,322","1,967","2,272","6,074","2,191","4,942","2,120","18,601","9,003","3,799","315,437","3,980","11,038","9,521","20,767","1,025,379","24,113","141,548","17,700","23,958","24,390","40,023","39,516"
災害出場回数,"193,003","17,401",434,"2,644",85,5,"824,078","10,323",0,2,15,1,21,24,210,220,99,"27,113",134,84,12,58,"2,236",7,284,23,0,523,501,14
火災出場回数,"20,329","1,486",31,"2,409",59,4,135,"2,024",0,0,15,1,15,0,2,0,14,"4,399",114,72,8,52,688,3,63,19,0,129,24,9
火災出場回数_附属装置の使用_出場回数,"3,942",385,0,133,0,1,23,43,0,0,9,0,0,0,1,0,12,164,13,12,4,4,116,1,10,9,0,6,2,4
火災出場回数_附属装置の使用_走行距離(km),20103.2,2110.5,0,729.9,0,15,123,389,0,0,232,0,0,0,0,0,217,1134.4,215,375,166,68,1862.5,0,63,908.2,0,0:00,0,113
火災出場回数_附属装置の使用_附属装置運用時間_ポンプ運用(時間：分）,4419:06,429:46,-,-,-,2:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3:25,-,-
火災出場回数_附属装置の使用_附属装置運用時間_はしご架梯(時間：分）,-,-,-,106:51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_塔体運用(時間：分）,1:00,-,-,-,-,4:00,-,-,-,-,-,-,-,-,-,-,18:51,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_照明作業(時間：分）,-,-,-,-,-,-,-,32:13,-,-,-,-,-,-,-,-,25:30,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_無線開局(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_救援作業(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_その他(時間：分）,-,0:30,-,-,-,-,3:00,-,-,-,-,-,-,-,-,-,-,-,-,0:30,-,-,-,-,-,-,-,-,-,7:40
火災出場回数_附属装置の未使用_出場回数,"16,387",1101,31,2276,59,3,112,1981,0,0,6,1,15,0,1,0,2,4235,101,60,4,48,572,2,53,10,0,123,22,5
火災出場回数_附属装置の未使用_走行距離(km),"102,341",7716.1,562,14442.6,293.6,50,798,17295.3,0,0,170,191,638,0,13,0,30,30010.5,1977.4,1328.5,390,827,8435.8,141,761.3,662,0,1214.1,270,84
火災以外の出場回数,172674,15915,403,235,26,1,823943,8299,0,2,0,0,6,24,208,220,85,22714,20,12,4,6,1548,4,221,4,0,0:00,477,5
火災以外の出場回数_附属装置の使用_出場回数,950,76,14,91,5,0,51,67,0,2,0,0,0,0,2,4,16,511,5,2,3,0,63,1,14,3,0,38,6,0
火災以外の出場回数_附属装置の使用_走行距離(km),3716.7,301.8,139,480.9,36,0,587,601,0,14,0,0,0,0,39,108,315,2877.7,113,104,55,0,943.9,10,122,80,0,644.2,65.9,0
火災以外の出場回数_附属装置の使用_附属装置運用時間_ポンプ運用(時間：分）,148:36,17:11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11:25,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_はしご架梯(時間：分）,-,-,-,47:52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_塔体運用(時間：分）,2:05,-,-,-,1:55,-,-,-,-,-,-,-,-,-,-,-,14:05,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_照明作業(時間：分）,-,-,-,-,-,-,-,24:27,-,-,-,-,-,-,-,-,19:40,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_無線開局(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_救援作業(時間：分）,-,-,-,-,-,-,-,3:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_その他(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1:30,2:30,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の未使用_出場回数,"171,724","15,839",389,144,21,1,"823,892","8,232",0,0,0,0,6,24,206,216,69,"22,203",15,10,1,6,"1,485",3,207,1,0,356,471,5
火災以外の出場回数_附属装置の未使用_走行距離(km),564095.3,57240,5064.2,826,52,25,7939891.5,67776.1,0,0:00,0,0,92,241,3748.1,5004,1088,117954.3,250,393,121,60.1,12345.4,198,2933.3,18,0,4871.7,7768.7,116
その他の回数,220807,0:00,0:00,34090,1182,161,65866,0:00,0:00,0:00,180,84,126,75,321,113,183,20632,64,0:00,302,767,43586,823,4807,329,914,1043,2924,0:00
その他の回数_非火災_出場回数,24424,1940,11,3457,98,1,100,2150,0,0,4,0,0,0,0,0,0,3189,1,6,0,1,143,0,4,0,0,60,12,2
その他の回数_非火災_走行距離(km),141894.9,11886.2,171,21802.3,437.4,22,597.5,18682.1,0,0,55,0,0,0,0,0,0,17117.4,31,84,0,20,725.5,0,45,0,0,510.9,93,36
その他の回数_演習その他_出場回数,196383,12434,540,30633,1084,160,65766,4630,51,66,176,84,126,75,321,113,183,17443,63,284,302,766,43443,823,4803,329,914,983,2912,1245
その他の回数_演習その他_走行距離(km),1486582.7,100139.1,16272.8,112880.4,5782,3335,399518.3,58058.7,1946,2236,5588,2090,4190.5,1879,14630.7,3743,2125,144927.7,1394,8738,8665.3,19582,985400.7,23493.2,136020.5,15775.8,23828,16815.7,31179.4,38808.9
その他の回数_演習その他_附属装置運用時間_ポンプ運用(時間：分）,14169:52,1270:35,-,-,-,14:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:40,-,0:30
その他の回数_演習その他_附属装置運用時間_その他(時間：分）,40:20,0:20,1:40,19374:12,651:05,63:05,-,24:30,7:10,7:30,-,-,-,-,4:00,-,167:04,-,-,24:40,123:00,-,-,-,-,-,-,-,-,15:00
その他の回数_演習その他_点検走行距離(km),6312,662,135,456.2,28,-,4305.4,575.3,48,50,15,-,85,20,130,250,6,1333.3,50,85,226,107,12642.8,283,1225.5,275,57,251,459.8,40
