月別,計／実施回数,計／受講者数,1種／実施回数,1種／受講者数,2種／実施回数,2種／受講者数,3種／実施回数,3種／受講者数,4種／実施回数,4種／受講者数,5種／実施回数,5種／受講者数
計,36,6891,8,1849,2,368,19,3206,2,276,5,1192
4月,－,－,－,－,－,－,－,－,－,－,－,－
5月,4,941,1,239,－,－,2,538,1,164,－,－
6月,4,881,1,316,－,－,2,261,－,－,1,304
7月,4,808,－,－,1,225,2,348,－,－,1,235
8月,3,531,1,225,－,－,2,306,－,－,－,－
9月,4,754,1,261,－,－,2,323,－,－,1,170
10月,3,308,1,96,－,－,2,212,－,－,－,－
11月,3,643,1,219,－,－,1,178,－,－,1,246
12月,3,486,－,－,1,143,1,231,1,112,－,－
1月,3,560,1,244,－,－,2,316,－,－,－,－
2月,3,671,1,249,－,－,1,185,－,－,1,237
3月,2,308,－,－,－,－,2,308,－,－,－,－
