消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十六の二),(十六の三),危険物製造所等／製造所,危険物製造所等／貯蔵所,危険物製造所等／取扱所
計,34773,497,160,17,181,141,1052,5959,2516,－,1352,840,562,－,－,270,－,－,－,－,－,－,－,－,－,14834,－,42,1,176,2495,3678
特別区,28361,441,91,14,137,127,837,4204,2191,－,1046,522,417,－,－,264,－,－,－,－,－,－,－,－,－,13007,－,40,1,154,1926,2942
丸の内,150,－,－,－,2,－,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,122,－,－,－,－,2,13
麹町,431,6,2,－,1,2,7,－,45,－,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,341,－,－,－,－,5,12
神田,556,－,－,－,4,－,3,198,30,－,4,－,－,－,－,1,－,－,－,－,－,－,－,－,－,271,－,3,－,－,－,42
京橋,834,5,－,1,－,17,37,69,33,－,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,637,－,1,1,－,2,24
日本橋,418,6,－,－,－,9,16,178,16,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,142,－,2,－,－,－,49
臨港,152,－,－,－,－,－,5,13,17,－,1,1,1,－,－,－,－,－,－,－,－,－,－,－,－,67,－,－,－,－,24,23
芝,424,－,－,－,1,－,17,7,62,－,14,－,－,－,－,－,－,－,－,－,－,－,－,－,－,269,－,9,－,－,3,42
麻布,407,－,－,－,－,－,18,4,35,－,4,4,－,－,－,－,－,－,－,－,－,－,－,－,－,333,－,－,－,－,2,7
赤坂,421,6,－,－,－,－,5,17,50,－,11,1,2,－,－,－,－,－,－,－,－,－,－,－,－,299,－,－,－,－,2,28
高輪,400,－,－,－,－,6,18,－,84,－,8,6,10,－,－,－,－,－,－,－,－,－,－,－,－,211,－,－,－,－,26,31
品川,860,6,－,2,3,4,13,8,59,－,26,13,17,－,－,3,－,－,－,－,－,－,－,－,－,378,－,－,－,9,182,137
大井,181,4,－,1,2,－,9,20,8,－,17,2,2,－,－,2,－,－,－,－,－,－,－,－,－,101,－,－,－,－,2,11
荏原,547,－,－,－,1,7,17,112,8,－,53,7,6,－,－,－,－,－,－,－,－,－,－,－,－,268,－,－,－,－,3,65
大森,520,22,－,－,－,－,1,73,16,－,42,4,1,－,－,－,－,－,－,－,－,－,－,－,－,160,－,－,－,－,21,180
東調布,379,－,－,－,9,1,12,46,4,－,24,10,13,－,－,－,－,－,－,－,－,－,－,－,－,166,－,－,－,－,2,92
蒲田,663,19,－,2,2,2,－,67,66,－,41,14,11,－,－,－,－,－,－,－,－,－,－,－,－,197,－,－,－,15,108,119
矢口,441,2,5,－,5,1,6,53,32,－,13,－,4,－,－,1,－,－,－,－,－,－,－,－,－,186,－,－,－,2,83,48
目黒,511,－,1,－,2,1,11,65,18,－,6,1,－,－,－,－,－,－,－,－,－,－,－,－,－,294,－,－,－,－,22,90
世田谷,705,5,10,－,3,3,3,78,4,－,68,10,8,－,－,－,－,－,－,－,－,－,－,－,－,396,－,－,－,3,18,96
玉川,370,13,－,－,2,1,27,58,8,－,17,14,8,－,－,－,－,－,－,－,－,－,－,－,－,156,－,－,－,3,14,49
成城,477,3,－,－,5,－,14,181,4,－,32,33,16,－,－,－,－,－,－,－,－,－,－,－,－,123,－,－,－,－,15,51
渋谷,1122,55,10,－,－,－,18,84,173,－,30,6,1,－,－,－,－,－,－,－,－,－,－,－,－,683,－,－,－,－,9,53
四谷,1039,119,－,－,7,2,19,174,74,－,11,2,－,－,－,1,－,－,－,－,－,－,－,－,－,613,－,－,－,－,2,15
牛込,233,－,－,－,2,－,－,22,12,－,20,－,－,－,－,2,－,－,－,－,－,－,－,－,－,127,－,－,－,－,11,37
新宿,1179,2,3,－,4,5,59,49,243,－,10,2,1,－,－,8,－,－,－,－,－,－,－,－,－,778,－,12,－,－,1,2
中野,420,－,12,－,2,3,12,80,30,－,14,4,6,－,－,2,－,－,－,－,－,－,－,－,－,222,－,－,－,－,1,32
野方,248,－,－,－,－,2,6,25,6,－,21,23,6,－,－,－,－,－,－,－,－,－,－,－,－,112,－,－,－,－,5,42
杉並,551,1,4,－,－,1,8,240,13,－,19,13,5,－,－,－,－,－,－,－,－,－,－,－,－,210,－,－,－,－,－,37
荻窪,474,－,1,－,7,2,17,56,2,－,16,4,12,－,－,－,－,－,－,－,－,－,－,－,－,260,－,－,－,－,14,83
小石川,169,2,－,－,4,1,7,2,13,－,10,3,1,－,－,－,－,－,－,－,－,－,－,－,－,85,－,－,－,－,10,31
本郷,412,－,－,2,－,7,65,23,122,－,14,2,1,－,－,－,－,－,－,－,－,－,－,－,－,146,－,－,－,－,7,23
豊島,813,5,－,－,1,－,14,27,67,－,5,1,－,－,－,4,－,－,－,－,－,－,－,－,－,626,－,5,－,－,4,54
池袋,594,－,－,－,6,4,14,41,77,－,19,37,19,－,－,8,－,－,－,－,－,－,－,－,－,316,－,4,－,－,1,48
王子,358,－,－,－,1,1,13,46,25,－,15,15,21,－,－,－,－,－,－,－,－,－,－,－,－,139,－,－,－,3,64,15
赤羽,503,13,－,1,3,－,7,68,13,－,14,17,14,－,－,1,－,－,－,－,－,－,－,－,－,140,－,－,－,14,120,78
滝野川,264,－,－,－,－,－,2,37,14,－,7,1,14,－,－,－,－,－,－,－,－,－,－,－,－,130,－,－,－,4,21,34
板橋,299,1,4,－,1,－,1,59,1,－,38,26,10,－,－,－,－,－,－,－,－,－,－,－,－,101,－,－,－,－,3,54
