消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,り災世帯数／計,り災世帯数／全損,り災世帯数／半損,り災世帯数／小損,り災人員,焼損棟数／計,焼損棟数／全焼,焼損棟数／半焼,焼損棟数／部分焼,焼損棟数／ぼや,焼損床面積(m2),林野焼損面積(a)
計,6678,3893,321,255,329,2988,716,4,－,22,2043,4463,647,470,3346,11249,5144,429,318,365,4032,63904,318
特別区,4918,2972,219,189,264,2300,538,4,－,－,1404,3494,497,384,2613,8589,3965,297,241,294,3133,46071,－
丸の内,21,10,－,－,－,10,3,－,－,－,8,－,－,－,－,－,10,－,－,－,10,－,－
麹町,32,19,2,－,1,16,4,－,－,－,9,8,3,－,5,27,20,2,－,1,17,170,－
神田,40,18,－,－,1,17,6,－,－,－,16,4,－,－,4,15,18,－,－,1,17,15,－
京橋,44,23,－,－,1,22,2,－,－,－,19,7,－,－,7,15,23,－,－,1,22,4,－
日本橋,28,15,－,－,－,15,3,－,－,－,10,4,－,－,4,11,17,－,－,－,17,－,－
臨港,32,19,2,1,4,12,1,3,－,－,9,16,2,2,12,25,25,2,2,4,17,246,－
芝,62,36,2,2,5,27,5,－,－,－,21,24,1,3,20,42,44,3,2,6,33,408,－
麻布,45,29,－,－,5,24,7,－,－,－,9,17,1,－,16,26,29,－,－,5,24,81,－
赤坂,42,27,4,1,1,21,5,－,－,－,10,18,7,－,11,39,32,4,1,1,26,406,－
高輪,35,21,2,－,2,17,2,－,－,－,12,14,1,1,12,36,25,2,－,2,21,201,－
品川,73,47,3,1,3,40,10,－,－,－,16,39,3,2,34,97,55,3,2,4,46,497,－
大井,44,25,2,1,2,20,5,－,－,－,14,42,9,5,28,109,39,3,5,3,28,692,－
荏原,87,68,3,6,7,52,1,－,－,－,18,95,14,10,71,235,83,3,6,7,67,771,－
大森,123,76,4,3,4,65,12,－,－,－,35,88,8,10,70,235,96,4,6,6,80,762,－
東調布,69,35,4,3,4,24,9,－,－,－,25,43,6,5,32,131,51,4,3,4,40,579,－
蒲田,78,42,5,2,4,31,10,－,－,－,26,57,9,8,40,141,64,5,4,6,49,569,－
矢口,72,44,3,2,2,37,6,－,－,－,22,57,6,4,47,159,54,3,3,2,46,361,－
目黒,111,69,－,4,4,61,13,－,－,－,29,84,10,2,72,193,73,－,5,4,64,351,－
世田谷,219,133,11,10,13,99,30,－,－,－,56,211,28,18,165,495,179,14,11,14,140,2515,－
玉川,103,54,5,3,4,42,18,－,－,－,31,61,5,7,49,138,67,5,3,4,55,357,－
成城,99,59,7,6,10,36,13,－,－,－,27,63,10,9,44,152,76,9,8,11,48,1661,－
渋谷,211,106,1,6,12,87,28,－,－,－,77,98,16,4,78,182,119,1,6,12,100,614,－
四谷,35,20,3,－,3,14,5,－,－,－,10,8,3,－,5,16,28,4,－,3,21,1635,－
牛込,58,45,5,2,4,34,4,－,－,－,9,33,1,3,29,81,59,5,2,4,48,945,－
新宿,135,84,5,2,8,69,14,－,－,－,37,84,19,9,56,142,96,6,2,8,80,1075,－
中野,85,46,3,4,4,35,12,－,－,－,27,67,8,2,57,155,59,3,4,4,48,382,－
野方,80,45,4,1,6,34,8,－,－,－,27,65,13,9,43,136,61,8,2,7,44,904,－
杉並,154,84,9,6,6,63,21,－,－,－,49,141,16,20,105,333,130,10,8,7,105,1445,－
荻窪,108,59,8,6,3,42,12,－,－,－,37,88,16,9,63,240,96,10,12,4,70,1644,－
小石川,39,28,1,1,6,20,3,－,－,－,8,20,3,1,16,49,29,1,1,6,21,197,－
本郷,43,33,3,3,3,24,－,－,－,－,10,51,10,6,35,129,57,3,5,4,45,457,－
豊島,90,61,3,3,7,48,9,－,－,－,20,67,7,8,52,151,79,4,3,7,65,640,－
池袋,97,63,2,10,4,47,5,－,－,－,29,102,20,37,45,188,83,4,12,5,62,1029,－
王子,78,53,3,4,－,46,8,1,－,－,16,45,6,6,33,118,66,3,5,－,58,400,－
赤羽,85,53,7,6,4,36,6,－,－,－,26,64,6,10,48,157,78,8,6,7,57,1384,－
滝野川,60,40,2,5,1,32,5,－,－,－,15,72,14,3,55,147,62,3,5,2,52,689,－
板橋,103,56,3,3,5,45,16,－,－,－,31,72,15,5,52,142,63,3,4,5,51,464,－
志村,181,121,11,8,15,87,15,－,－,－,45,148,20,13,115,375,164,21,8,15,120,2794,－
練馬,79,53,4,4,1,44,6,－,－,－,20,80,11,3,66,151,71,6,4,1,60,951,－
光が丘,66,42,1,2,3,36,7,－,－,－,17,58,3,23,32,134,53,2,2,3,46,314,－
石神井,117,71,14,6,6,45,12,－,－,－,34,101,17,12,72,308,112,17,7,6,82,1353,－
上野,67,40,2,－,3,35,7,－,－,－,20,46,8,5,33,117,56,3,4,5,44,600,－
浅草,39,19,－,－,5,14,3,－,－,－,17,20,4,1,15,61,20,－,－,5,15,95,－
日本堤,56,29,4,－,2,23,3,－,－,－,24,18,5,－,13,42,40,4,－,3,33,355,－
荒川,63,40,1,3,3,33,4,－,－,－,19,28,1,4,23,65,47,2,3,3,39,178,－
尾久,54,36,－,－,3,33,3,－,－,－,15,28,－,4,24,84,36,－,－,3,33,75,－
千住,45,35,3,2,4,26,1,－,－,－,9,53,4,9,40,168,58,5,4,5,44,460,－
足立,176,115,10,6,11,88,25,－,－,－,36,105,14,6,85,264,144,12,8,13,111,2069,－
西新井,164,102,13,10,8,71,19,－,－,－,43,164,26,20,118,439,186,28,16,9,133,3591,－
本所,65,39,3,4,4,28,5,－,－,－,21,51,5,3,43,138,55,3,4,5,43,461,－
向島,65,37,3,3,1,30,8,－,－,－,20,42,1,12,29,121,52,3,4,2,43,515,－
深川,92,50,1,3,2,44,10,－,－,－,32,48,4,2,42,104,62,1,3,2,56,283,－
城東,128,80,3,2,8,67,15,－,－,－,33,83,21,5,57,218,107,9,4,8,86,1238,－
本田,159,83,8,7,7,61,24,－,－,－,52,92,8,10,74,276,127,13,8,9,97,1273,－
金町,84,51,5,2,5,39,12,－,－,－,21,54,8,9,37,128,72,6,3,5,58,831,－
江戸川,185,109,8,10,11,80,26,－,－,－,50,123,18,13,92,368,151,16,11,12,112,3188,－
小岩,113,75,4,10,9,52,12,－,－,－,26,123,23,12,88,341,107,4,10,9,84,897,－
受託地区,1760,921,102,66,65,688,178,－,－,22,639,969,150,86,733,2660,1179,132,77,71,899,17833,318
立川,185,95,13,5,9,68,26,－,－,1,63,110,34,7,69,243,116,14,7,9,86,2071,10
国分寺,71,39,5,6,2,26,5,－,－,－,27,55,6,6,43,121,56,6,8,2,40,828,－
小平,68,31,2,2,2,25,9,－,－,－,28,29,2,2,25,66,36,2,2,2,30,327,－
武蔵野,81,46,2,1,2,41,11,－,－,－,24,44,2,4,38,113,60,2,3,2,53,284,－
保谷,70,49,5,5,3,36,4,－,－,－,17,60,16,8,36,152,68,8,5,4,51,1185,－
