区分,件数・出場,件数・従事,救助人員・計,救助人員・重症,救助人員・中等症,救助人員・軽症,救助人員・無症,救助人員・死亡,出場車両数・計,出場車両数・ポンプ車,出場車両数・救助車,出場車両数・化学車,出場車両数・はしご車,出場車両数・救急車,出場車両数・照明車,"出場車両数・救出救助車、水難救助車、指揮統制車",出場車両数・ヘリコプター,出場車両数・消防艇,出場車両数・指揮隊車,出場車両数・その他,従事台数,出場人員,従事人員
交通_航空機墜落等その他,32,23,25,3,3,17,2,0,85,32,1,4,0,34,0,0,1,0,13,0,51,332,201
水難_海・河川等_船舶と船舶との衝突,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水難_海・河川等_河川等への転落,176,128,120,22,13,10,8,67,"1,664",388,171,149,1,187,58,156,10,268,211,65,801,"7,416","3,635"
水難_池・プール・井戸等への転落,11,8,9,3,1,0,0,5,89,28,12,8,0,12,1,11,0,4,11,2,32,392,146
水難_飛び込み自損等,36,21,17,5,6,0,1,5,330,83,36,27,0,40,14,33,5,37,40,15,131,"1,421",569
水難_その他,43,28,31,3,2,6,8,12,327,90,32,22,0,50,4,25,1,44,44,15,144,"1,403",632
機械_昇降機_エレベーターに閉じ込められ,68,23,62,0,0,2,60,0,260,71,69,8,0,48,0,0,0,0,64,0,66,1160,307
機械_昇降機_エレベーターに挟まれ,4,3,3,0,2,1,0,0,18,4,4,2,0,4,0,0,0,0,4,0,13,78,58
機械_昇降機_エスカレーターに挟まれ等,3,0,0,0,0,0,0,0,12,4,2,0,0,3,0,0,0,0,3,0,0,51,0
機械_昇降機_リフト・ダムウェータに挟まれ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機械_プレス機械に挟まれ,3,3,3,1,1,0,1,0,17,6,4,0,0,3,0,0,0,0,3,1,16,73,69
機械_回転機械_印刷機械ローラーに挟まれ,4,3,3,1,2,0,0,0,23,7,5,2,0,4,0,0,0,0,4,1,17,95,71
機械_回転機械_その他の回転機械・かくはん機,10,7,7,1,5,1,0,0,62,15,13,3,0,11,0,1,0,6,10,3,39,272,176
機械_ベルトコンベアー_挟まれ,9,5,5,1,2,2,0,0,55,17,13,2,0,9,0,0,0,0,9,5,28,230,117
機械_ベルトコンベアー_巻き込まれ,1,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,0,0,1,1,0,36,0
機械_コンクリートミキサー等の機械に挟まれ,1,1,0,0,0,0,0,0,7,3,2,0,0,1,0,0,0,0,1,0,1,30,2
機械_その他の機械_自動販売機等,4,4,4,0,0,1,3,0,15,4,3,1,0,4,0,0,0,0,3,0,10,63,45
機械_その他の機械_その他,42,25,25,3,8,8,6,0,188,60,36,5,0,40,0,0,0,0,41,6,82,792,350
建物・工作物_建物・工作物_居室等閉じ込められ,"9,817","5,825","5,352",507,"1,650",829,1038,1328,"34,179","8,374","6,082",1551,22,"9,545",0,0,0,0,"8,572",33,"13,668","146,241","60,125"
建物・工作物_建物・工作物_ドア等に挟まれ,122,76,77,3,15,32,23,4,447,110,88,20,1,117,0,2,0,0,109,0,183,"1,938",800
建物・工作物_家庭器具・洗濯機・扇風機等に挟まれ,138,98,96,3,6,36,50,1,473,126,67,17,0,137,0,0,0,0,125,1,222,"2,020",980
建物・工作物_その他建物内事故（階段が狭く搬出不能）,"8,073","6,960","7,048","1,760","3,127","1,635",172,354,"17,949","7,155",662,1035,4,"8,029",0,1,1,0,1041,21,"13,110","67,425","48,886"
崩壊_土砂崩れ,6,3,2,2,0,0,0,0,35,11,5,0,0,5,0,0,0,0,6,8,14,140,61
崩壊_建物・工作物の倒壊,5,2,2,1,0,0,0,1,33,11,7,2,0,6,0,0,0,0,5,2,14,135,55
崩壊_工事作業車（クレーン車等）の転倒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
崩壊_荷崩れ,1,0,0,0,0,0,0,0,5,1,1,1,0,1,0,0,0,0,1,0,0,21,0
崩壊_物体の飛来落下,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
墜落_高所からの転落,120,85,83,31,26,14,3,9,542,169,102,26,2,123,0,1,0,0,111,8,324,"2,324","1,398"
墜落_地下への転落,16,12,11,6,2,2,0,1,73,22,15,4,0,16,0,0,0,0,15,1,50,319,224
墜落_飛び降り自損等,165,55,54,23,4,4,9,14,825,295,160,26,1,170,0,2,0,0,162,9,223,"3,548",960
ガス_酸素欠乏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ガス_シンナー中毒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ガス_一酸化炭素中毒,16,14,18,10,2,0,0,6,97,31,12,5,1,22,0,0,0,0,17,9,59,409,262
ガス_自損行為によるガス中毒,27,24,26,8,4,1,1,12,161,53,23,5,0,30,0,0,0,0,27,23,107,673,463
ガス_高圧ガス（塩素、アンモニア）中毒,1,1,1,0,0,1,0,0,6,3,0,0,0,1,0,0,0,0,1,1,5,25,22
ガス_その他,14,14,12,0,8,3,0,1,103,32,12,2,0,18,0,0,0,0,14,25,76,429,326
電気_電気事故,2,1,3,0,3,0,0,0,10,3,1,0,0,4,0,0,0,0,2,0,3,40,13
山岳_沢に転落・滑落,25,21,21,3,7,5,3,3,182,58,2,1,1,34,0,0,4,0,27,55,114,768,448
山岳_傷者,67,58,59,3,13,41,2,0,365,109,0,4,0,98,0,0,2,0,57,95,274,"1,381","1,039"
山岳_その他,52,42,42,4,8,19,8,3,335,92,3,4,0,83,0,0,8,0,49,96,222,"1,254",835
その他_土管・ヒューム管等に挟まれ,8,4,4,0,1,1,2,0,31,7,8,1,0,7,0,0,0,0,8,0,9,139,43
その他_自転車のリム等に挟まれ,74,45,46,1,6,29,10,0,226,61,14,14,0,73,0,0,0,0,64,0,108,935,451
その他_自動車内で病気になった等,173,94,96,5,16,62,10,3,521,187,57,34,3,170,0,0,0,0,62,8,230,"2,073",896
その他_その他の屋外での事故,595,352,405,54,78,146,82,45,"2,203",701,318,87,4,627,4,8,3,6,404,41,921,"9,146","3,849"
