消防団,団数,分団数,定員,現員,現員（女性）,分団施設,消防団用可搬ポンプ,可搬ポンプ等積載車,ホース（本）,防火服
平成27年度,58,439,"16,000","14,116","2,512",990,990,240,"19,800","16,000"
平成28年度,58,439,"16,000","13,838","2,441",990,990,256,"19,800","16,000"
平成29年度,58,439,"16,000","13,642","2,502",990,990,271,"19,800","16,000"
平成30年度,58,439,"16,000","13,415","2,530",990,990,285,"19,800","16,000"
令和元年度,58,439,"16,000","13,563","2,734",990,990,300,"19,800","16,000"
丸の内,1,2,100,100,16,2,2,2,40,100
麹町,1,3,120,108,15,3,3,3,60,120
神田,1,3,150,124,32,7,7,3,140,150
京橋,1,7,150,141,30,7,7,5,140,150
日本橋,1,7,150,150,14,7,7,3,140,150
臨港,1,4,100,78,16,4,4,2,80,100
芝,1,8,220,211,79,16,16,4,320,220
麻布,1,4,120,103,25,8,8,2,160,120
赤坂,1,3,130,109,15,6,6,2,120,130
高輪,1,4,110,98,26,9,9,3,180,110
品川,1,6,270,192,39,12,12,5,240,270
大井,1,4,200,173,42,9,9,4,180,200
荏原,1,7,230,224,49,15,15,5,300,230
大森,1,8,300,256,54,20,20,5,400,300
田園調布,1,9,300,225,53,18,18,7,360,300
蒲田,1,7,300,255,69,15,15,7,300,300
矢口,1,7,270,211,45,16,16,6,320,270
目黒,1,12,500,494,221,36,36,8,720,500
世田谷,1,18,700,574,112,50,50,12,1000,700
玉川,1,11,300,248,37,15,15,5,300,300
成城,1,7,250,250,44,20,20,4,400,250
渋谷,1,11,450,398,100,25,25,5,500,450
四谷,1,3,100,80,18,3,3,3,60,100
牛込,1,4,150,138,29,4,4,4,80,150
新宿,1,12,300,286,69,16,16,8,320,300
中野,1,8,250,183,37,16,16,7,320,250
野方,1,8,250,201,28,21,21,6,420,250
杉並,1,9,400,353,60,37,37,7,740,400
荻窪,1,7,350,250,59,16,16,5,320,350
小石川,1,6,200,181,38,8,8,3,160,200
本郷,1,6,200,182,38,7,7,3,140,200
豊島,1,7,220,220,29,9,9,3,180,220
池袋,1,6,230,213,63,12,12,3,240,230
王子,1,8,200,197,37,16,16,4,320,200
赤羽,1,7,200,185,49,18,18,3,360,200
滝野川,1,8,210,168,19,17,17,6,340,210
板橋,1,8,350,275,56,21,21,7,420,350
志村,1,10,350,333,48,27,27,10,540,350
練馬,1,8,280,255,41,17,17,4,340,280
光が丘,1,5,180,171,27,11,11,5,220,180
石神井,1,10,330,293,33,17,17,8,340,330
上野,1,8,280,232,44,16,16,5,320,280
浅草,1,4,130,100,22,5,5,3,100,130
日本堤,1,4,140,124,26,7,7,4,140,140
荒川,1,8,300,243,66,17,17,7,340,300
尾久,1,6,200,171,49,14,14,4,280,200
千住,1,8,380,269,42,17,17,8,340,380
足立,1,12,520,426,55,45,45,10,900,520
西新井,1,9,360,307,49,31,31,8,620,360
本所,1,8,300,247,41,16,16,5,320,300
向島,1,9,350,247,46,19,19,7,380,350
深川,1,10,290,266,44,20,20,6,400,290
城東,1,8,280,251,40,18,18,7,360,280
本田,1,16,700,485,98,51,51,10,1020,700
金町,1,11,500,388,74,23,23,6,460,500
江戸川,1,10,350,302,34,32,32,4,640,350
葛西,1,8,300,222,42,15,15,3,300,300
小岩,1,8,450,397,51,31,31,2,620,450
