業態,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
計,6541,3908,301,239,277,3091,683,1,1,23,1925,61354,13820654,354824,116,1065
業態別計,2018,1259,88,62,91,1018,185,1,1,3,569,24330,6743470,163505,12,325
農業,19,6,2,－,1,3,1,－,－,1,11,85,9894,381,－,－
農業／農業,19,6,2,－,1,3,1,－,－,1,11,85,9894,381,－,－
林業,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,1
林業／林業,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,1
鉱業,4,4,－,－,－,4,－,－,－,－,－,2,5661,－,－,－
鉱業／金属鉱業,3,3,－,－,－,3,－,－,－,－,－,－,5610,－,－,－
鉱業／非金属鉱業,1,1,－,－,－,1,－,－,－,－,－,2,51,－,－,－
建設業,247,103,14,4,8,77,28,－,－,－,116,1925,352119,18553,1,41
建設業／総合工事業,139,61,7,1,5,48,7,－,－,－,71,977,185742,7024,－,25
建設業／職別工事業(設備工事を除く),72,25,5,1,1,18,12,－,－,－,35,713,138506,7556,1,8
建設業／設備工事業,36,17,2,2,2,11,9,－,－,－,10,235,27871,3973,－,8
製造業,322,282,30,21,30,201,8,1,－,－,31,11352,3121228,15323,4,90
製造業／食料品製造業,22,20,－,－,3,17,－,－,－,－,2,80,24218,280,1,1
製造業／繊維工業(衣服、繊維製品除く),11,11,1,1,－,9,－,－,－,－,－,76,24530,－,－,3
製造業／衣服・その他の繊維製品製造業,7,7,1,1,－,5,－,－,－,－,－,168,19528,500,－,2
製造業／木材・木製品製造業(家具を除く),16,13,－,1,1,11,－,－,－,－,3,381,69841,1532,－,－
製造業／家具・装備品製造業,12,11,4,1,－,6,－,－,－,－,1,1546,200699,112,－,12
製造業／パルプ・紙・紙加工品製造業,11,9,2,－,1,6,－,－,－,－,2,1025,205223,4820,1,3
製造業／出版・印刷・同関連産業,40,35,1,1,5,28,2,－,－,－,3,587,430151,2093,－,7
製造業／化学工業,18,17,1,2,3,11,－,－,－,－,1,841,136313,－,－,11
製造業／プラスチック製品製造業,25,19,3,－,－,16,2,－,－,－,4,1179,223466,333,1,8
製造業／ゴム製品製造業,6,6,1,－,－,5,－,－,－,－,－,348,68370,42,－,2
製造業／なめし革･同製品・毛皮製造業,13,11,1,－,－,10,－,－,－,－,2,156,30442,410,－,3
製造業／窯業・土石製品製造業,7,6,3,－,－,3,－,－,－,－,1,600,135878,2142,－,－
製造業／鉄鋼業,13,12,－,1,2,9,－,－,－,－,1,72,43063,506,－,1
製造業／非鉄金属製造業,5,4,－,2,－,2,－,－,－,－,1,406,214519,8,－,1
製造業／金属製品製造業,33,31,5,2,4,20,1,－,－,－,1,708,191706,1582,1,9
製造業／一般機械器具製造業,28,23,2,4,2,15,1,－,－,－,4,1708,543450,68,－,11
製造業／電気機械器具製造業,21,16,1,1,2,12,2,－,－,－,3,265,169905,863,－,5
製造業／輸送用機械器具製造業,12,10,－,1,3,6,－,1,－,－,1,195,107102,18,－,3
製造業／精密機械器具製造業,7,7,1,1,－,5,－,－,－,－,－,126,85564,－,－,4
製造業／その他の製造業,15,14,3,2,4,5,－,－,－,－,1,885,197260,14,－,4
電気・ガス・熱供給・水道業,44,3,－,－,－,3,－,－,－,－,41,－,4289,589,－,1
電気・ガス・熱供給・水道業／電気業,42,2,－,－,－,2,－,－,－,－,40,－,4200,589,－,1
電気・ガス・熱供給・水道業／ガス業,1,1,－,－,－,1,－,－,－,－,－,－,89,－,－,－
電気・ガス・熱供給・水道業／水道業,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
運輪・通信業,140,37,3,1,2,31,49,－,1,－,53,514,123666,75240,－,6
運輪・通信業／鉄道業,52,20,－,1,－,19,3,－,－,－,29,13,31275,9292,－,3
運輪・通信業／道路旅客運送業,3,1,－,－,－,1,2,－,－,－,－,－,319,47,－,－
運輪・通信業／道路貨物運送業,54,9,3,－,2,4,40,－,－,－,5,501,91975,40487,－,1
運輪・通信業／航空運輸業,1,－,－,－,－,－,－,－,1,－,－,－,－,25000,－,－
運輪・通信業／倉庫業,4,2,－,－,－,2,－,－,－,－,2,－,1,－,－,－
運輪・通信業／運輸に附帯するサービス業,12,3,－,－,－,3,4,－,－,－,5,－,31,162,－,1
運輪・通信業／通信業,14,2,－,－,－,2,－,－,－,－,12,－,65,252,－,1
卸売・小売業・飲食店,635,484,22,29,35,398,39,－,－,－,112,5895,2054027,30442,4,119
卸売・小売業・飲食店／繊維･機械器具･建築材料等卸売,48,27,2,1,2,22,12,－,－,－,9,134,56249,14241,－,1
卸売・小売業・飲食店／衣服・食料・家具等卸売業,35,26,1,1,3,21,5,－,－,－,4,309,640999,2303,－,1
卸売・小売業・飲食店／代理商・仲立業,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－
