消防署,計,圧縮ガス・液化ガス／法第9条の2／圧縮アセチレンガス／製造,圧縮ガス・液化ガス／法第9条の2／圧縮アセチレンガス／販売,圧縮ガス・液化ガス／法第9条の2／圧縮アセチレンガス／貯蔵・消費,圧縮ガス・液化ガス／法第9条の2／液化石油ガス／製造,圧縮ガス・液化ガス／法第9条の2／液化石油ガス／販売,圧縮ガス・液化ガス／法第9条の2／液化石油ガス／貯蔵・消費,圧縮ガス・液化ガス／法第9条の2／混在／製造,圧縮ガス・液化ガス／法第9条の2／混在／販売,圧縮ガス・液化ガス／法第9条の2／混在／貯蔵・消費,圧縮ガス・液化ガス／条例第59条／高圧ガス／製造,圧縮ガス・液化ガス／条例第59条／高圧ガス／販売(貯蔵・取扱い),圧縮ガス・液化ガス／条例第59条／高圧ガス／冷凍設備,圧縮ガス・液化ガス／条例第59条／高圧ガス／貯蔵・消費,圧縮ガス・液化ガス／条例第59条／高圧ガス以外,毒・劇物／法第9条の2／毒物のみ,毒・劇物／法第9条の2／劇物のみ,毒・劇物／法第9条の2／混在,毒・劇物／条例第59条／毒物のみ,毒・劇物／条例第59条／劇物のみ,毒・劇物／条例第59条／混在,核燃料物質,放射性同位元素,火薬類,法定伝染病病原体
計,10581,1,17,186,41,982,5090,4,49,138,12,103,484,608,10,400,263,114,18,865,91,15,856,205,29
特別区,5972,1,16,159,20,553,1802,－,36,65,9,79,441,429,6,350,221,85,14,779,77,14,720,73,23
丸の内,10,－,－,－,－,－,－,－,－,－,－,－,2,4,－,－,－,－,－,－,－,－,2,2,－
麹町,47,－,－,－,－,－,－,－,－,－,－,－,33,3,－,－,－,－,－,－,－,－,11,－,－
神田,46,－,－,－,－,－,－,－,－,－,－,6,15,1,－,5,1,－,－,－,－,－,15,3,－
京橋,41,－,－,－,－,－,－,－,－,－,－,2,14,－,－,－,8,－,－,－,－,－,15,2,－
日本橋,23,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,5,1,－,7,－,－,4,3,－
臨港,63,－,－,2,－,1,18,－,－,1,－,1,22,5,4,1,－,1,－,4,－,－,3,－,－
芝,68,－,－,3,－,1,3,－,－,－,－,－,6,34,－,2,2,1,－,1,－,－,14,1,－
麻布,16,－,－,－,－,－,2,－,－,－,3,2,2,－,－,－,－,－,－,－,－,1,6,－,－
赤坂,6,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,4,－,－
高輪,70,－,－,－,－,－,10,－,－,－,－,－,6,7,－,1,4,－,－,7,－,－,33,2,－
品川,186,－,2,9,－,3,14,－,3,2,－,5,22,8,1,18,10,1,－,38,－,－,26,3,21
大井,81,－,－,8,－,1,19,－,－,－,－,－,15,19,－,8,2,－,－,6,－,－,3,－,1
荏原,69,－,－,1,－,4,4,－,4,1,－,－,－,25,－,17,3,1,－,－,－,－,6,2,－
