事故種別,内容,救急搬送人員（人）,,,,
ころぶ,スケートボード,45,,,,
ころぶ,階段,44,,,,
ころぶ,自転車,12,,,,
ころぶ,段差,10,,,,
ころぶ,壁・天井,7,,,,
ぶつかる,人,155,,,,
ぶつかる,ボール,126,,,,
ぶつかる,手動ドア,20,,,,
ぶつかる,壁・天井,16,,,,
ぶつかる,その他の家具,12,,,,
落ちる,階段,73,,,,
落ちる,ベランダ,7,,,,
落ちる,窓・サッシ,5,,,,
落ちる,フェンス・柵・塀,4,,,,
落ちる,エスカレーター,3,,,,
落ちる,脚立・踏み台,3,,,,
切る・刺さる,ナイフ,36,,,,
切る・刺さる,食器類,12,,,,
切る・刺さる,手動ドア,11,,,,
切る・刺さる,窓・サッシ,5,,,,
切る・刺さる,針,3,,,,
切る・刺さる,はさみ,3,,,,
切る・刺さる,ガラス瓶,3,,,,
はさむ・はさまれる,自転車,4,,,,
はさむ・はさまれる,手動ドア,3,,,,
はさむ・はさまれる,人,3,,,,
はさむ・はさまれる,パワーショベル,2,,,,
はさむ・はさまれる,トレーニングマシーン,2,,,,
かまれる・刺される,動物等,11,,,,
かまれる・刺される,虫,9,,,,
やけど,熱湯,3,,,,
やけど,鍋,2,,,,
やけど,お茶・コーヒー類,2,,,,
やけど,カップ麺,2,,,,
やけど,味噌汁・スープ,2,,,,
ものがつまる等,野菜・果物,3,,,,
ものがつまる等,食物,3,,,,
ものがつまる等,その他の玩具,2,,,,
ものがつまる等,アメ玉,1,,,,
ものがつまる等,タバコ,1,,,,
ものがつまる等,硬貨等,1,,,,
おぼれる,河川,1,,,,
