月別,計・回数,計・人員,火災・回数,火災・人員,水災・回数,水災・人員,その他の災害・回数,その他の災害・人員,予防警戒・回数,予防警戒・人員,教育訓練・回数,教育訓練・人員,機械整備・回数,機械整備・人員
平成27年度,"47,622","386,276","1,210","6,577",1,5,604,"2,204","14,584","100,177","23,140","252,173","8,083","25,140"
平成28年度,"49,701","388,235","1,067","5,674",3,19,643,"2,391","16,218","105,265","23,601","252,286","8,169","22,600"
平成29年度,"51,278","384,782","1,072","5,205",8,24,566,1656,"16,509","106,617","24,693","248,347","8,430","22,933"
平成30年度,"54,553","387,897","1,210","5,281",64,281,530,"1,641","19,012","119,277","25,504","238,849","8,233","22,568"
令和元年度,"52,662","367,990","1,125","4,936",125,647,673,"2,071","17,348","108,634","25,421","231,654","7,970","20,048"
4月,"5,340","44,657",120,536,0,0,44,109,676,2937,3831,"39,373",669,"1,702"
5月,"7,067","69,370",111,472,0,0,65,247,743,3010,5490,"63,992",658,"1,649"
6月,"4,741","38,882",71,268,0,0,41,117,951,4175,3019,"32,623",659,"1,699"
7月,"3,588","19,109",66,254,0,0,53,141,1305,7841,1509,"9,222",655,"1,651"
8月,"3,527","19,342",100,446,0,0,53,129,1367,8599,"1,339","8,454",668,"1,714"
9月,"4,581","27,465",72,291,51,236,72,211,1760,"11,066","1,968","13,993",658,"1,668"
10月,"4,038","27,783",83,412,74,411,67,237,1649,"12,562","1,484","12,485",681,"1,676"
11月,"4,952","26,198",92,400,0,0,63,187,"2,482","14,138","1,628","9,779",687,"1,694"
12月,"5,114","34,798",101,479,0,0,61,196,"3,271","26,212",1025,"6,271",656,"1,640"
1月,"2,951","20,097",131,579,0,0,55,195,897,"4,597",1229,"13,094",639,"1,632"
2月,"3,468","17,975",105,447,0,0,44,122,1023,"5,103",1627,"10,648",669,"1,655"
3月,"3,295","22,314",73,352,0,0,55,180,"1,224","8,394","1,272","11,720",671,"1,668"
