時間帯,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災,救急出場件数・運動競技,救急出場件数・自然災害,救急出場件数・水難事故,救急出場件数・労働災害,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害事故,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・計,救護人員・交通事故,救護人員・火災,救護人員・運動競技,救護人員・自然災害,救護人員・水難事故,救護人員・労働災害,救護人員・一般負傷,救護人員・自損行為,救護人員・加害事故,救護人員・急病,救護人員・転院搬送
平成27年,"759,802","52,674","3,494","5,392",13,951,"4,789","130,843","5,236","7,205","495,730","43,632",534,217,"9,092","674,119","50,291",752,"5,343",11,520,"4,752","118,216","3,763","5,765","441,512","43,194"
平成28年,"777,382","51,019","3,425","5,423",17,950,"4,789","134,257","5,091","7,136","511,673","43,692",504,229,"9,177","692,368","48,565",792,"5,394",10,525,"4,731","121,504","3,732","5,711","458,150","43,254"
平成29年,"785,184","50,604","3,274","5,330",18,876,"4,965","138,645","5,023","6,924","515,466","44,647",542,190,"8,680","699,878","48,196",680,"5,323",12,494,"4,908","125,729","3,632","5,488","461,179","44,237"
平成30年,"818,062","47,957","3,240","5,429",22,901,"5,328","146,765","5,049","6,594","543,660","43,314",546,210,"9,047","727,401","45,492",687,"5,412",20,489,"5,256","133,619","3,634","5,287","484,629","42,876"
令和元年,"825,929","45,696","3,539","5,281",21,880,"5,404","147,601","5,317","6,112","550,306","45,179",556,211,"9,826","732,842","42,978",611,"5,260",14,458,"5,349","133,954","3,858","4,826","490,825","44,709"
0時,"26,659",890,111,12,0,27,58,"4,414",252,476,"19,411",587,1,2,418,"22,352",772,27,11,0,20,58,"3,805",198,359,"16,529",573
1時,"21,690",701,107,12,0,20,55,"3,211",194,407,"16,141",485,3,2,352,"18,061",626,19,8,0,17,55,"2,710",157,309,"13,681",479
2時,"18,602",558,125,3,0,10,56,"2,491",145,364,"14,117",381,1,6,345,"15,470",504,23,2,0,7,54,"2,109",114,285,"11,998",374
3時,"16,652",444,97,9,0,9,61,"2,120",149,308,"12,831",364,1,3,256,"14,069",407,30,9,0,7,58,"1,769",125,238,"11,072",354
4時,"16,207",460,107,1,1,10,52,"2,040",139,260,"12,614",268,2,,253,"13,831",419,22,1,0,2,54,"1,730",110,208,"11,019",266
5時,"18,178",737,102,4,3,13,54,"2,451",161,240,"13,916",228,2,4,263,"15,653",674,21,4,2,5,52,"2,165",117,192,"12,199",222
6時,"22,264",1187,105,17,1,29,79,"3,191",185,185,"16,713",279,0,1,292,"19,599",1137,25,17,1,10,79,"2,864",132,144,"14,917",273
7時,"29,105","2,066",95,51,3,33,131,"4,464",191,174,"21,297",296,8,2,294,"26,009","1,931",19,51,3,10,130,"4,121",132,138,"19,183",291
8時,"37,797","3,078",138,70,2,35,263,"6,207",179,195,"26,581",655,7,5,382,"34,613","2,970",19,70,3,11,255,"5,831",127,166,"24,521",640
9時,"45,559","2,641",158,214,2,36,497,"7,804",190,162,"30,535","2,805",70,17,428,"42,034","2,549",24,212,2,11,494,"7,386",126,139,"28,314","2,777"
10時,"47,213","2,611",155,456,0,50,511,"8,399",211,159,"29,778","4,320",77,21,465,"43,314","2,486",21,452,0,12,511,"7,896",136,129,"27,386","4,285"
11時,"45,196","2,672",139,529,0,43,525,"8,316",243,141,"27,573","4,477",42,21,475,"41,057","2,523",15,533,0,18,518,"7,758",152,111,"24,989","4,440"
12時,"43,902","2,500",186,482,1,29,322,"8,163",214,141,"26,580","4,743",38,22,481,"39,768","2,360",35,485,0,3,317,"7,567",144,111,"24,048","4,698"
13時,"43,671","2,436",175,440,0,50,410,"8,151",236,171,"27,154","3,953",53,15,427,"39,548","2,319",33,440,0,19,404,"7,596",150,141,"24,524","3,922"
14時,"42,595","2,458",200,512,0,39,462,"8,246",249,139,"26,659","3,120",46,17,448,"38,382","2,352",33,509,0,14,461,"7,669",174,114,"23,966","3,090"
15時,"41,725","2,680",179,446,2,37,358,"8,432",244,164,"25,161","3,492",55,21,454,"37,431","2,493",30,443,1,22,353,"7,767",174,121,"22,566","3,461"
16時,"42,163","2,965",181,399,1,40,392,"8,323",268,172,"25,080","3,820",43,11,468,"37,839","2,805",26,401,0,15,390,"7,616",189,142,"22,470","3,785"
17時,"42,606","3,316",155,351,0,44,273,"8,304",275,223,"25,835","3,277",42,10,501,"38,049","3,144",12,352,0,25,268,"7,544",192,186,"23,079","3,247"
18時,"42,548","3,102",196,300,0,57,193,"8,206",299,239,"27,042","2,382",25,5,502,"37,721","2,931",27,297,0,35,194,"7,444",218,198,"24,018","2,359"
19時,"41,003","2,473",211,316,0,61,161,"7,977",273,294,"27,175","1,567",12,4,479,"36,284","2,310",33,317,0,44,160,"7,186",202,241,"24,239","1,552"
20時,"39,178","1,831",179,368,1,57,147,"7,663",278,325,"26,674","1,126",12,9,508,"34,348","1,693",31,366,0,45,144,"6,821",209,256,"23,678",1105
21時,"36,891","1,505",161,174,4,62,123,"7,203",241,325,"25,657",998,7,3,428,"32,101","1,382",30,168,2,44,122,"6,374",197,261,"22,536",985
22時,"33,980","1,282",149,77,0,47,116,"6,437",260,390,"23,886",871,7,7,451,"29,306",1177,30,75,0,31,113,"5,586",197,310,"20,932",855
23時,"30,545",1103,128,38,0,42,105,"5,388",241,458,"21,896",685,2,3,456,"26,003",1014,26,37,0,31,105,"4,640",186,327,"18,961",676
