消防署,出場件数／計,出場件数／危険排除／小計,出場件数／危険排除／電気,出場件数／危険排除／ガス,出場件数／危険排除／危険物,出場件数／危険排除／毒物劇物,出場件数／危険排除／ＲＩ,出場件数／危険排除／火気取扱,出場件数／応急措置／小計,出場件数／応急措置／洗浄,出場件数／応急措置／救援,出場件数／応急措置／排水,出場件数／応急措置／照明,出場件数／応急措置／除去,出場件数／警戒,出場件数／その他,出場車両／計,出場車両／ポンプ車,出場車両／化学車,出場車両／救助車,出場車両／はしご車,出場車両／空中作業車,出場車両／救急車,出場車両／救援車,出場車両／照明車,出場車両／消防艇,出場車両／ヘリコプター,出場車両／救助先行車,出場車両／広報車,出場車両／その他,出場人員／計,出場人員／従事／当番,出場人員／従事／非番,出場人員／不従事／当番,出場人員／不従事／非番
計,2940,2378,48,578,1282,6,－,464,66,1,2,23,1,39,28,468,5912,2729,646,76,62,2,174,8,1,4,5,2079,30,96,30235,16911,－,13324,－
特別区,2180,1783,35,460,992,5,－,291,62,1,2,22,－,37,27,308,4373,1951,460,67,53,2,127,8,－,4,5,1582,21,93,22843,12701,－,10142,－
丸の内,8,8,－,2,6,－,－,－,－,－,－,－,－,－,－,－,15,7,－,－,－,－,－,－,－,－,－,7,－,1,80,70,－,10,－
麹町,20,18,1,2,13,－,－,2,1,－,－,1,－,－,－,1,46,22,－,1,1,－,1,－,－,－,2,18,1,－,257,179,－,78,－
神田,26,20,1,5,13,－,－,1,－,－,－,－,－,－,－,6,55,27,－,－,1,－,2,－,－,－,－,23,－,2,296,135,－,161,－
京橋,33,28,－,2,22,－,－,4,1,－,－,－,－,1,1,3,67,23,12,－,1,－,－,－,－,－,－,31,－,－,392,285,－,107,－
日本橋,23,17,－,5,11,－,－,1,1,－,－,－,－,1,－,5,42,27,－,－,－,－,1,－,－,－,－,14,－,－,229,164,－,65,－
臨港,22,18,－,－,15,－,－,3,－,－,－,－,－,－,－,4,52,9,19,－,－,－,－,－,－,2,－,22,－,－,265,211,－,54,－
芝,31,23,1,7,13,－,－,2,3,－,－,1,－,2,－,5,83,46,2,3,7,－,2,－,－,－,－,15,－,8,407,262,－,145,－
麻布,17,14,1,4,9,－,－,－,－,－,－,－,－,－,－,3,51,27,－,1,3,－,3,－,－,－,－,17,－,－,251,110,－,141,－
赤坂,30,27,－,9,14,－,－,4,2,－,－,－,－,2,－,1,64,31,－,1,－,－,2,－,－,－,－,30,－,－,330,194,－,136,－
高輪,24,20,－,5,11,－,－,4,－,－,－,－,－,－,－,4,51,22,2,－,－,－,3,－,－,－,－,24,－,－,279,124,－,155,－
品川,51,41,1,17,18,－,－,5,－,－,－,－,－,－,－,10,104,39,16,3,－,－,1,－,－,－,－,45,－,－,555,310,－,245,－
大井,20,16,1,4,11,－,－,－,1,－,－,1,－,－,－,3,46,14,15,－,－,－,－,－,－,－,－,17,－,－,245,198,－,47,－
荏原,34,24,－,4,16,－,－,4,2,－,1,－,－,1,－,8,79,35,－,2,－,－,4,1,－,－,－,35,1,1,419,340,－,79,－
大森,55,49,1,15,32,－,－,1,－,－,－,－,－,－,－,6,117,42,15,－,－,－,2,－,－,2,－,54,2,－,624,356,－,268,－
東調布,33,21,－,7,9,－,－,5,3,－,－,3,－,－,1,8,67,26,12,－,－,－,1,－,－,－,－,28,－,－,333,203,－,130,－
蒲田,44,31,1,10,16,－,－,4,－,－,－,－,－,－,10,3,99,51,10,1,1,－,4,－,－,－,－,31,1,－,534,229,－,305,－
矢口,26,19,－,9,9,－,－,1,2,－,－,2,－,－,－,5,54,23,4,－,－,－,1,－,－,－,－,25,1,－,296,210,－,86,－
目黒,67,45,1,18,20,－,－,6,－,－,－,－,－,－,5,17,117,55,14,3,－,－,4,－,－,－,－,40,1,－,601,158,－,443,－
世田谷,85,60,1,16,26,－,－,17,5,－,－,4,－,1,2,18,147,83,14,4,4,－,4,－,－,－,－,37,1,－,792,297,－,495,－
玉川,67,51,1,20,25,－,－,5,1,－,－,1,－,－,－,15,126,74,－,4,－,－,3,－,－,－,－,45,－,－,627,286,－,341,－
成城,53,49,－,11,25,－,－,13,1,－,－,1,－,－,－,3,100,56,－,－,－,1,1,－,－,－,－,41,1,－,536,351,－,185,－
渋谷,85,69,3,24,32,－,－,10,3,－,－,1,－,2,－,13,179,93,2,3,6,－,3,－,－,－,－,72,－,－,968,459,－,509,－
四谷,18,16,－,9,5,－,－,2,1,－,－,－,－,1,－,1,38,19,－,－,1,－,－,－,－,－,－,18,－,－,193,102,－,91,－
牛込,21,18,－,7,10,1,－,－,1,－,－,－,－,1,－,2,51,24,－,1,－,－,4,－,－,－,－,19,－,3,252,173,－,79,－
新宿,61,49,1,5,30,－,－,13,2,－,－,－,－,2,－,10,118,50,11,3,2,－,1,－,－,－,－,50,1,－,672,325,－,347,－
中野,33,28,－,5,18,－,－,5,1,－,－,－,－,1,－,4,70,29,7,－,－,－,1,－,－,－,－,32,1,－,375,173,－,202,－
野方,34,33,－,17,15,－,－,1,1,－,－,1,－,－,－,－,72,24,9,3,－,－,5,－,－,－,－,31,－,－,368,180,－,188,－
杉並,75,67,－,12,29,－,－,26,－,－,－,－,－,－,1,7,138,77,1,2,－,－,4,－,－,－,－,54,－,－,707,357,－,350,－
荻窪,64,59,1,20,27,－,－,11,3,－,－,－,－,3,－,2,117,38,28,2,－,－,6,－,－,－,－,－,－,43,596,290,－,306,－
小石川,28,23,－,7,16,－,－,－,1,－,－,1,－,－,－,4,64,32,－,1,－,－,2,－,－,－,－,28,－,1,328,214,－,114,－
本郷,30,26,2,5,17,－,－,2,－,－,－,－,－,－,－,4,62,30,1,－,1,－,1,－,－,－,－,29,－,－,322,243,－,79,－
豊島,39,36,2,10,21,－,－,3,2,－,－,－,－,2,－,1,81,39,－,3,－,－,3,－,－,－,－,35,－,1,413,216,－,197,－
池袋,32,20,－,7,12,－,－,1,2,－,－,－,－,2,1,9,78,40,－,1,6,－,1,－,－,－,－,29,1,－,417,229,－,188,－
王子,14,12,－,2,8,－,－,2,－,－,－,－,－,－,－,2,34,7,9,1,－,－,1,－,－,－,－,14,1,1,181,126,－,55,－
赤羽,36,34,－,7,16,－,－,11,－,－,－,－,－,－,－,2,74,33,5,2,－,－,2,－,－,－,－,32,－,－,394,160,－,234,－
滝野川,21,17,1,6,7,－,－,3,－,－,－,－,－,－,1,3,43,23,－,－,－,－,1,－,－,－,－,19,－,－,232,110,－,122,－
板橋,52,46,1,7,31,－,－,7,2,－,－,2,－,－,－,4,111,45,11,2,1,－,3,2,－,－,3,39,1,4,548,339,－,209,－
志村,71,59,1,16,28,2,－,12,3,－,－,－,－,3,－,9,130,39,41,4,3,－,9,1,－,－,－,15,－,18,653,349,－,304,－
練馬,65,48,1,9,23,－,－,15,3,－,－,1,－,2,2,12,113,44,27,1,1,－,2,－,－,－,－,38,－,－,572,273,－,299,－
光が丘,6,6,－,1,4,－,－,1,－,－,－,－,－,－,－,－,24,14,－,1,2,－,1,－,－,－,－,6,－,－,118,42,－,76,－
石神井,56,46,－,12,24,－,－,10,4,－,－,－,－,4,－,6,96,57,－,－,－,1,3,－,－,－,－,34,1,－,488,323,－,165,－
上野,31,24,－,5,16,－,－,3,1,－,－,1,－,－,－,6,58,31,－,2,－,－,1,－,－,－,－,22,－,2,329,179,－,150,－
浅草,8,8,－,1,7,－,－,－,－,－,－,－,－,－,－,－,16,8,－,1,－,－,－,1,－,－,－,4,－,2,82,62,－,20,－
日本堤,18,15,－,5,5,1,－,4,1,－,－,－,－,1,－,2,37,18,－,－,1,－,－,－,－,－,－,18,－,－,205,88,－,117,－
荒川,18,17,－,5,11,－,－,1,－,－,－,－,－,－,1,－,41,10,8,－,－,－,5,－,－,－,－,15,1,2,221,167,－,54,－
尾久,13,9,－,2,5,－,－,2,1,－,－,－,－,1,－,3,24,7,7,－,－,－,－,－,－,－,－,10,－,－,122,61,－,61,－
千住,30,26,1,4,17,－,－,4,－,－,－,－,－,－,－,4,59,7,23,1,1,－,2,－,－,－,－,25,－,－,306,211,－,95,－
足立,57,43,1,13,18,－,－,11,－,－,－,－,－,－,－,14,114,66,9,2,3,－,5,－,－,－,－,29,－,－,608,220,－,388,－
西新井,35,28,－,3,15,－,－,10,－,－,－,－,－,－,1,6,68,40,－,－,－,－,2,－,－,－,－,26,－,－,346,173,－,173,－
本所,24,21,2,5,12,－,－,2,1,－,－,－,－,1,－,2,47,24,－,1,－,－,－,－,－,－,－,22,－,－,259,208,－,51,－
向島,24,22,－,10,10,－,－,2,2,－,－,－,－,2,－,－,49,12,13,－,1,－,2,－,－,－,－,17,1,3,253,177,－,76,－
深川,35,24,－,3,19,－,－,2,－,－,－,－,－,－,－,11,79,29,17,－,3,－,1,－,－,－,－,27,1,1,395,233,－,162,－
城東,59,45,1,9,27,1,－,7,－,－,－,－,－,－,1,13,114,37,25,3,－,－,2,1,－,－,－,45,1,－,587,362,－,225,－
本田,45,41,4,5,27,－,－,5,－,－,－,－,－,－,－,4,78,30,17,2,－,－,3,－,－,－,－,26,－,－,391,267,－,124,－
金町,50,46,－,7,32,－,－,7,2,1,－,－,－,1,－,2,108,25,26,1,－,－,6,－,－,－,－,50,－,－,567,354,－,213,－
江戸川,85,69,1,16,44,－,－,8,1,－,1,－,－,－,－,15,151,75,27,1,3,－,5,1,－,－,－,37,2,－,768,411,－,357,－
小岩,38,34,1,7,20,－,－,6,1,－,－,1,－,－,－,3,55,36,1,－,－,－,1,1,－,－,－,16,－,－,259,173,－,86,－
受託地区,760,595,13,118,290,1,－,173,4,－,－,1,1,2,1,160,1539,778,186,9,9,－,47,－,1,－,－,497,9,3,7392,4210,－,3182,－
立川,62,53,1,11,27,－,－,14,2,－,－,1,1,－,－,7,117,76,1,1,－,－,5,－,1,－,－,32,－,1,559,360,－,199,－
国分寺,46,36,－,5,11,－,－,20,－,－,－,－,－,－,－,10,77,44,11,－,－,－,1,－,－,－,－,20,1,－,354,184,－,170,－
小平,29,22,2,1,12,1,－,6,－,－,－,－,－,－,－,7,70,35,－,－,－,－,4,－,－,－,－,30,1,－,343,216,－,127,－
武蔵野,24,14,1,6,7,－,－,－,－,－,－,－,－,－,－,10,49,22,9,1,－,－,1,－,－,－,－,13,3,－,223,76,－,147,－
保谷,31,23,－,6,11,－,－,6,－,－,－,－,－,－,－,8,79,52,1,2,2,－,5,－,－,－,－,17,－,－,368,125,－,243,－
三鷹,33,23,－,10,7,－,－,6,－,－,－,－,－,－,－,10,84,48,4,－,1,－,2,－,－,－,－,29,－,－,399,237,－,162,－
調布,47,34,－,14,13,－,－,7,－,－,－,－,－,－,－,13,93,39,19,－,－,－,1,－,－,－,－,34,－,－,471,219,－,252,－
府中,43,38,1,3,21,－,－,13,－,－,－,－,－,－,－,5,92,49,13,－,1,－,3,－,－,－,－,26,－,－,427,300,－,127,－
日野,37,26,3,2,11,－,－,10,－,－,－,－,－,－,－,11,74,30,11,－,－,－,1,－,－,－,－,32,－,－,375,223,－,152,－
町田,87,70,1,15,31,－,－,23,1,－,－,－,－,1,－,16,166,88,20,2,2,－,6,－,－,－,－,48,－,－,785,466,－,319,－
