応援を受けた消防本部／応援救急隊,出場件数／合計,出場件数／搬送,出場件数／不搬送／計,出場件数／不搬送／現場処置,出場件数／不搬送／不救護,救護人員／計,救護人員／搬送,救護人員／現場処置,程度別搬送人員／死亡,程度別搬送人員／重篤,程度別搬送人員／重症,程度別搬送人員／中等症,程度別搬送人員／軽症
計,198,143,55,－,55,181,181,－,3,3,2,50,123
川口市／王子,3,3,－,－,－,3,3,－,－,－,1,1,1
川口市／赤羽,2,2,－,－,－,3,3,－,－,－,－,－,3
所沢市／石神井公園,1,1,－,－,－,2,2,－,－,－,－,1,1
所沢市／本町,1,－,1,－,1,－,－,－,－,－,－,－,－
所沢市／北多摩西部,2,－,2,－,2,－,－,－,－,－,－,－,－
所沢市／三ツ木,2,－,2,－,2,－,－,－,－,－,－,－,－
草加市／足立,1,－,1,－,1,－,－,－,－,－,－,－,－
戸田市／十条,1,1,－,－,－,1,1,－,－,－,1,－,－
戸田市／板橋,1,1,－,－,－,1,1,－,－,－,－,－,1
戸田市／常盤台,3,2,1,－,1,3,3,－,－,－,－,－,3
戸田市／高島平,2,1,1,－,1,1,1,－,－,－,－,－,1
和光市／板橋,1,1,－,－,－,2,2,－,－,－,－,2,－
和光市／常盤台,1,1,－,－,－,1,1,－,－,－,－,1,－
和光市／赤塚,2,1,1,－,1,2,2,－,－,－,－,－,2
和光市／高島平,1,1,－,－,－,1,1,－,－,－,－,－,1
和光市／光が丘,2,2,－,－,－,2,2,－,－,－,－,1,1
新座市／石神井公園,8,7,1,－,1,10,10,－,－,－,－,4,6
新座市／清瀬市,1,1,－,－,－,1,1,－,－,－,－,－,1
三郷市／神明,1,1,－,－,－,2,2,－,－,－,－,－,2
入間市／三ツ木,1,－,1,－,1,－,－,－,－,－,－,－,－
市川市／小岩,5,4,1,－,1,5,5,－,－,－,－,4,1
市川市／篠崎,5,3,2,－,2,4,4,－,－,－,－,1,3
松戸市／金町,8,2,6,－,6,2,2,－,1,－,－,1,－
松戸市／水元,1,－,1,－,1,－,－,－,－,－,－,－,－
浦安市／大島,1,－,1,－,1,－,－,－,－,－,－,－,－
浦安市／船堀,4,4,－,－,－,5,5,－,－,－,－,2,3
浦安市／南葛西,13,13,－,－,－,14,14,－,2,－,－,2,10
東久留米市／花小金井,1,－,1,－,1,－,－,－,－,－,－,－,－
東久留米市／西原,2,1,1,－,1,1,1,－,－,－,－,－,1
東久留米市／本町,2,2,－,－,－,3,3,－,－,－,－,－,3
稲城市／調布,1,－,1,－,1,－,－,－,－,－,－,－,－
稲城市／多摩第2,3,2,1,－,1,2,2,－,－,－,－,1,1
稲城市／多摩第1,3,2,1,－,1,2,2,－,－,－,－,－,2
横浜市／町田,4,2,2,－,2,7,7,－,－,－,－,－,7
横浜市／南,9,4,5,－,5,5,5,－,－,－,－,2,3
横浜市／鶴川,7,4,3,－,3,5,5,－,－,－,－,2,3
川崎市／馬込,1,－,1,－,1,－,－,－,－,－,－,－,－
川崎市／東調布,1,1,－,－,－,1,1,－,－,－,－,－,1
川崎市／浦田,1,1,－,－,－,－,－,－,－,－,－,－,－
川崎市／羽田,4,2,2,－,2,2,2,－,－,－,－,2,－
川崎市／矢口,2,2,－,－,－,3,3,－,－,1,－,1,1
川崎市／大岡山,1,1,－,－,－,1,1,－,－,－,－,－,1
川崎市／世田谷第2,1,1,－,－,－,1,1,－,－,－,－,－,1
川崎市／宮の坂,2,2,－,－,－,1,1,－,－,1,－,－,－
川崎市／玉川,15,12,3,－,3,24,24,－,－,－,－,5,19
川崎市／用賀,16,15,1,－,1,18,18,－,－,1,－,7,10
川崎市／鶴川,3,1,2,－,2,1,1,－,－,－,－,－,1
相模原市／町田,3,2,1,－,1,4,4,－,－,－,－,1,3
相模原市／南,2,1,1,－,1,1,1,－,－,－,－,－,1
相模原市／鶴川,1,1,－,－,－,2,2,－,－,－,－,－,2
相模原市／西町田,1,1,－,－,－,2,2,－,－,－,－,－,2
綾瀬市／日本橋,1,1,－,－,－,－,－,－,－,－,－,－,－
綾瀬市／高輪,2,2,－,－,－,－,－,－,－,－,－,－,－
綾瀬市／航空隊,1,1,－,－,－,－,－,－,－,－,－,－,－
綾瀬市／恵比寿,8,8,－,－,－,1,1,－,－,－,－,1,－
綾瀬市／代々木,1,1,－,－,－,－,－,－,－,－,－,－,－
綾瀬市／杉並,1,1,－,－,－,－,－,－,－,－,－,－,－
綾瀬市／志村,1,1,－,－,－,－,－,－,－,－,－,－,－
綾瀬市／高島平,1,1,－,－,－,－,－,－,－,－,－,－,－
綾瀬市／太平,2,2,－,－,－,－,－,－,－,－,－,－,－
綾瀬市／大島,1,1,－,－,－,－,－,－,－,－,－,－,－
相模湖町／八王子,9,8,1,－,1,21,21,－,－,－,－,5,16
相模湖町／元八王子,1,－,1,－,1,－,－,－,－,－,－,－,－
相模湖町／小宮,5,3,2,－,2,7,7,－,－,－,－,3,4
相模湖町／北野,1,1,－,－,－,1,1,－,－,－,－,－,1
相模湖町／由木,1,－,1,－,1,－,－,－,－,－,－,－,－
相模湖町／浅川,1,－,1,－,1,－,－,－,－,－,－,－,－
大和市／南,1,－,1,－,1,－,－,－,－,－,－,－,－
