年,救急搬送人員（人）,,,,,
28,9990 ,,,,,
29,9642 ,,,,,
30,9490 ,,,,,
元,9275 ,,,,,
2,8781 ,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
