消防署,計,火遊び／禁止,火遊び／制限,火遊び／消火準備,喫煙／禁止,喫煙／制限,喫煙／消火準備,たき火／禁止,たき火／制限,たき火／消火準備,溶接／禁止,溶接／制限,溶接／消火準備,その他これらに類する行為／禁止,その他これらに類する行為／制限,その他これらに類する行為／消火準備,残火・取灰又は火粉の始末,危険物等の除去処理,放置物件等の整理除去
計,213,2,15,12,3,－,－,10,18,25,－,4,3,－,3,7,27,45,39
特別区,150,1,－,1,3,－,－,4,12,18,－,4,3,－,2,7,18,43,34
丸の内,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麹町,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
神田,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1
京橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臨港,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
芝,6,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,1,4,－
麻布,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤坂,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
高輪,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
品川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
大井,9,－,－,－,－,－,－,－,2,2,－,－,－,－,－,－,－,2,3
荏原,5,－,－,－,1,－,－,－,－,－,－,－,－,－,2,2,－,－,－
大森,9,－,－,1,－,－,－,2,－,1,－,－,－,－,－,－,1,4,－
東調布,9,－,－,－,－,－,－,－,2,1,－,－,－,－,－,－,1,5,－
蒲田,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,4,4
矢口,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
目黒,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
世田谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
玉川,4,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,3,－,－
成城,5,－,－,－,－,－,－,－,－,2,－,－,－,－,－,3,－,－,－
渋谷,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－
四谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
牛込,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
新宿,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
中野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
野方,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
杉並,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
荻窪,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小石川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
