区分,計／件数,計／時間,ちどり／件数,ちどり／時間,ひばり／件数,ひばり／時間,かもめ／件数,かもめ／時間,ゆりかもめ／件数,ゆりかもめ／時間,つばめ／件数,つばめ／時間,みずたま／件数,みずたま／時間
計,1039,1548:15:00,266,354:00:00,209,297:50:00,179,267:00:00,191,300:50:00,149,238:20:00,45,90:15:00
火災,134,59:21:00,57,24:16:00,34,16:36,28,12:35,－,－,14,5:19,1,0:35
救急,157,239:35:00,31,49:50:00,21,39:05:00,27,37:40:00,56,77:30:00,22,35:30:00,－,－
救難,17,24:31:00,9,9:49,5,6:07,1,1:10,－,－,2,7:25,－,－
非常時災害,1,2:45,－,－,－,－,－,1:15,－,－,1,1:30,－,－
演習,50,103:35:00,16,26:57:00,6,14:45,13,29:48:00,7,17:35,8,13:40,－,0:50
調査,66,76:05:00,14,20:25,15,20:40,4,4:20,25,23:50,8,6:50,－,－
警戒,140,182:22:00,56,71:08:00,34,46:19:00,30,40:29:00,－,－,20,24:26:00,－,－
広報,14,13:30,4,2:20,3,2:35,2,3:25,1,0:35,3,3:50,1,0:45
航空写真,25,32:48:00,6,8:05,9,11:50,6,5:53,－,1:10,4,3:45,－,2:05
輸送,15,49:50:00,2,5:05,3,5:15,2,7:35,3,10:25,3,13:00,2,8:30
検査,14,26:15:00,4,6:55,1,0:45,2,3:15,2,3:30,2,5:55,3,5:55
試験,64,60:15:00,12,9:40,19,18:20,10,11:30,13,15:15,8,4:30,2,1:00
実験,6,12:05,－,－,3,4:50,－,1:15,3,4:10,－,1:50,－,－
特救訓練,25,48:45:00,7,16:40,7,13:40,6,12:10,1,1:15,4,5:00,－,－
自隊訓練,108,195:05:00,16,30:20:00,25,49:55:00,16,29:25:00,23,35:30:00,28,49:55:00,－,－
養成教育,117,214:43:00,18,27:20:00,15,26:08:00,22,39:20:00,14,23:55,13,29:25:00,35,68:35:00
行事教養,17,78:10:00,－,18:25,4,13:15,4,12:50,2,12:00,6,19:40,1,2:00
行政,69,128:35:00,14,26:45:00,5,7:45,6,13:05,41,74:10:00,3,6:50,－,－
