救急隊,救急出場件数／計,救急出場件数／搬送,救急出場件数／不搬送／小計,救急出場件数／不搬送／現場処置,救急出場件数／不搬送／不救護,救護人員／計,救護人員／搬送,救護人員／現場処置
計,378205,341341,36864,1111,35753,356857,355654,1203
航空隊,151,20,131,－,131,20,20,－
特別区,290077,260744,29333,882,28451,271672,270722,950
丸の内,2248,2030,218,10,208,2124,2114,10
有楽町,1775,1621,154,2,152,1701,1699,2
永田町,1541,1391,150,4,146,1483,1478,5
九段,1884,1724,160,1,159,1808,1807,1
神田,2733,2436,297,7,290,2529,2522,7
京橋,2207,2020,187,3,184,2105,2102,3
銀座,2352,2056,296,2,294,2133,2131,2
日本橋,2297,2046,251,22,229,2202,2177,25
月島,1357,1257,100,10,90,1315,1305,10
芝,2326,2062,264,6,258,2164,2158,6
三田,1886,1727,159,6,153,1801,1794,7
麻布,2522,2154,368,9,359,2206,2197,9
赤坂,2426,2141,285,12,273,2286,2273,13
高輪,1817,1674,143,4,139,1636,1632,4
港南,1201,1115,86,1,85,1179,1178,1
品川,2223,1999,224,18,206,2120,2100,20
五反田,2355,2152,203,4,199,2228,2223,5
大井,2866,2553,313,5,308,2658,2652,6
荏原,2865,2617,248,2,246,2730,2728,2
大森,2874,2597,277,2,275,2717,2715,2
馬込,2724,2466,258,7,251,2558,2551,7
市野倉,3017,2737,280,6,274,2783,2777,6
東調布,2559,2345,214,12,202,2478,2461,17
蒲田,2873,2504,369,14,355,2608,2593,15
羽田,2063,1867,196,2,194,1940,1936,4
空港,1246,1141,105,2,103,1177,1175,2
矢口,2732,2474,258,11,247,2558,2546,12
目黒第1,2358,2134,224,9,215,2220,2211,9
目黒第2,2406,2197,209,10,199,2305,2294,11
大岡山,2638,2405,233,5,228,2539,2534,5
世田谷第1,2958,2698,260,10,250,2799,2787,12
世田谷第2,2912,2666,246,14,232,2759,2743,16
宮の坂,2941,2642,299,5,294,2709,2704,5
玉川,2673,2455,218,6,212,2638,2631,7
用賀,2719,2466,253,4,249,2649,2645,4
成城,2256,2071,185,5,180,2206,2200,6
烏山,2068,1873,195,4,191,1960,1956,4
渋谷,3215,2700,515,14,501,2799,2785,14
恵比寿,2611,2326,285,6,279,2313,2307,6
代々木,2835,2543,292,9,283,2658,2649,9
富ヶ谷,2990,2632,358,13,345,2773,2754,19
原宿,2413,2127,286,24,262,2220,2196,24
四谷,2633,2325,308,13,295,2377,2361,16
新宿御苑,3725,2933,792,10,782,3065,3055,10
牛込,2699,2429,270,17,253,2541,2524,17
新宿,3016,2612,404,6,398,2687,2681,6
落合,3067,2740,327,5,322,2836,2831,5
戸塚,3239,2759,480,13,467,2864,2851,13
大久保,313,256,57,2,55,268,266,2
十二社,3252,2784,468,16,452,2829,2812,17
中野,2558,2332,226,12,214,2420,2407,13
宮園通,2467,2225,242,7,235,2305,2298,7
野方,2562,2346,216,14,202,2452,2436,16
鷺宮,1896,1709,187,9,178,1782,1771,11
杉並,2154,1979,175,4,171,2053,2048,5
永福,2712,2470,242,5,237,2607,2602,5
阿佐谷,2155,1943,212,4,208,2003,1999,4
高円寺,2603,2365,238,7,231,2474,2467,7
高井戸,2316,2102,214,10,204,2216,2206,10
荻窪,2507,2288,219,4,215,2411,2407,4
西荻,1922,1751,171,4,167,1841,1837,4
小石川,2684,2477,207,1,206,2534,2533,1
本郷,2477,2252,225,12,213,2320,2308,12
根津,2325,2111,214,4,210,2150,2146,4
豊島,3350,2939,411,10,401,3005,2995,10
池袋,3637,3048,589,9,580,3117,3108,9
王子,2475,2274,201,2,199,2342,2339,3
十条,2420,2186,234,6,228,2257,2251,6
赤羽,2026,1803,223,10,213,1895,1882,13
赤羽台,2097,1914,183,8,175,1975,1967,8
滝野川,2692,2436,256,8,248,2487,2478,9
板橋,3252,2917,335,21,314,3034,3012,22
常盤台,3107,2790,317,10,307,2912,2899,13
志村,2023,1841,182,8,174,1928,1916,12
蓮根,2003,1809,194,1,193,1888,1887,1
中台,2134,1942,192,－,192,2018,2018,－
高島平,2310,2091,219,4,215,2192,2188,4
練馬,2884,2642,242,7,235,2760,2753,7
田柄,2332,2124,208,4,204,2189,2185,4
貫井,2428,2188,240,5,235,2275,2270,5
光が丘,272,249,23,－,23,262,262,－
関町,2135,1978,157,7,150,2085,2078,7
大泉学園,2186,1996,190,11,179,2079,2067,12
石神井公園,2341,2138,203,5,198,2253,2248,5
上野,2690,2375,315,15,300,2462,2446,16
下谷,2411,2162,249,9,240,2252,2243,9
浅草,2203,1953,250,6,244,1995,1989,6
日本堤,2571,2206,365,11,354,2247,2236,11
今戸,2414,2153,261,7,254,2201,2193,8
荒川,2598,2367,231,10,221,2454,2444,10
南千住,2364,2029,335,7,328,2096,2089,7
尾久,2759,2518,241,3,238,2581,2578,3
千住,2573,2316,257,10,247,2419,2409,10
足立,3198,2862,336,2,334,2987,2985,2
淵江,2367,2166,201,3,198,2280,2277,3
大谷田,2946,2657,289,－,289,2796,2796,－
神明,1920,1761,159,3,156,1878,1873,5
西新井,2373,2131,242,7,235,2243,2236,7
大師前,3082,2779,303,4,299,2910,2906,4
本所,2338,2093,245,14,231,2217,2203,14
太平,2497,2228,269,7,262,2323,2315,8
向島,2057,1891,166,2,164,1997,1994,3
立花,2020,1873,147,2,145,1929,1927,2
深川,2870,2638,232,5,227,2771,2765,6
豊洲,2065,1896,169,6,163,1998,1992,6
城東,2464,2268,196,2,194,2371,2369,2
大島,2703,2475,228,5,223,2583,2578,5
砂町,2679,2465,214,8,206,2590,2581,9
本田,2808,2569,239,8,231,2682,2673,9
青戸,2901,2576,325,12,313,2679,2667,12
奥戸,2849,2524,325,24,301,2640,2615,25
金町,2787,2506,281,12,269,2643,2631,12
水元,144,125,19,1,18,138,137,1
江戸川,2787,2538,249,5,244,2666,2660,6
船堀,2687,2446,241,4,237,2564,2560,4
南葛西,2308,2044,264,5,259,2193,2188,5
小岩,2214,2049,165,10,155,2171,2161,10
篠崎,1818,1688,130,6,124,1774,1767,7
北小岩,2264,2083,181,10,171,2180,2170,10
受託地区,87977,80577,7400,229,7171,85165,84912,253
立川,2909,2609,300,3,297,2717,2714,3
国立,2269,2044,225,5,220,2151,2146,5
拝島,2483,2248,235,7,228,2379,2372,7
砂川,1981,1786,195,5,190,1886,1880,6
国分寺,2375,2217,158,2,156,2306,2304,2
小金井,2146,1949,197,7,190,2033,2026,7
小平,2326,2130,196,3,193,2231,2227,4
花小金井,1771,1605,166,1,165,1686,1684,2
武蔵野,2178,1999,179,5,174,2089,2084,5
吉祥寺,1921,1733,188,6,182,1803,1796,7
保谷,1912,1781,131,2,129,1848,1846,2
西原,1934,1804,130,3,127,1882,1879,3
三鷹,2143,1988,155,7,148,2072,2063,9
下連雀,2071,1894,177,5,172,1961,1955,6
調布,1951,1805,146,4,142,1924,1919,5
つつじヶ丘,1783,1631,152,4,148,1698,1694,4
国領,1621,1456,165,8,157,1511,1502,9
府中,2214,2025,189,7,182,2153,2146,7
是政,1759,1611,148,1,147,1686,1685,1
栄町,1771,1620,151,1,150,1664,1663,1
日野,2235,2071,164,11,153,2186,2174,12
高幡,1702,1580,122,2,120,1671,1668,3
町田,2663,2419,244,5,239,2547,2542,5
忠生,1695,1556,139,2,137,1613,1609,4
南,1919,1755,164,1,163,1861,1860,1
鶴川,1373,1261,112,5,107,1349,1344,5
西町田,810,734,76,5,71,776,771,5
八王子,3536,3187,349,19,330,3400,3380,20
元八王子,2434,2196,238,4,234,2307,2303,4
小宮,181,168,13,－,13,177,177,－
浅川,2688,2499,189,2,187,2625,2623,2
北野,2542,2314,228,5,223,2480,2474,6
由木,1312,1205,107,7,100,1295,1287,8
青梅,1724,1579,145,2,143,1730,1728,2
長淵,1069,988,81,1,80,1088,1087,1
本町,2656,2416,240,5,235,2542,2536,6
福生,2422,2285,137,5,132,2512,2506,6
瑞穂,1481,1356,125,5,120,1498,1493,5
狛江,1703,1554,149,7,142,1611,1603,8
北多摩西部,2307,2136,171,10,161,2266,2255,11
三ツ木,1103,1001,102,4,98,1087,1082,5
清瀬,1459,1334,125,5,120,1383,1378,5
秋川,1624,1531,93,2,91,1630,1628,2
檜原,297,278,19,2,17,305,303,2
奥多摩,410,375,35,6,29,439,432,7
多摩第1,1564,1423,141,15,126,1544,1528,16
多摩第2,1550,1441,109,6,103,1563,1556,7
