風速,計・火災件数,計・建物火災・件数(A),計・建物火災・全、半、部分焼・件数(B),計・建物火災・全、半、部分焼・焼損床面積（㎡）(C),計・比率・延焼率(％)(B)/(A),"計・比率・焼損床面積1件当たりの延焼火災（㎡）(C)/(B)",湿度50％未満・火災件数,湿度50％未満・建物火災・件数(A),湿度50％未満・建物火災・全、半、部分焼・件数(B),湿度50％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度50％未満・比率・延焼率(％)(B)/(A),"湿度55％未満・比率・焼損床面積1件当たりの延焼火災（㎡）(C)/(B)",湿度50％以上60％未満・火災件数,湿度50％以上60％未満・建物火災・件数(A),湿度50％以上60％未満・建物火災・全、半、部分焼・件数(B),湿度50％以上60％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度50％以上60％未満・比率・延焼率(％)(B)/(A),"湿度50％以上60％未満・比率・焼損床面積
1件当たりの
延焼火災（㎡）(C)/(B)",湿度60％以上70％未満・火災件数,湿度60％以上70％未満・建物火災・件数(A),湿度60％以上70％未満・建物火災・全、半、部分焼・件数(B),湿度60％以上70％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度60％以上70％未満・比率・延焼率(％)(B)/(A),"湿度60％以上70％未満・比率・焼損床面積1件当たりの延焼火災（㎡）(C)/(B)",湿度70％以上・火災件数,湿度70％以上・建物火災・件数(A),湿度70％以上・建物火災・全、半、部分焼・件数(B),湿度70％以上・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度70％以上・比率・延焼率(％)(B)/(A),"湿度75％以上・比率・焼損床面積1件当たりの延焼火災（㎡）(C)/(B)"
平成27年,"3,926","2,640",684,"20,535",25.9,30,786,490,138,"4,264",28.2,30.9,761,493,142,"4,644",28.8,32.7,916,627,148,"3,560",23.6,24.1,1463,1030,256,"8,067",24.8,31.5
平成28年,"3,581","2,526",576,"17,512",22.8,30.4,584,407,115,"4,910",28.3,42.7,760,521,115,"2,761",22.1,24,776,559,129,"3,673",23.1,28.5,"1,461",1039,217,"6,168",20.9,28.4
平成29年,"3,740","2,573",629,"20,712",24.4,32.9,830,544,140,"5,072",25.7,36.2,730,492,125,"5,483",25.4,43.9,806,551,135,"3,189",24.5,23.6,1374,986,229,"6,968",23.2,30.4
平成30年,"3,545","2,430",587,"18,576",24.2,31.6,599,411,121,"3,942",29.4,32.6,589,408,106,"3,404",26,32.1,825,529,111,"4,513",21,40.7,"1,532",1082,249,"6,717",23,27
令和元年,"3,671","2,597",617,"18,293",23.8,29.6,749,519,146,"4,772",28.1,32.7,666,453,130,"3,525",28.7,27.1,757,530,113,"3,841",21.3,34,"1,499","1,095",228,"6,155",20.8,27
１m/sec未満,77,58,11,242,19,22,9,8,2,42,25,21,9,7,1,18,14.3,18,16,11,1,5,9.1,5,43,32,7,177,21.9,25.3
１m/sec以上２m/sec未満,539,370,86,"3,151",23.2,36.6,65,45,11,517,24.4,47,98,66,17,576,25.8,33.9,107,78,16,380,20.5,23.8,269,181,42,"1,678",23.2,40
２～３m/sec,1039,757,188,"6,192",24.8,32.9,177,125,40,1301,32,32.5,180,127,35,669,27.6,19.1,236,177,43,2196,24.3,51.1,446,328,70,"2,026",21.3,28.9
３～４m/sec,793,579,137,"3,538",23.7,25.8,159,124,32,874,25.8,27.3,157,113,35,646,31,18.5,160,102,22,531,21.6,24.1,317,240,48,1487,20,31
４～５m/sec,571,392,88,"2,490",22.4,28.3,151,102,24,1043,23.5,43.5,111,63,16,700,25.4,43.8,108,74,14,169,18.9,12.1,201,153,34,578,22.2,17
５～６m/sec,315,227,62,1697,27.3,27.4,86,55,21,446,38.2,21.2,64,49,15,770,30.6,51.3,65,46,7,371,15.2,53,100,77,19,110,24.7,5.8
６～７m/sec,158,109,21,356,19.3,17,50,33,9,232,27.3,25.8,22,14,7,44,50,6.3,31,23,4,80,17.4,20,55,39,1,-,2.6,-
７～８m/sec,82,50,16,504,32,31.5,30,16,7,317,43.8,45.3,12,8,2,72,25,36,14,8,3,54,37.5,18,26,18,4,61,22.2,15.3
８～９m/sec,50,24,4,98,16.7,24.5,12,4,-,-,-,-,11,5,2,30,40,15,10,6,1,45,16.7,45,17,9,1,23,11.1,23
９～10m/sec,17,9,1,10,11.1,10,4,3,-,-,-,-,1,-,-,-,-,-,4,2,1,10,50,10,8,4,-,-,-,-
10m/sec以上,30,22,3,15,13.6,5,6,4,-,-,-,-,1,1,-,-,-,-,6,3,1,-,33.3,-,17,14,2,15,14.3,7.5
