消防署,合計／計,合計／従事人員,合計／不従事人員,当番／計,当番／従事人員,当番／不従事人員,非番／計,非番／従事人員,非番／不従事人員
計,224502,73231,151271,224230,73055,151175,272,176,96
特別区,172213,54382,117831,172018,54250,117768,195,132,63
丸の内,334,107,227,334,107,227,－,－,－
麹町,916,110,806,916,110,806,－,－,－
神田,1466,304,1162,1464,304,1160,2,－,2
京橋,1207,342,865,1207,342,865,－,－,－
日本橋,1263,365,898,1260,362,898,3,3,－
臨港,978,360,618,978,360,618,－,－,－
芝,2346,580,1766,2346,580,1766,－,－,－
麻布,1476,305,1171,1474,304,1170,2,1,1
赤坂,586,196,390,586,196,390,－,－,－
高輪,652,134,518,652,134,518,－,－,－
品川,2625,681,1944,2625,681,1944,－,－,－
大井,2116,785,1331,2115,784,1331,1,1,－
荏原,2925,1227,1698,2923,1225,1698,2,2,－
大森,4020,1430,2590,4019,1430,2589,1,－,1
東調布,2292,797,1495,2292,797,1495,－,－,－
蒲田,3503,1422,2081,3497,1416,2081,6,6,－
矢口,1784,530,1254,1782,529,1253,2,1,1
目黒,4303,1152,3151,4300,1149,3151,3,3,－
世田谷,6872,1904,4968,6868,1900,4968,4,4,－
玉川,2900,1093,1807,2898,1091,1807,2,2,－
成城,2513,838,1675,2509,837,1672,4,1,3
渋谷,6426,1862,4564,6424,1860,4564,2,2,－
四谷,1112,278,834,1112,278,834,－,－,－
牛込,1241,313,928,1237,309,928,4,4,－
新宿,5491,1927,3564,5482,1919,3563,9,8,1
中野,2467,809,1658,2467,809,1658,－,－,－
野方,2010,622,1388,2010,622,1388,－,－,－
杉並,4651,1814,2837,4600,1788,2812,51,26,25
荻窪,3184,1107,2077,3175,1101,2074,9,6,3
小石川,1798,476,1322,1798,476,1322,－,－,－
本郷,1867,659,1208,1867,659,1208,－,－,－
豊島,3892,883,3009,3891,882,3009,1,1,－
池袋,3942,1007,2935,3941,1006,2935,1,1,－
王子,1713,581,1132,1713,581,1132,－,－,－
赤羽,2290,770,1520,2287,767,1520,3,3,－
滝野川,2057,796,1261,2054,794,1260,3,2,1
板橋,3314,1029,2285,3313,1028,2285,1,1,－
志村,4353,1467,2886,4346,1460,2886,7,7,－
練馬,6251,2080,4171,6249,2078,4171,2,2,－
光が丘,381,31,350,381,31,350,－,－,－
石神井,3822,1155,2667,3820,1153,2667,2,2,－
上野,3072,1279,1793,3058,1276,1782,14,3,11
浅草,1432,284,1148,1432,284,1148,－,－,－
日本堤,2505,418,2087,2503,418,2085,2,－,2
荒川,3127,1003,2124,3120,999,2121,7,4,3
尾久,2037,734,1303,2036,733,1303,1,1,－
千住,1765,492,1273,1764,491,1273,1,1,－
足立,7521,1875,5646,7514,1869,5645,7,6,1
西新井,6621,2017,4604,6621,2017,4604,－,－,－
本所,2141,838,1303,2141,838,1303,－,－,－
向島,2907,1058,1849,2897,1048,1849,10,10,－
深川,4207,1607,2600,4206,1606,2600,1,1,－
城東,5132,1665,3467,5130,1663,3467,2,2,－
本田,6438,2450,3988,6434,2447,3987,4,3,1
金町,3213,966,2247,3202,956,2246,11,10,1
江戸川,7841,2541,5300,7833,2539,5294,8,2,6
小岩,2915,827,2088,2915,827,2088,－,－,－
受託地区,52289,18849,33440,52212,18805,33407,77,44,33
立川,6798,2245,4553,6797,2244,4553,1,1,－
国分寺,2674,1047,1627,2674,1047,1627,－,－,－
小平,1306,381,925,1304,380,924,2,1,1
武蔵野,2389,574,1815,2389,574,1815,－,－,－
保谷,2233,671,1562,2231,670,1561,2,1,1
三鷹,2415,635,1780,2414,634,1780,1,1,－
調布,3734,1663,2071,3732,1662,2070,2,1,1
府中,2973,1341,1632,2970,1338,1632,3,3,－
日野,2428,1034,1394,2424,1030,1394,4,4,－
町田,5544,2205,3339,5540,2201,3339,4,4,－
八王子,7066,2300,4766,7041,2298,4743,25,2,23
青梅,1807,635,1172,1801,630,1171,6,5,1
東村山,1489,599,890,1486,596,890,3,3,－
福生,2235,818,1417,2229,813,1416,6,5,1
狛江,1093,344,749,1089,341,748,4,3,1
北多摩西部,2499,1055,1444,2495,1051,1444,4,4,－
清瀬,1138,344,794,1137,344,793,1,－,1
秋川,1300,568,732,1296,565,731,4,3,1
奥多摩,149,37,112,144,34,110,5,3,2
多摩,1019,353,666,1019,353,666,－,－,－
