消防署,出場件数／計,出場件数／危険排除／小計,出場件数／危険排除／電気,出場件数／危険排除／ガス,出場件数／危険排除／危険物,出場件数／危険排除／毒物劇物,出場件数／危険排除／ＲＩ,出場件数／危険排除／火気取扱,出場件数／応急措置／小計,出場件数／応急措置／洗浄,出場件数／応急措置／救援,出場件数／応急措置／排水,出場件数／応急措置／照明,出場件数／応急措置／除去,出場件数／警戒,出場件数／その他,出場車両／計,出場車両／ポンプ車,出場車両／化学車,出場車両／救助車,出場車両／はしご車,出場車両／空中作業車,出場車両／救急車,出場車両／救援車,出場車両／照明車,出場車両／消防艇,出場車両／ヘリコプター,出場車両／救助先行車,出場車両／広報車,出場車両／その他,出場人員／計,出場人員／従事／当番,出場人員／従事／非番,出場人員／不従事／当番,出場人員／不従事／非番
計,3006,2420,61,594,1260,12,－,493,69,2,1,8,－,58,18,499,6374,2909,683,103,82,7,229,5,1,－,－,2241,36,78,32202,18505,－,13697,－
特別区,2238,1783,51,474,987,9,－,262,63,2,1,8,－,52,16,376,4701,2080,486,70,72,7,167,5,1,－,－,1714,28,71,24259,13712,－,10547,－
丸の内,10,8,－,－,8,－,－,－,－,－,－,－,－,－,－,2,20,9,－,－,－,－,1,－,－,－,－,9,－,1,100,93,－,7,－
麹町,16,16,2,2,10,1,－,1,－,－,－,－,－,－,－,－,37,19,1,1,－,－,1,－,－,－,－,12,3,－,189,130,－,59,－
神田,19,14,1,6,6,－,－,1,－,－,－,－,－,－,－,5,42,21,－,1,1,－,1,－,－,－,－,14,1,3,223,101,－,122,－
京橋,28,16,1,7,6,－,－,2,4,2,－,－,－,2,1,7,58,20,11,1,－,－,1,－,－,－,－,25,－,－,339,257,－,82,－
日本橋,26,12,－,6,5,1,－,－,1,－,－,－,－,1,－,13,58,28,1,1,－,2,1,－,－,－,－,23,1,1,326,175,－,151,－
臨港,9,6,－,－,6,－,－,－,1,－,－,－,－,1,－,2,22,4,6,－,2,－,－,－,－,－,－,9,1,－,116,101,－,15,－
芝,45,36,2,15,18,1,－,－,2,－,－,－,－,2,－,7,108,45,7,7,3,－,7,－,－,－,－,29,－,10,557,303,－,254,－
麻布,34,30,1,8,14,－,－,7,－,－,－,－,－,－,－,4,86,46,－,－,3,－,3,－,－,－,－,34,－,－,431,245,－,186,－
