消防署,消火設備・屋内消火栓設備・対象物数,消火設備・屋内消火栓設備・設備数,消火設備・スプリンクラー設備・対象物数,消火設備・スプリンクラー設備・設備数,消火設備・水噴霧消火設備・対象物数,消火設備・水噴霧消火設備・設備数,消火設備・泡消火設備・対象物数,消火設備・泡消火設備・設備数,消火設備・二酸化炭素消火設備・対象物数,消火設備・二酸化炭素消火設備・設備数,消火設備・ハロゲン化物消火設備・対象物数,消火設備・ハロゲン化物消火設備・設備数,消火設備・粉末消火設備・対象物数,消火設備・粉末消火設備・設備数,消火設備・屋外消火栓設備・対象物数,消火設備・屋外消火栓設備・設備数,消火設備・動力消防ポンプ設備・対象物数,消火設備・動力消防ポンプ設備・設備数
平成27年度,"47,533","43,726","15,614","17,800",171,321,"4,316","6,006","4,171","6,049","7,166","11,473","14,332","32,247","1,362","1,205","1,110",600
平成28年度,"47,688","44,974","16,213","20,119",170,320,"4,360","6,139","4,145","5,951","7,162","11,344","14,606","33,407","1,382","1,232","1,113",603
平成29年度,"47,728","45,093","16,950","20,823",173,324,"4,394","6,168","4,109","5,909","7,147","11,282","14,944","33,599","1,363","1,222","1,102",592
平成30年度,"47,786","43,751","17,689","18,095",178,326,"4,414","4,932","4,073","5,789","7,136","11,012","15,372","31,533","1,362","1,219","1,081",580
令和元年度,47797,38969,18322,15875,176,138,4447,4375,4016,4632,7151,9259,15739,21715,1381,1200,1013,591
特別区,36702,31244,14969,12978,142,93,3793,3751,3566,4120,6204,8053,11530,16290,833,746,369,265
丸の内,192,211,167,207,15,13,86,86,47,93,96,247,44,62,1,0,0,0
麹町,744,670,370,324,3,1,164,160,123,169,288,375,165,166,10,9,2,0
神田,943,930,516,492,2,2,85,80,209,206,278,298,194,196,0,0,0,0
京橋,950,898,710,652,2,2,125,130,193,216,276,354,250,285,5,5,0,0
日本橋,985,977,554,532,5,4,113,111,194,237,285,340,199,210,2,2,0,0
臨港,270,356,163,137,2,2,61,72,49,72,27,69,91,147,7,10,5,3
芝,1099,1177,643,674,6,6,216,216,239,286,389,542,340,527,9,9,14,7
麻布,632,546,340,293,8,6,127,110,83,79,157,179,125,133,6,6,0,0
赤坂,585,563,288,287,7,10,133,128,97,101,145,151,140,129,5,4,3,2
高輪,600,485,280,236,6,2,98,98,97,152,127,149,138,199,17,19,16,5
品川,885,734,394,299,3,3,140,136,136,174,189,239,227,267,4,4,2,4
大井,475,391,188,134,0,0,44,51,30,33,99,115,188,226,41,30,0,0
荏原,279,237,125,103,1,0,22,22,14,14,44,52,85,119,4,4,0,0
大森,884,764,217,178,2,2,69,66,100,88,98,102,345,625,87,87,18,12
田園調布,517,342,96,76,0,0,42,39,10,8,58,69,211,264,0,0,2,2
