消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,り災世帯数／計,り災世帯数／全損,り災世帯数／半損,り災世帯数／小損,"り災
人員",焼損棟数／計,焼損棟数／全焼,焼損棟数／半焼,焼損棟数／部分焼,焼損棟数／ぼや,焼損床面積(m2),林野焼損面積(a)
計,6541,3908,301,239,277,3091,683,1,1,23,1925,4485,669,414,3402,11612,5345,418,324,342,4261,61354,542
特別区,4785,2982,190,167,224,2401,491,1,－,－,1311,3486,503,336,2647,8903,4083,267,241,280,3295,43676,－
丸の内,12,8,－,－,－,8,－,－,－,－,4,－,－,－,－,－,8,－,－,－,8,－,－
麹町,23,14,－,－,－,14,6,－,－,－,3,4,－,－,4,12,14,－,－,－,14,－,－
神田,36,18,1,－,－,17,6,－,－,－,12,6,1,－,5,23,22,1,1,－,20,85,－
京橋,34,23,1,－,2,20,3,－,－,－,8,3,－,－,3,5,27,1,－,2,24,252,－
日本橋,24,17,1,－,1,15,2,－,－,－,5,5,2,－,3,12,23,1,1,1,20,275,－
臨港,26,11,1,－,－,10,7,－,－,－,8,13,1,－,12,28,15,1,－,－,14,116,－
芝,56,41,－,1,－,40,5,－,－,－,10,17,1,1,15,50,44,－,1,1,42,81,－
麻布,54,28,1,1,3,23,12,－,－,－,14,14,－,3,11,30,31,1,1,3,26,377,－
赤坂,22,9,1,－,－,8,4,－,－,－,9,6,1,2,3,19,10,1,1,－,8,67,－
高輪,23,15,1,－,－,14,2,－,－,－,6,11,1,－,10,32,19,2,－,－,17,86,－
品川,78,44,2,2,3,37,8,－,－,－,26,39,4,3,32,89,58,2,5,3,48,414,－
大井,70,42,－,1,4,37,8,－,－,－,20,35,6,1,28,84,44,－,1,4,39,171,－
荏原,88,56,6,4,3,43,7,－,－,－,25,88,21,9,58,210,87,11,8,5,63,1017,－
大森,113,71,5,5,5,56,16,1,－,－,25,74,10,5,59,173,89,5,5,5,74,655,－
東調布,68,50,3,2,5,40,5,－,－,－,13,87,7,12,68,231,67,5,3,8,51,1066,－
蒲田,87,51,5,3,4,39,6,－,－,－,30,89,14,9,66,239,84,6,5,9,64,1784,－
矢口,50,28,1,3,－,24,3,－,－,－,19,36,14,4,18,55,30,1,3,－,26,388,－
目黒,128,86,3,10,3,70,15,－,－,－,27,93,14,10,69,217,113,3,11,5,94,1650,－
世田谷,197,128,5,5,8,110,20,－,－,－,49,167,19,16,132,382,167,9,8,8,142,1559,－
玉川,84,53,5,5,6,37,7,－,－,－,24,87,13,9,65,245,79,9,6,6,58,893,－
成城,74,43,4,3,4,32,10,－,－,－,21,82,5,8,69,202,65,4,5,4,52,414,－
渋谷,156,104,3,5,6,90,16,－,－,－,36,114,20,6,88,251,132,4,6,9,113,1246,－
四谷,31,16,－,－,2,14,3,－,－,－,12,10,1,－,9,26,16,－,－,2,14,183,－
牛込,41,24,1,1,2,20,4,－,－,－,13,18,2,3,13,45,31,2,1,2,26,143,－
