時間帯,住宅等・令和元年救急搬送人員（人）,住宅等・令和2年救急搬送人員（人）
0,2003 ,1754 
1,1626 ,1468 
2,1370 ,1193 
3,1192 ,1178 
4,1221 ,1132 
5,1467 ,1436 
6,2087 ,1929 
7,3030 ,2754 
8,4108 ,3914 
9,5064 ,4962 
10,4727 ,4654 
11,3957 ,3978 
12,3609 ,3737 
13,3605 ,3703 
14,3577 ,3591 
15,3452 ,3430 
16,3503 ,3392 
17,3819 ,3871 
18,4125 ,4068 
19,4366 ,4085 
20,4083 ,3812 
21,3547 ,3303 
22,2851 ,2703 
23,2288 ,2220 
