消　防　署,計,工事種別処理件数／新築,工事種別処理件数／増築,工事種別処理件数／改築,工事種別処理件数／移転,工事種別処理件数／修繕,工事種別処理件数／模様替,工事種別処理件数／用途変更,工事種別処理件数／その他,同意・不同意別処理件数／同意,同意・不同意別処理件数／不同意
計,61213,49943,3616,21,2,1,8,84,7538,61205,8
特別区,46255,37150,2535,14,－,1,7,74,6474,46254,1
丸の内,80,19,10,－,－,－,1,1,49,80,－
麹町,266,125,20,1,－,－,－,1,119,266,－
神田,579,277,12,－,－,－,－,2,288,579,－
京橋,452,228,16,－,－,－,－,3,205,452,－
日本橋,423,225,32,－,－,－,－,－,166,423,－
臨港,112,68,6,－,－,－,－,1,37,112,－
芝,561,255,47,－,－,－,1,3,255,561,－
麻布,395,230,39,－,－,－,－,1,125,395,－
赤坂,318,165,30,－,－,－,－,1,122,318,－
高輪,220,126,25,－,－,－,－,1,68,220,－
品川,557,365,26,－,－,－,－,3,163,557,－
大井,369,278,23,－,－,－,2,2,64,369,－
荏原,752,646,34,－,－,－,－,－,72,752,－
大森,1155,929,81,－,－,－,－,－,145,1155,－
東調布,1252,1092,86,1,－,－,－,2,71,1252,－
蒲田,736,582,66,－,－,－,－,－,88,736,－
矢口,548,463,34,－,－,－,－,1,50,548,－
目黒,1735,1473,80,1,－,－,－,－,181,1735,－
世田谷,2682,2307,190,1,－,－,－,1,183,2682,－
玉川,1376,1175,111,－,－,－,－,－,90,1376,－
成城,1058,909,69,－,－,－,－,－,80,1058,－
渋谷,1541,1059,96,－,－,－,－,6,380,1541,－
四谷,298,195,13,－,－,－,－,3,87,298,－
牛込,519,384,29,－,－,－,－,2,104,519,－
新宿,974,729,34,－,－,－,－,12,199,974,－
中野,743,623,55,4,－,－,－,2,59,743,－
野方,1036,881,75,－,－,－,－,－,80,1036,－
杉並,1751,1542,112,－,－,－,－,2,95,1751,－
荻窪,1375,1264,45,－,－,－,－,－,66,1375,－
小石川,586,408,53,－,－,－,－,1,124,586,－
本郷,581,413,35,－,－,－,－,3,130,581,－
豊島,784,575,38,－,－,－,－,3,168,784,－
池袋,871,696,52,－,－,－,－,2,121,871,－
王子,504,434,30,－,－,－,－,1,39,503,1
赤羽,512,445,32,－,－,－,－,1,34,512,－
滝野川,504,412,29,－,－,－,－,1,62,504,－
板橋,1046,924,33,－,－,－,－,1,88,1046,－
志村,1307,1100,88,－,－,－,－,1,118,1307,－
練馬,1337,1142,38,3,－,－,1,－,153,1337,－
光が丘,61,56,5,－,－,－,－,－,－,61,－
石神井,1158,1061,49,－,－,－,－,－,48,1158,－
上野,600,350,26,－,－,－,－,－,224,600,－
浅草,411,243,15,1,－,－,－,3,149,411,－
日本堤,359,272,18,2,－,－,－,－,67,359,－
荒川,461,339,20,－,－,－,－,－,102,461,－
尾久,421,370,10,－,－,－,－,－,41,421,－
千住,450,388,26,－,－,－,－,－,36,450,－
足立,1392,1221,82,－,－,－,－,－,89,1392,－
西新井,1009,931,38,－,－,－,－,1,39,1009,－
本所,828,596,22,－,－,－,－,1,209,828,－
向島,558,482,22,－,－,－,－,－,54,558,－
深川,848,615,51,－,－,－,2,1,179,848,－
城東,820,647,24,－,－,1,－,－,148,820,－
本田,1440,1285,70,－,－,－,－,1,84,1440,－
金町,894,808,34,－,－,－,－,－,52,894,－
江戸川,1708,1463,58,－,－,－,－,3,184,1708,－
小岩,942,860,41,－,－,－,－,－,41,942,－
受託地区,14958,12793,1081,7,2,－,1,10,1064,14951,7
立川,1432,1230,87,－,－,－,－,1,114,1432,－
国分寺,849,774,34,－,－,－,－,－,41,849,－
小平,630,560,33,－,－,－,－,－,37,630,－
武蔵野,684,578,29,－,－,－,－,1,76,684,－
保谷,591,533,25,－,－,－,－,－,33,591,－
三鷹,644,573,17,－,－,－,－,－,54,637,7
調布,704,617,29,1,－,－,－,－,57,704,－
府中,880,770,35,－,－,－,－,1,74,880,－
日野,626,532,60,1,－,－,－,－,33,626,－
町田,1622,1347,188,2,－,－,－,1,84,1622,－
八王子,2458,1992,228,－,1,－,－,5,232,2458,－
青梅,736,589,105,－,－,－,－,－,42,736,－
東村山,430,389,22,－,－,－,－,－,19,430,－
福生,777,647,86,2,1,－,－,－,41,777,－
狛江,290,272,7,－,－,－,－,－,11,290,－
北多摩西部,525,470,30,－,－,－,－,－,25,525,－
清瀬,188,163,19,－,－,－,－,－,6,188,－
秋川,369,348,13,1,－,－,－,－,7,369,－
奥多摩,16,13,3,－,－,－,－,－,－,16,－
多摩,507,396,31,－,－,－,1,1,78,507,－
