消防署,合計・件数,合計・隊数,合計・人員,怪煙偵察・件数,怪煙偵察・隊数,怪煙偵察・人員,ベル鳴動・件数,ベル鳴動・隊数,ベル鳴動・人員,その他・件数,その他・隊数,その他・人員
平成27年,"7,963","13,750","64,832",563,"1,127","5,359","7,038","11,978","56,420",362,645,"3,053"
平成28年,"7,932","13,206","62,042",557,"1,119","5,293","7,069","11,537","54,144",306,550,"2,605"
平成29年,"8,471","13,838","64,762",513,"1,004","4,759","7,598","12,184","56,934",360,650,"3,069"
平成30年,"9,577","15,327","71,013",551,"1,085","5,098","8,711","13,671","63,260",315,571,"2,655"
令和元年,"10,934","16,944","78,089",581,"1,133","5,288","10,042","15,239","70,166",311,572,"2,635"
特別区,"8,794","13,153","60,616",379,726,"3,413","8,178","12,005","55,252",237,422,"1,951"
丸の内,16,32,163,5,10,51,10,20,102,1,2,10
麹町,47,85,404,1,1,4,46,84,400,0,0,0
神田,106,205,1044,4,9,43,102,196,1001,0,0,0
京橋,138,267,"1,339",4,6,29,134,261,1310,0,0,0
日本橋,137,156,699,4,6,29,132,149,666,1,1,4
臨港,43,81,394,2,4,20,38,72,348,3,5,26
芝,183,275,1376,4,6,29,175,263,1317,4,6,30
麻布,138,267,"1,291",8,16,74,130,251,"1,217",0,0,0
赤坂,101,192,908,9,18,85,91,172,814,1,2,9
高輪,68,125,660,3,6,34,62,113,597,3,6,29
品川,131,244,"1,121",6,11,52,120,223,1023,5,10,46
大井,128,228,1070,1,1,5,125,224,1052,2,3,13
荏原,121,211,1008,5,10,48,116,201,960,0,0,0
大森,209,277,1243,7,15,68,194,248,1113,8,14,62
田園調布,138,235,1052,4,8,37,130,219,979,4,8,36
蒲田,176,304,"1,432",8,15,70,163,279,"1,312",5,10,50
矢口,125,156,683,4,7,32,120,148,647,1,1,4
目黒,221,257,1128,9,17,85,211,239,1039,1,1,4
世田谷,284,317,"1,368",13,25,113,266,283,"1,215",5,9,40
玉川,123,208,940,6,9,41,111,190,859,6,9,40
成城,158,300,1378,9,19,85,144,271,1248,5,10,45
渋谷,395,445,"1,988",15,29,138,372,401,"1,783",8,15,67
四谷,134,252,1166,3,6,27,126,237,1099,5,9,40
牛込,140,258,1211,1,2,9,136,250,1173,3,6,29
新宿,452,583,"2,769",16,28,139,428,539,"2,551",8,16,79
中野,184,335,"1,586",8,16,80,169,306,"1,445",7,13,61
野方,129,242,1099,3,6,27,120,224,1018,6,12,54
杉並,247,265,1109,6,13,58,234,243,1013,7,9,38
荻窪,148,203,887,7,13,60,138,184,800,3,6,27
小石川,111,218,1012,7,14,68,101,197,910,3,7,34
本郷,118,212,985,5,11,50,110,196,913,3,5,22
豊島,202,233,1082,4,7,33,193,218,1011,5,8,38
池袋,155,296,"1,425",2,4,19,151,288,"1,386",2,4,20
王子,74,143,653,4,9,41,66,125,572,4,9,40
赤羽,112,203,937,11,21,98,98,176,810,3,6,29
滝野川,72,138,623,3,8,35,65,122,552,4,8,36
板橋,188,216,925,4,7,31,173,189,803,11,20,91
志村,222,264,1109,15,30,137,205,231,959,2,3,13
練馬,148,273,"1,280",3,7,34,140,257,"1,206",5,9,40
光が丘,94,113,503,4,8,38,88,101,446,2,4,19
石神井,134,236,"1,097",12,23,107,117,203,942,5,10,48
上野,138,264,"1,346",3,6,31,129,246,"1,253",6,12,62
浅草,90,176,901,1,2,11,87,170,868,2,4,22
日本堤,85,169,829,4,7,33,74,148,725,7,14,71
荒川,114,213,1036,5,12,59,106,195,947,3,6,30
尾久,59,116,527,4,8,36,53,105,478,2,3,13
千住,73,133,616,7,14,63,64,114,532,2,5,21
足立,228,249,1032,14,27,125,210,216,880,4,6,27
西新井,134,162,700,15,26,121,111,123,520,8,13,59
本所,188,325,"1,620",6,11,51,178,306,"1,530",4,8,39
向島,82,143,660,7,13,63,72,124,569,3,6,28
深川,206,226,1027,6,12,60,198,212,957,2,2,10
城東,211,251,1071,8,16,73,195,222,939,8,13,59
本田,173,197,838,13,25,121,156,166,690,4,6,27
金町,106,148,648,11,20,93,89,117,506,6,11,49
江戸川,192,325,1485,6,11,53,178,301,1374,8,13,58
葛西,318,341,1433,3,6,27,302,317,1329,13,18,77
小岩,147,165,700,17,29,130,126,130,544,4,6,26
受託地区,"2,140","3,791","17,473",202,407,"1,875","1,864","3,234","14,914",74,150,684
立川,144,190,869,9,18,87,133,168,762,2,4,20
武蔵野,125,232,1087,6,12,58,116,214,998,3,6,31
三鷹,103,178,813,4,7,32,95,165,755,4,6,26
府中,162,283,1276,15,29,131,145,250,1127,2,4,18
昭島,49,86,400,6,12,56,41,70,326,2,4,18
調布,134,235,"1,085",11,21,98,115,199,917,8,15,70
小金井,75,139,654,7,13,64,64,117,550,4,9,40
小平,86,166,757,5,10,45,79,152,694,2,4,18
東村山,85,110,485,18,37,175,66,71,301,1,2,9
国分寺,66,120,558,8,15,71,55,99,459,3,6,28
狛江,35,65,304,5,9,44,30,56,260,0,0,0
北多摩西部,83,150,699,8,16,76,71,126,587,4,8,36
清瀬,36,73,335,2,4,18,30,61,279,4,8,38
東久留米,51,93,438,4,8,38,42,75,352,5,10,48
