道路,出場件数／計,出場件数／搬送,出場件数／不搬送／小計,出場件数／現場処置,出場件数／不救護,救護人員／計,救護人員／搬送,救護人員／現場処置,程度別人員／死亡,程度別人員／重篤,程度別人員／重症,程度別人員／中等症,程度別人員／軽症
計,1934,1615,319,13,306,2416,2400,16,13,26,41,379,1941
東名高速道路,41,32,9,－,9,48,48,－,－,2,－,11,35
中央高速道路,195,169,26,－,26,262,262,－,1,5,2,57,197
関越高速道路,27,24,3,－,3,36,36,－,－,－,－,7,29
第3京浜自動車専用道路,22,17,5,－,5,27,27,－,－,－,－,8,19
京葉道路,21,16,5,－,5,21,21,－,－,2,－,9,10
東京湾環状道路,227,197,30,1,29,305,304,1,7,1,6,55,235
首都高速環状線,264,227,37,1,36,330,328,2,3,4,4,37,280
首都高速三郷線,22,19,3,－,3,23,23,－,－,1,－,8,14
1号線,181,142,39,3,36,213,210,3,－,－,9,31,170
2号線,47,39,8,1,7,56,55,1,1,－,2,11,41
3号線,115,98,17,2,15,170,168,2,－,1,－,9,158
4号線,153,123,30,－,30,158,158,－,－,2,4,25,127
5号線,163,130,33,2,31,212,209,3,－,1,4,28,176
6号線,122,103,19,－,19,146,146,－,－,2,7,20,117
7号線,92,78,14,1,13,127,126,1,－,1,2,20,103
8号線(八重洲線・会社線含む),30,24,6,1,5,31,30,1,－,－,－,4,26
9号線,42,35,7,－,7,54,53,1,－,1,－,7,45
首都高速中央環状線,139,114,25,1,24,160,159,1,1,2,1,25,130
高速川口線,31,28,3,－,3,37,37,－,－,1,－,7,29
