消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十七),(二十),少危等／運搬,少危等／少危,少危等／固体類等可燃性,少危等／綿花類等
計,40388,3,2,7,48,16,565,220,232,7822,236,153,84,111,10,20,374,218,463,3250,20,176,－,1410,2598,4326,4363,147,190,259,10959,581,1525
特別区,32337,3,1,7,39,12,400,163,166,6496,157,71,50,79,6,20,355,174,373,2495,19,155,－,1138,2000,3743,3756,60,167,163,8140,501,1428
丸の内,108,－,－,－,1,－,5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,14,－,－,－,－,1,86,－,1
麹町,225,－,－,－,－,－,－,－,－,15,－,－,－,7,－,－,－,－,3,3,－,10,－,－,35,37,40,－,－,－,73,2,－
神田,317,－,－,－,－,1,5,1,3,－,－,－,－,－,－,－,－,4,3,4,－,－,－,1,77,82,36,－,－,4,92,－,4
京橋,296,－,－,6,1,－,7,6,3,1,2,－,－,－,－,－,－,－,1,13,－,1,－,4,11,130,9,－,－,－,100,－,1
日本橋,403,－,－,－,－,－,4,8,－,3,1,1,－,－,－,－,2,－,－,2,－,3,－,11,71,65,29,－,－,－,202,－,1
臨港,247,－,－,－,－,－,－,－,－,12,1,－,－,1,－,－,－,4,－,10,－,2,－,24,6,4,26,－,24,－,96,33,4
芝,181,－,－,－,－,－,2,－,－,6,－,－,－,－,－,－,－,－,5,－,－,1,－,1,36,66,7,6,－,－,51,－,－
麻布,257,－,－,－,1,－,－,－,－,28,－,－,－,1,－,－,1,4,7,4,－,－,－,1,11,13,19,－,－,2,165,－,－
赤坂,224,－,－,－,－,－,－,－,－,36,－,－,－,－,－,－,－,4,3,－,－,－,－,－,32,24,2,1,－,－,122,－,－
高輪,334,－,－,－,－,－,2,1,－,80,－,2,2,4,1,－,－,4,7,15,－,1,－,13,36,17,30,－,－,－,109,－,10
品川,973,－,－,－,－,－,－,－,8,182,－,－,1,1,－,－,2,－,24,86,－,－,－,52,92,37,129,－,－,2,336,18,3
大井,282,－,－,－,－,－,2,－,－,85,1,－,－,－,－,－,1,2,8,8,－,－,－,2,11,39,48,－,8,15,42,－,10
荏原,441,－,－,－,－,－,3,5,1,110,2,3,－,1,－,－,10,6,3,42,－,2,－,11,22,56,73,－,－,－,87,4,－
大森,402,1,－,－,－,－,1,1,6,126,1,3,－,－,－,－,3,－,8,60,－,6,－,10,25,21,48,6,－,2,66,8,－
東調布,672,－,－,－,－,－,2,2,2,227,3,－,1,－,－,－,7,－,14,43,－,－,－,19,32,38,76,1,－,－,188,16,1
蒲田,1541,－,－,－,－,－,2,9,1,290,10,－,1,－,－,－,2,1,5,234,－,5,－,38,82,122,154,1,29,4,520,－,31
矢口,625,－,－,－,－,－,2,1,3,115,－,－,－,－,－,－,7,－,14,93,－,9,－,17,54,44,71,1,－,5,153,36,－
目黒,916,－,－,－,－,－,3,1,1,218,－,4,1,18,－,－,－,3,7,65,－,2,－,23,71,184,139,6,－,－,163,7,－
世田谷,641,－,－,－,4,－,3,1,1,247,1,－,－,1,－,－,6,3,2,6,1,－,－,3,17,123,81,3,－,1,132,－,5
玉川,368,－,－,－,－,－,2,2,－,150,－,1,2,－,－,－,3,3,4,13,－,－,－,9,30,39,38,4,－,4,61,1,2
成城,420,－,－,－,－,－,6,1,－,177,1,－,1,－,－,－,6,－,21,6,－,－,－,40,11,28,54,5,－,2,60,1,－
渋谷,918,－,－,－,2,－,2,4,2,305,5,1,－,－,1,－,－,6,5,8,－,－,－,1,87,196,106,1,－,－,186,－,－
四谷,426,－,－,－,－,－,7,3,3,70,1,－,－,－,－,－,－,3,－,2,－,－,－,3,43,109,69,－,－,－,110,3,－
牛込,504,1,－,－,3,1,1,－,3,102,4,－,1,10,－,－,5,－,17,28,－,2,－,14,53,77,75,－,－,－,95,－,12
新宿,516,－,－,－,7,－,28,1,26,41,－,－,－,1,－,－,－,－,2,1,－,－,－,1,5,50,11,－,11,－,325,－,6
中野,725,－,－,－,1,－,3,1,－,228,－,5,2,2,－,－,49,2,10,23,－,－,－,6,43,106,96,－,47,－,90,11,－
野方,555,－,－,－,1,－,1,6,2,208,11,3,3,－,－,－,7,4,9,17,－,－,－,20,24,80,82,－,－,－,66,－,11
杉並,778,－,1,－,2,－,14,4,3,337,3,1,1,－,－,－,22,4,8,22,－,－,－,4,38,76,81,7,－,2,133,15,－
荻窪,779,－,－,－,2,－,7,2,1,236,－,4,2,12,－,－,7,－,7,23,1,2,－,13,42,135,109,－,－,－,152,22,－
小石川,132,－,－,－,－,－,－,－,－,43,－,1,－,－,－,－,3,4,－,1,－,－,－,1,9,17,21,1,－,5,23,－,3
本郷,537,－,－,－,－,－,6,－,1,101,1,－,－,－,－,－,7,6,13,15,－,2,－,2,49,69,32,－,－,4,220,7,2
豊島,298,－,－,－,1,－,2,2,1,75,－,－,－,－,－,－,－,25,4,－,－,－,－,－,10,78,24,－,－,－,74,2,－
池袋,254,－,－,－,－,－,1,－,10,61,2,－,3,－,－,－,2,2,－,1,－,6,－,－,9,45,30,－,－,7,73,2,－
王子,244,1,－,－,1,－,7,－,1,87,2,2,－,－,－,－,1,1,－,21,－,1,－,6,10,45,40,－,－,1,13,4,－
赤羽,473,－,－,1,1,－,－,4,－,92,2,－,1,2,－,－,40,3,2,52,－,1,－,22,30,26,59,－,－,－,51,58,26
滝野川,736,－,－,－,－,－,2,－,－,227,3,2,2,－,1,－,4,4,2,30,－,－,－,16,30,73,145,－,－,8,142,2,43
板橋,460,－,－,－,－,－,－,1,－,145,－,－,－,4,1,－,4,3,4,48,－,1,－,41,18,65,67,－,－,－,56,2,－
志村,760,－,－,－,－,－,2,1,－,69,－,1,2,－,－,－,4,1,－,171,－,－,－,66,55,23,72,－,－,2,217,74,－
練馬,318,－,－,－,－,－,1,1,－,120,4,1,5,－,－,－,3,－,1,18,－,2,－,5,12,18,47,－,－,－,77,－,3
光が丘,128,－,－,－,－,－,－,1,2,42,－,－,1,－,－,－,－,－,2,2,－,－,－,3,8,13,21,－,－,17,16,－,－
石神井,787,－,－,－,1,－,5,1,－,246,8,21,2,3,－,－,4,5,1,9,17,2,－,15,47,60,83,－,－,－,247,10,－
上野,340,－,－,－,－,1,4,3,20,47,1,－,－,－,1,－,2,7,4,4,－,3,－,5,16,26,30,10,－,9,144,3,－
浅草,256,－,－,－,－,－,5,16,－,5,－,－,－,－,－,－,－,－,42,8,－,14,－,5,15,65,15,－,8,20,35,3,－
日本堤,502,－,－,－,1,－,－,1,6,18,2,－,－,－,－,18,4,1,1,8,－,5,－,17,13,58,57,6,－,－,264,22,－
荒川,753,－,－,－,3,－,6,4,6,93,6,－,1,4,－,－,10,3,16,79,－,9,－,29,36,102,179,－,－,6,118,5,38
尾久,885,－,－,－,－,－,1,7,1,97,1,2,－,2,－,－,9,－,－,120,－,1,－,37,32,60,129,－,－,－,257,6,123
千住,205,－,－,－,－,－,－,－,－,3,1,－,－,－,－,－,－,2,－,31,－,3,－,10,11,13,2,－,－,－,80,10,39
足立,1732,－,－,－,4,－,182,22,3,368,38,2,5,－,－,－,12,5,9,240,－,2,－,110,60,214,216,－,－,1,210,10,19
西新井,419,－,－,－,－,－,10,－,－,53,5,－,3,－,－,－,19,－,9,41,－,1,－,32,18,32,41,－,－,2,104,10,39
本所,563,－,－,－,－,7,5,－,2,68,3,－,1,－,－,－,2,－,8,44,－,－,－,25,57,101,164,－,－,－,61,3,12
向島,803,－,－,－,1,－,3,5,1,97,2,2,2,3,－,－,12,2,3,194,－,17,－,28,24,66,81,－,－,8,183,13,56
深川,632,－,－,－,－,2,7,－,15,42,－,－,－,－,1,－,1,21,26,57,－,7,－,53,67,109,69,－,6,7,118,6,18
城東,1790,－,－,－,－,－,6,3,－,55,2,2,3,－,－,－,11,7,－,107,－,4,－,85,54,88,74,－,－,11,545,6,727
本田,1091,－,－,－,－,－,9,9,18,162,7,2,－,1,－,－,12,3,8,213,－,4,－,81,68,89,118,1,－,－,214,19,53
金町,669,－,－,－,－,－,4,8,3,106,1,－,－,－,－,2,2,4,20,35,－,14,－,65,27,40,65,－,－,1,183,－,89
江戸川,697,－,－,－,1,－,12,13,4,126,10,5,－,－,－,－,13,6,1,81,－,3,－,18,77,60,55,－,34,8,134,20,16
小岩,799,－,－,－,－,－,6,1,3,213,9,－,1,1,－,－,34,2,－,34,－,7,－,20,27,90,82,－,－,2,220,27,20
受託地区,8051,－,1,－,9,4,165,57,66,1326,79,82,34,32,4,－,19,44,90,755,1,21,－,272,598,583,607,87,23,96,2819,80,97
立川,712,－,－,－,1,－,14,3,5,81,10,9,－,2,－,－,1,13,5,45,－,2,－,17,73,75,36,9,－,－,285,－,26
国分寺,506,－,－,－,－,－,58,1,2,86,3,3,－,－,2,－,4,3,4,8,－,－,－,5,10,13,23,4,－,45,230,2,－
小平,569,－,－,－,－,－,4,5,1,90,2,10,－,9,－,－,－,5,3,20,－,－,－,12,91,39,26,2,－,－,219,－,31
武蔵野,238,－,－,－,1,－,2,1,1,44,4,－,1,2,－,－,4,1,－,5,－,1,－,2,8,37,22,－,－,－,91,11,－
保谷,167,－,－,－,－,－,5,3,1,32,－,－,－,－,－,－,－,2,4,8,－,－,－,5,10,11,19,－,－,－,65,2,－
三鷹,267,－,－,－,－,－,2,3,－,78,1,1,1,－,－,－,1,－,3,16,－,－,－,8,16,29,76,－,－,3,29,－,－
調布,135,－,－,－,－,－,2,1,－,28,2,－,－,－,－,－,－,1,3,9,－,－,－,24,17,13,22,1,－,2,9,－,1
府中,515,－,－,－,－,－,6,2,2,71,3,4,11,－,1,－,3,3,1,38,－,2,－,18,41,19,45,3,23,10,208,1,－
東村山,421,－,－,－,1,－,2,1,－,44,1,17,6,－,－,－,3,4,3,21,－,－,－,19,19,13,12,3,－,2,226,5,19
狛江,146,－,－,－,－,－,－,－,－,66,－,－,－,2,－,－,－,－,4,11,－,－,－,－,10,5,33,－,－,2,12,－,1
北多摩西部,175,－,－,－,－,－,－,－,－,10,－,－,－,－,－,－,－,1,1,53,－,－,－,12,24,3,10,1,－,8,42,3,7
清瀬,278,－,－,－,－,－,1,2,－,46,11,7,8,1,－,－,1,1,2,10,－,－,－,8,31,14,12,2,－,2,110,9,－
八王子,1187,－,1,－,－,4,17,3,3,143,15,19,1,6,－,－,－,－,24,283,－,11,－,69,55,56,53,11,－,2,383,22,6
日野,470,－,－,－,2,－,4,3,1,112,5,3,1,－,－,－,－,－,2,33,－,－,－,22,56,27,43,7,－,11,138,－,－
町田,394,－,－,－,－,－,6,4,2,51,12,2,2,1,1,－,2,2,21,21,－,－,－,4,15,48,31,4,－,8,157,－,－
青梅,693,－,－,－,2,－,17,16,10,89,9,4,1,－,－,－,－,3,9,78,1,2,－,24,41,27,34,17,－,－,284,19,6
福生,651,－,－,－,2,－,19,9,－,220,1,－,1,2,－,－,－,3,－,73,－,－,－,21,59,97,99,9,－,－,34,2,－
秋川,295,－,－,－,－,－,5,－,29,10,－,－,－,1,－,－,－,－,1,4,－,－,－,－,9,13,7,7,－,1,208,－,－
奥多摩,115,－,－,－,－,－,－,－,9,5,－,－,－,6,－,－,－,1,－,8,－,－,－,－,5,11,1,6,－,－,59,4,－
多摩,117,－,－,－,－,－,1,－,－,20,－,3,1,－,－,－,－,1,－,11,－,3,－,2,8,33,3,1,－,－,30,－,－
