事故種別,内容,救急搬送人員（人）,,,,
ものがつまる等,包み・袋,81,,,,
ものがつまる等,たばこ,61,,,,
ものがつまる等,その他の玩具,59,,,,
ものがつまる等,異物,12,,,,
ものがつまる等,洗剤等,11,,,,
落ちる,ベッド,123,,,,
落ちる,人,84,,,,
落ちる,階段,43,,,,
落ちる,ソファ,39,,,,
落ちる,椅子,28 ,,,,
ころぶ,ベビーカー,14 ,,,,
ころぶ,椅子,9 ,,,,
ころぶ,段差,8 ,,,,
ころぶ,机・テーブル,7 ,,,,
ころぶ,階段,6 ,,,,
やけど,ポット・魔法瓶,28 ,,,,
やけど,味噌汁・スープ,20,,,,
やけど,お茶・コーヒー類,14,,,,
やけど,熱湯,7,,,,
やけど,食器類,6,,,,
ぶつかる,机・テーブル,9,,,,
ぶつかる,人,7,,,,
ぶつかる,ベッド,4,,,,
ぶつかる,椅子,3,,,,
ぶつかる,蛇口,3,,,,
はさむ・はさまれる,手動ドア,5,,,,
はさむ・はさまれる,寝具類,4,,,,
はさむ・はさまれる,椅子,2,,,,
はさむ・はさまれる,その他の家具,2,,,,
はさむ・はさまれる,その他,1,,,,
切る・刺さる,ハサミ・爪切り,2,,,,
切る・刺さる,歯ブラシ,2,,,,
切る・刺さる,ガラス瓶,2,,,,
切る・刺さる,ナイフ,2,,,,
切る・刺さる,食器類,1,,,,
おぼれる,浴槽,11,,,,
おぼれる,ビニールプール,1,,,,
かまれる・刺される,動物等,6,,,,
かまれる・刺される,虫,2,,,,
