消防署,計,火遊び／禁止,火遊び／制限,火遊び／消火準備,喫煙／禁止,喫煙／制限,喫煙／消火準備,たき火／禁止,たき火／制限,たき火／消火準備,溶接／禁止,溶接／制限,溶接／消火準備,その他これらに類する行為／禁止,その他これらに類する行為／制限,その他これらに類する行為／消火準備,残火・取灰又は火粉の始末,危険物等の除去処理,放置物件等の整理除去
計,228,1,10,3,4,1,2,9,41,29,－,3,3,1,11,6,28,35,41
特別区,159,－,10,3,4,1,2,8,15,15,－,2,2,1,11,5,9,30,41
丸の内,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麹町,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
神田,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
京橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臨港,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
芝,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1
麻布,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤坂,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
高輪,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
品川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
大井,3,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－
荏原,2,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－
大森,9,－,－,－,－,－,－,1,2,－,－,－,－,－,－,－,－,1,5
東調布,1,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－
蒲田,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,2,－
矢口,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
目黒,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
世田谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
玉川,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－
成城,6,－,－,－,－,－,－,－,1,－,－,－,－,－,－,2,－,－,3
渋谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
四谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
牛込,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
新宿,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
中野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
野方,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
杉並,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
荻窪,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小石川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
本郷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
豊島,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
池袋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
王子,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤羽,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,5,－
滝野川,8,－,－,－,2,－,－,－,－,－,－,－,－,1,－,－,－,－,5
板橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
志村,17,－,1,－,－,1,－,1,－,1,－,－,－,－,3,－,1,4,5
練馬,6,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,4,－
光が丘,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
石神井,13,－,－,－,－,－,2,－,5,1,－,－,－,－,－,－,2,2,1
上野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
浅草,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本堤,1,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－
荒川,3,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1,－,－,1
尾久,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
千住,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
足立,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
西新井,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1,4
本所,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
向島,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
深川,3,－,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,1,－
城東,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,2
本田,12,－,－,－,－,－,－,3,3,－,－,1,－,－,－,－,－,4,1
金町,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
江戸川,46,－,9,3,2,－,－,－,3,－,－,1,2,－,7,2,1,3,13
小岩,7,－,－,－,－,－,－,－,－,6,－,－,－,－,－,－,－,1,－
受託地区,69,1,－,－,－,－,－,1,26,14,－,1,1,－,－,1,19,5,－
立川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国分寺,2,－,－,－,－,－,－,－,－,－,－,1,1,－,－,－,－,－,－
小平,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
武蔵野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
保谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
三鷹,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
調布,6,－,－,－,－,－,－,－,6,－,－,－,－,－,－,－,－,－,－
府中,2,－,－,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－
東村山,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,11,－,－
狛江,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
北多摩西部,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
清瀬,2,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,1,－
八王子,32,1,－,－,－,－,－,－,13,10,－,－,－,－,－,－,6,2,－
日野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
町田,14,－,－,－,－,－,－,－,6,3,－,－,－,－,－,1,2,2,－
青梅,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
福生,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
秋川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
奥多摩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
多摩,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
